rep,id,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,8|84|cc|1|1|162,610.439,1.38766,0.00215754,8.12603,321.756,9.55279,False,69.0|162,84
1,8|84|cc|2|1|162,604.755,1.2841,1.95635,8.12603,321.756,9.55279,False,69.0|162,84
1,8|84|cc|3|1|162,611.501,1.43534,0.00194584,8.12603,321.756,9.55279,False,69.0|162,84
1,8|84|cc|4|1|162,601.701,1.20045,0.138572,8.12603,321.756,9.55279,False,69.0|162,84
1,8|84|cc|5|1|162,595.809,1.55454,0.0101909,8.12603,321.756,9.55279,False,69.0|162,84
1,8|84|cc|6|1|162,607.11,1.40116,0.15172,8.12603,321.756,9.55279,False,69.0|162,84
1,8|84|cc|7|1|162,601.135,1.32824,0.000383256,8.12603,321.756,9.55279,False,69.0|162,84
1,8|84|cc|8|1|162,582.616,1.44446,0.00524381,8.12603,321.756,9.55279,False,69.0|162,84
1,8|84|sample|10|162,621.785,0.749505,0.146967,8.12603,321.756,9.55279,True,32.0|162,84
1,8|84|sample|11|162,596.802,0.882062,0.119829,8.12603,321.756,9.55279,True,22.0|162,84
1,8|84|sample|12|162,617.415,0.663898,0.105,8.12603,321.756,9.55279,True,22.0|162,84
1,8|84|sample|3|162,606.37,0.723564,0.0251129,8.12603,321.756,9.55279,True,55.0|162,84
1,8|84|sample|4|162,603.851,0.742207,0.0312544,8.12603,321.756,9.55279,True,55.0|162,84
1,8|84|sample|5|162,608.809,0.391428,0.00301635,8.12603,321.756,9.55279,True,55.0|162,84
1,8|84|sample|6|162,606.594,0.531374,0.00628201,8.12603,321.756,9.55279,True,55.0|162,84
1,8|84|sample|7|162,596.616,0.648661,0.0755278,8.12603,321.756,9.55279,True,32.0|162,84
1,8|84|sample|8|162,606.146,0.734511,0.121385,8.12603,321.756,9.55279,True,32.0|162,84
1,8|84|sample|9|162,607.218,0.796824,0.140988,8.12603,321.756,9.55279,True,32.0|162,84
1,8|84|vc|1|2|162,594.868,1.31248,0.0445646,8.12603,321.756,9.55279,False,69.0|162,84
1,8|84|vc|2|2|162,598.183,1.73497,0.26852,8.12603,321.756,9.55279,False,69.0|162,84
1,8|84|vc|3|2|162,599.757,1.56669,0.000153873,8.12603,321.756,9.55279,False,69.0|162,84
1,8|84|vc|4|2|162,605.308,1.45327,0.572668,8.12603,321.756,9.55279,False,69.0|162,84
1,8|84|vc|5|2|162,613.855,1.3968,6.61862e-05,8.12603,321.756,9.55279,False,69.0|162,84
1,8|84|vc|6|2|162,609.669,1.50876,0.000217314,8.12603,321.756,9.55279,False,69.0|162,84
1,8|84|vc|7|2|162,595.576,1.49476,0.0423345,8.12603,321.756,9.55279,False,69.0|162,84
1,8|84|vc|8|2|162,596.788,1.4515,0.0426557,8.12603,321.756,9.55279,False,69.0|162,84
