rep,id,U,L,h,f,alpha,goes_down,mab_virus,run_id
1,8|152|8|152|sample|8|322|8|322|65.0,83947.1,769.188,0.159001,0.211467,0.27356,True,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,83947.1,769.188,0.159,368.405,0.27356,True,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,83947.1,769.188,0.159001,662531,0.27356,True,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,83947.1,769.188,0.159,72542.5,0.27356,True,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,83947.1,769.284,0.159,0.000404134,0.27356,True,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,83947.1,769.284,0.159,5.67434,0.27356,True,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,83947.1,769.284,0.159,0.18846,0.27356,True,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,83947.1,769.284,0.159,0.00692546,0.27356,True,28.0|322,152
1,8|152|8|152|sample|3|322|3|322|22.0,83947.1,769.489,0.159,0.0238071,0.27356,True,22.0|322,152
1,8|152|8|152|sample|4|322|4|322|22.0,83947.1,769.489,0.159,0.396301,0.27356,True,22.0|322,152
1,8|152|8|152|cc|1|1|322|1|322|69.0,83947.1,766.53,0.159001,0.00565629,0.27356,False,69.0|322,152
1,8|152|8|152|cc|2|1|322|1|322|69.0,83947.1,766.53,0.159,0.00179888,0.27356,False,69.0|322,152
1,8|152|8|152|cc|3|1|322|1|322|69.0,83947.1,766.53,0.159,0.000256925,0.27356,False,69.0|322,152
1,8|152|8|152|cc|4|1|322|1|322|69.0,83947.1,766.53,0.159,39.5599,0.27356,False,69.0|322,152
1,8|152|8|152|cc|5|1|322|1|322|69.0,83947.1,766.53,0.159,0.339271,0.27356,False,69.0|322,152
1,8|152|8|152|cc|6|1|322|1|322|69.0,83947.1,766.53,0.159001,56.141,0.27356,False,69.0|322,152
1,8|152|8|152|cc|7|1|322|1|322|69.0,83947.1,766.53,0.159001,1.80386,0.27356,False,69.0|322,152
1,8|152|8|152|cc|8|1|322|1|322|69.0,83947.1,766.53,0.159,0.247776,0.27356,False,69.0|322,152
1,8|152|8|152|vc|1|2|322|2|322|69.0,83947.1,766.53,0.159,8767.84,0.27356,False,69.0|322,152
1,8|152|8|152|vc|2|2|322|2|322|69.0,83947.1,766.53,0.158999,403.968,0.27356,False,69.0|322,152
1,8|152|8|152|vc|3|2|322|2|322|69.0,83947.1,766.53,0.159,28653.3,0.27356,False,69.0|322,152
1,8|152|8|152|vc|4|2|322|2|322|69.0,83947.1,766.53,0.159,0.0114623,0.27356,False,69.0|322,152
1,8|152|8|152|vc|5|2|322|2|322|69.0,83947.1,766.53,0.159001,2.63971e-06,0.27356,False,69.0|322,152
1,8|152|8|152|vc|6|2|322|2|322|69.0,83947.1,766.53,0.159,3.835e-06,0.27356,False,69.0|322,152
1,8|152|8|152|vc|7|2|322|2|322|69.0,83947.1,766.53,0.159,2193.11,0.27356,False,69.0|322,152
1,8|152|8|152|vc|8|2|322|2|322|69.0,83947.1,766.53,0.159,0.0269118,0.27356,False,69.0|322,152
1,8|1159|8|1159|sample|8|292|8|292|65.0,83947.1,769.287,0.159,9.48559,0.27368,True,65.0|292,1159
1,8|1159|8|1159|sample|7|292|7|292|65.0,83947.1,769.287,0.159,6948.06,0.27368,True,65.0|292,1159
1,8|1159|8|1159|sample|5|292|5|292|65.0,83947.1,769.287,0.159,103.076,0.27368,True,65.0|292,1159
1,8|1159|8|1159|sample|6|292|6|292|65.0,83947.1,769.287,0.159,15.9616,0.27368,True,65.0|292,1159
1,8|1159|8|1159|sample|11|292|11|292|28.0,83947.1,769.308,0.159001,0.0528947,0.27368,True,28.0|292,1159
