rep,id,eta_L_gap,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0,-1.70599,0,0,0,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0,-1.11424,0,0,0,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0,-1.99356,0,0,0,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0,-1.80423,0,0,0,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,0,-1.59548,0,0,0,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,0,-1.34365,0,0,0,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0,-1.67558,0,0,0,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0,-1.71989,0,0,0,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,0,-1.41642,0,0,0,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,0,-1.61376,0,0,0,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,0,6.90322,0,0,0,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,0,0.0738801,0,0,0,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,0,-2.51643,0,0,0,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,0,-1.84692,0,0,0,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,0,-0.735309,0,0,0,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,0,-0.508772,0,0,0,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,0,-1.27389,0,0,0,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,0,0.724521,0,0,0,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,0,2.8978,0,0,0,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,0,2.77067,0,0,0,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,0,-4.39428,0,0,0,False,69.0|274,411
