parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
beta_alpha_mean_cc_468_5,-9.9698327489144e-08,,nan,nan,nan,nan
beta_alpha_mean_cc_476_5,-2.42427968716837e-07,,nan,nan,nan,nan
beta_alpha_mean_cc_485_0,-3.16003120882518e-06,,4.13968686912641,131001455.22504,-8.11364,8.11363
beta_alpha_mean_cc_489_0,-3.24801118132878e-08,,nan,nan,nan,nan
beta_alpha_mean_cc_503_381125,0.568377010539104,,4.31454668420383,759.099436501047,-7.88798,9.02473
beta_alpha_mean_cc_523_5,0.742988727780478,,4.30674217106166,579.651078143156,-7.69807,9.18405
beta_alpha_mean_cc_528_25,0.424531465816184,,4.32315372114899,1018.33528707642,-8.04869,8.89776
beta_alpha_mean_cc_553_0,0.71996551933317,,4.30771886637702,598.322940571767,-7.72301,9.16294
beta_alpha_mean_cc_572_0039999999999,-1.29573275054523e-05,,4.49991386832037,34728719.0697838,-8.81968,8.81966
beta_alpha_mean_cc_607_0,-1.46949153694222,,6.05732702811739,412.205642280986,-13.3416,10.4027
beta_alpha_mean_cc_636_5,1.22491984692985e-06,,4.33308758640714,353744581.514262,-8.49269,8.4927
beta_alpha_mean_cc_643_5,4.22604237956495e-07,,4.3330824711641,1025328683.90453,-8.49269,8.49269
beta_alpha_mean_cc_654_75,-17.9694858932008,,4375.86782795511,24351.658438992,-8594.51,8558.57
beta_alpha_mean_cc_670_5,2.06389100769942e-07,,nan,nan,nan,nan
beta_alpha_mean_cc_671_0,-0.38690612452215,,4.5149971179458,1166.94899144387,-9.23614,8.46233
beta_alpha_mean_cc_687_0,-1.24182851180374,,5.44197460382746,438.222713692012,-11.9079,9.42425
beta_alpha_mean_cc_695_25,-1.40880803704026,,nan,nan,nan,nan
beta_alpha_mean_cc_697_25,1.02977457145529e-07,,4.34431123891918,4218701218.05374,-8.51469,8.51469
beta_alpha_mean_cc_701_5,-0.760833515645897,,4.7634612370087,626.084568969709,-10.097,8.57538
beta_alpha_mean_cc_713_75,-46.7693587972964,,nan,nan,nan,nan
beta_alpha_mean_cc_737_5,-31.3663498615252,,nan,nan,nan,nan
beta_alpha_mean_cc_740_5,-42.5994988458952,,nan,nan,nan,nan
beta_alpha_mean_cc_744_25,-57.4039892188993,,nan,nan,nan,nan
beta_alpha_mean_cc_910_0,-1.34831654401957e-08,,4.35100755026859,32269926298.5935,-8.52782,8.52782
bcc,0.244851255294914,,0.0645418190492651,26.3596030869954,0.1496,0.400749
bvc,0.488158451602906,,0.0685474196118204,14.0420429855797,0.37217,0.640296
