id,importanceSampling
411|4,132.158683
411|3,114.293597
411|5,158.585529
411|6,128.637222
411|8,135.208802
411|7,137.066887
411|9,153.201631
411|10,161.405523
411|12,135.965974
411|11,132.661713
411|1,50.592223
411|2,147.637671
152|8,143.026314
152|7,142.686502
152|6,148.937200
152|5,148.023841
152|12,139.015662
152|11,103.805601
152|10,141.934728
152|9,145.923945
152|3,144.452293
152|4,110.297689
152|1,77.765904
152|2,152.061291
1056|8,140.138510
1056|7,141.712925
1056|6,145.206601
1056|5,145.783225
1056|12,122.176164
1056|11,146.389436
1056|10,145.791992
1056|9,151.407319
1056|4,142.978828
1056|3,139.962123
1056|1,77.039926
1056|2,163.847456
462|6,164.270720
462|5,165.276339
462|4,170.519118
462|3,169.337693
462|9,139.253495
462|10,142.310093
462|7,150.871688
462|8,149.454589
462|11,161.960225
462|12,167.687832
462|1,90.893254
462|2,161.509166
1159|8,152.908237
1159|7,154.430538
1159|5,158.625381
1159|6,158.014722
1159|11,152.567416
1159|12,130.541554
1159|9,155.154349
1159|10,156.905160
1159|4,149.634513
1159|3,147.347057
1159|1,81.466127
1159|2,159.403484
1197|7,98.681233
1197|8,131.207997
1197|6,137.746015
1197|5,137.663994
1197|12,133.938869
1197|10,142.400493
1197|9,139.494730
1197|3,129.889116
1197|4,98.821515
1197|11,136.459919
1197|1,81.393314
1197|2,159.352267
