rep,id,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,8|488|cc|6|1|322,663.948,0.719995,0.053864,18.7119,0.313248,2.26257,False,69.0|322,488
1,8|488|cc|7|1|322,663.948,0.719995,0.0538654,18.7119,0.313248,2.26257,False,69.0|322,488
1,8|488|cc|8|1|322,663.948,0.719995,0.0538629,18.7119,0.313248,2.26257,False,69.0|322,488
1,8|488|sample|10|322,663.948,0.719998,0.00405454,18.7133,0.313248,2.26257,True,32.0|322,488
1,8|488|sample|11|322,663.948,0.719998,0.0554271,18.7133,0.313248,2.26257,True,22.0|322,488
1,8|488|sample|12|322,663.948,0.719998,0.0554257,18.7133,0.313248,2.26257,True,22.0|322,488
1,8|488|sample|3|322,663.948,0.719998,0.0022478,18.7133,0.313248,2.26257,True,55.0|322,488
1,8|488|sample|4|322,663.948,0.719998,0.00224787,18.7133,0.313248,2.26257,True,55.0|322,488
1,8|488|sample|5|322,663.948,0.719998,0.00224782,18.7133,0.313248,2.26257,True,55.0|322,488
1,8|488|sample|6|322,663.948,0.719998,0.00224779,18.7133,0.313248,2.26257,True,55.0|322,488
1,8|488|sample|7|322,663.948,0.719998,0.00405459,18.7133,0.313248,2.26257,True,32.0|322,488
1,8|488|sample|8|322,663.948,0.719998,0.00405453,18.7133,0.313248,2.26257,True,32.0|322,488
1,8|488|sample|9|322,663.948,0.719998,0.00405455,18.7133,0.313248,2.26257,True,32.0|322,488
1,8|488|vc|1|2|322,663.948,0.719995,0.0538636,18.7119,0.313248,2.26257,False,69.0|322,488
1,8|488|vc|2|2|322,663.948,0.719995,0.053864,18.7119,0.313248,2.26257,False,69.0|322,488
1,8|488|vc|3|2|322,663.948,0.719995,0.0538635,18.7119,0.313248,2.26257,False,69.0|322,488
1,8|488|vc|4|2|322,663.948,0.719995,0.0538646,18.7119,0.313248,2.26257,False,69.0|322,488
1,8|488|vc|5|2|322,663.948,0.719995,0.0538646,18.7119,0.313248,2.26257,False,69.0|322,488
1,8|488|vc|6|2|322,663.948,0.719995,0.0538636,18.7119,0.313248,2.26257,False,69.0|322,488
1,8|488|vc|7|2|322,663.948,0.719995,0.0538643,18.7119,0.313248,2.26257,False,69.0|322,488
1,8|488|vc|8|2|322,663.948,0.719995,0.0538637,18.7119,0.313248,2.26257,False,69.0|322,488
1,8|847|cc|1|1|69,663.948,0.719995,0.045088,18.7119,0.313129,1.38112,False,69.0|69,847
1,8|847|cc|2|1|69,663.948,0.719995,0.0450879,18.7119,0.313129,1.38112,False,69.0|69,847
1,8|847|cc|3|1|69,663.948,0.719995,0.045088,18.7119,0.313129,1.38112,False,69.0|69,847
1,8|847|cc|4|1|69,663.948,0.719995,0.0450888,18.7119,0.313129,1.38112,False,69.0|69,847
1,8|847|cc|5|1|69,663.948,0.719995,0.0450882,18.7119,0.313129,1.38112,False,69.0|69,847
1,8|847|cc|6|1|69,663.948,0.719995,0.0450876,18.7119,0.313129,1.38112,False,69.0|69,847
1,8|847|cc|7|1|69,663.948,0.719995,0.0450883,18.7119,0.313129,1.38112,False,69.0|69,847
1,8|847|cc|8|1|69,663.948,0.719995,0.0450879,18.7119,0.313129,1.38112,False,69.0|69,847
