id,importanceSampling
411|4,137.458587
411|3,132.897092
411|5,160.055525
411|6,127.882688
411|8,136.905229
411|7,135.529715
411|9,157.209825
411|10,159.295231
411|12,134.101990
411|11,135.205487
411|1,82.938628
411|2,147.100830
152|8,148.842988
152|7,148.356411
152|6,153.807773
152|5,152.575910
152|12,146.180796
152|11,143.058043
152|10,147.936070
152|9,150.740090
152|3,149.781203
152|4,149.053402
152|1,77.853996
152|2,150.428415
1056|8,146.684575
1056|7,148.557854
1056|6,150.857265
1056|5,151.311230
1056|12,146.557375
1056|11,145.424372
1056|10,152.153257
1056|9,154.046115
1056|4,148.907250
1056|3,145.403040
1056|1,77.062467
1056|2,163.634901
462|6,166.772552
462|5,167.980730
462|4,141.281994
462|3,171.446762
462|9,147.007995
462|10,152.345777
462|7,160.217799
462|8,125.981370
462|11,168.986898
462|12,176.852346
462|1,90.962084
462|2,161.637153
1159|8,162.038672
1159|7,163.882840
1159|5,166.990936
1159|6,165.813238
1159|11,147.134217
1159|12,150.258205
1159|9,129.054960
1159|10,164.130532
1159|4,154.422552
1159|3,153.740487
1159|1,81.637824
1159|2,158.381622
1197|7,141.323405
1197|8,139.870558
1197|6,146.347765
1197|5,145.640719
1197|12,143.088981
1197|10,152.416357
1197|9,149.069444
1197|3,138.379811
1197|4,139.927158
1197|11,145.996207
1197|1,81.404206
1197|2,159.296505
