rep,id,U,L,L_gap,h,f,alpha,k,goes_down,mab_virus,run_id
1,14|783|14|783|vc|1|2|71|2|71|69.0,361829,2568.58,0.000131399,2.87774,1.43791,0.283235,0.068292,False,69.0|71,783
1,14|783|14|783|vc|2|2|71|2|71|69.0,361829,2568.58,0.000131399,0.248724,1.43791,0.283235,0.068292,False,69.0|71,783
1,14|783|14|783|vc|3|2|71|2|71|69.0,361829,2568.58,0.000131399,-0.326716,1.43791,0.283235,0.068292,False,69.0|71,783
1,14|783|14|783|vc|4|2|71|2|71|69.0,361829,2568.58,0.000131399,0.25296,1.43791,0.283235,0.068292,False,69.0|71,783
1,14|783|14|783|vc|5|2|71|2|71|69.0,361829,2568.58,0.000131399,0.702914,1.43791,0.283235,0.068292,False,69.0|71,783
1,14|783|14|783|vc|6|2|71|2|71|69.0,361829,2568.58,0.000131399,0.84755,1.43791,0.283235,0.068292,False,69.0|71,783
1,14|783|14|783|vc|7|2|71|2|71|69.0,361829,2568.58,0.000131399,2.5558,1.43791,0.283235,0.068292,False,69.0|71,783
1,14|783|14|783|vc|8|2|71|2|71|69.0,361829,2568.58,0.000131399,-1.24794,1.43791,0.283235,0.068292,False,69.0|71,783
1,14|491|14|491|sample|10|99|10|99|6.0,361829,2568.58,0.000495708,1.72734,0.0271985,0.313056,0.0682983,True,6.0|99,491
1,14|491|14|491|sample|9|99|9|99|6.0,361829,2568.58,0.000495708,2.89131,0.0271985,0.313056,0.0682983,True,6.0|99,491
1,14|491|14|491|sample|12|99|12|99|6.0,361829,2568.58,0.000495708,1.08577,0.0271985,0.313056,0.0682983,True,6.0|99,491
1,14|491|14|491|sample|11|99|11|99|6.0,361829,2568.58,0.000495708,1.00046,0.0271985,0.313056,0.0682983,True,6.0|99,491
1,14|491|14|491|sample|4|99|4|99|44.0,361829,2568.58,0.00192081,1.35178,0.0743242,0.313056,0.0682983,True,44.0|99,491
1,14|491|14|491|sample|3|99|3|99|44.0,361829,2568.58,0.00192081,1.29789,0.0743242,0.313056,0.0682983,True,44.0|99,491
1,14|491|14|491|sample|6|99|6|99|44.0,361829,2568.58,0.00192081,0.82978,0.0743242,0.313056,0.0682983,True,44.0|99,491
1,14|491|14|491|sample|5|99|5|99|44.0,361829,2568.58,0.00192081,0.925125,0.0743242,0.313056,0.0682983,True,44.0|99,491
1,14|491|14|491|sample|7|99|7|99|63.0,361829,2568.58,0.326414,1.474,0.00324213,0.313056,0.0682983,True,63.0|99,491
1,14|491|14|491|sample|8|99|8|99|63.0,361829,2568.58,0.326414,1.68267,0.00324213,0.313056,0.0682983,True,63.0|99,491
1,14|491|14|491|cc|1|1|99|1|99|69.0,361829,2568.58,0.000478404,-0.460317,1.70732,0.313056,0.0682983,False,69.0|99,491
1,14|491|14|491|cc|2|1|99|1|99|69.0,361829,2568.58,0.000478404,3.23503,1.70732,0.313056,0.0682983,False,69.0|99,491
1,14|491|14|491|cc|3|1|99|1|99|69.0,361829,2568.58,0.000478404,0.464596,1.70732,0.313056,0.0682983,False,69.0|99,491
1,14|491|14|491|cc|4|1|99|1|99|69.0,361829,2568.58,0.000478404,-0.302489,1.70732,0.313056,0.0682983,False,69.0|99,491
1,14|491|14|491|cc|5|1|99|1|99|69.0,361829,2568.58,0.000478404,-3.31548,1.70732,0.313056,0.0682983,False,69.0|99,491
1,14|491|14|491|cc|6|1|99|1|99|69.0,361829,2568.58,0.000478404,-0.886719,1.70732,0.313056,0.0682983,False,69.0|99,491
1,14|491|14|491|cc|7|1|99|1|99|69.0,361829,2568.58,0.000478404,-0.529084,1.70732,0.313056,0.0682983,False,69.0|99,491
1,14|491|14|491|cc|8|1|99|1|99|69.0,361829,2568.58,0.000478404,-2.88572,1.70732,0.313056,0.0682983,False,69.0|99,491
1,14|491|14|491|vc|1|2|99|2|99|69.0,361829,2568.58,0.000478404,-1.21212,1.70732,0.313056,0.0682983,False,69.0|99,491
1,14|491|14|491|vc|2|2|99|2|99|69.0,361829,2568.58,0.000478404,1.48054,1.70732,0.313056,0.0682983,False,69.0|99,491
1,14|491|14|491|vc|3|2|99|2|99|69.0,361829,2568.58,0.000478404,0.256907,1.70732,0.313056,0.0682983,False,69.0|99,491
1,14|491|14|491|vc|4|2|99|2|99|69.0,361829,2568.58,0.000478404,0.247831,1.70732,0.313056,0.0682983,False,69.0|99,491
1,14|491|14|491|vc|5|2|99|2|99|69.0,361829,2568.58,0.000478404,0.0499342,1.70732,0.313056,0.0682983,False,69.0|99,491
1,14|491|14|491|vc|6|2|99|2|99|69.0,361829,2568.58,0.000478404,0.243308,1.70732,0.313056,0.0682983,False,69.0|99,491
1,14|491|14|491|vc|7|2|99|2|99|69.0,361829,2568.58,0.000478404,-0.461299,1.70732,0.313056,0.0682983,False,69.0|99,491
1,14|491|14|491|vc|8|2|99|2|99|69.0,361829,2568.58,0.000478404,0.128141,1.70732,0.313056,0.0682983,False,69.0|99,491
1,14|433|14|433|sample|4|99|4|99|6.0,361829,2568.58,0.000495708,1.3907,0.0271985,0.283236,0.0682918,True,6.0|99,433
1,14|433|14|433|sample|3|99|3|99|6.0,361829,2568.58,0.000495708,1.36074,0.0271985,0.283236,0.0682918,True,6.0|99,433
1,14|433|14|433|sample|6|99|6|99|6.0,361829,2568.58,0.000495708,0.460517,0.0271985,0.283236,0.0682918,True,6.0|99,433
1,14|433|14|433|sample|5|99|5|99|6.0,361829,2568.58,0.000495708,0.424829,0.0271985,0.283236,0.0682918,True,6.0|99,433
1,14|433|14|433|sample|8|99|8|99|6.0,361829,2568.58,0.000495708,3.01379,0.0271985,0.283236,0.0682918,True,6.0|99,433
1,14|433|14|433|sample|7|99|7|99|6.0,361829,2568.58,0.000495708,3.30826,0.0271985,0.283236,0.0682918,True,6.0|99,433
1,14|433|14|433|sample|10|99|10|99|6.0,361829,2568.58,0.000495708,0.905054,0.0271985,0.283236,0.0682918,True,6.0|99,433
1,14|433|14|433|sample|9|99|9|99|6.0,361829,2568.58,0.000495708,0.951914,0.0271985,0.283236,0.0682918,True,6.0|99,433
1,14|433|14|433|sample|11|99|11|99|6.0,361829,2568.58,0.000495708,0.520697,0.0271985,0.283236,0.0682918,True,6.0|99,433
1,14|433|14|433|sample|12|99|12|99|6.0,361829,2568.58,0.000495708,0.52423,0.0271985,0.283236,0.0682918,True,6.0|99,433
1,14|433|14|433|cc|1|1|99|1|99|69.0,361829,2568.58,0.000478404,-0.48372,1.70732,0.283236,0.0682918,False,69.0|99,433
1,14|433|14|433|cc|2|1|99|1|99|69.0,361829,2568.58,0.000478404,-0.88928,1.70732,0.283236,0.0682918,False,69.0|99,433
1,14|433|14|433|cc|3|1|99|1|99|69.0,361829,2568.58,0.000478404,2.13707,1.70732,0.283236,0.0682918,False,69.0|99,433
1,14|433|14|433|cc|4|1|99|1|99|69.0,361829,2568.58,0.000478404,-0.33823,1.70732,0.283236,0.0682918,False,69.0|99,433
1,14|433|14|433|cc|5|1|99|1|99|69.0,361829,2568.58,0.000478404,-1.61322,1.70732,0.283236,0.0682918,False,69.0|99,433
1,14|433|14|433|cc|6|1|99|1|99|69.0,361829,2568.58,0.000478404,-1.06369,1.70732,0.283236,0.0682918,False,69.0|99,433
1,14|433|14|433|cc|7|1|99|1|99|69.0,361829,2568.58,0.000478404,-4.49845,1.70732,0.283236,0.0682918,False,69.0|99,433
1,14|433|14|433|cc|8|1|99|1|99|69.0,361829,2568.58,0.000478404,0.523609,1.70732,0.283236,0.0682918,False,69.0|99,433
1,14|433|14|433|vc|1|2|99|2|99|69.0,361829,2568.58,0.000478404,-1.02656,1.70732,0.283236,0.0682918,False,69.0|99,433
1,14|433|14|433|vc|2|2|99|2|99|69.0,361829,2568.58,0.000478404,1.5717,1.70732,0.283236,0.0682918,False,69.0|99,433
1,14|433|14|433|vc|3|2|99|2|99|69.0,361829,2568.58,0.000478404,0.903336,1.70732,0.283236,0.0682918,False,69.0|99,433
1,14|433|14|433|vc|4|2|99|2|99|69.0,361829,2568.58,0.000478404,0.229442,1.70732,0.283236,0.0682918,False,69.0|99,433
1,14|433|14|433|vc|5|2|99|2|99|69.0,361829,2568.58,0.000478404,-0.192242,1.70732,0.283236,0.0682918,False,69.0|99,433
1,14|433|14|433|vc|6|2|99|2|99|69.0,361829,2568.58,0.000478404,0.978778,1.70732,0.283236,0.0682918,False,69.0|99,433
1,14|433|14|433|vc|7|2|99|2|99|69.0,361829,2568.58,0.000478404,1.10502,1.70732,0.283236,0.0682918,False,69.0|99,433
1,14|433|14|433|vc|8|2|99|2|99|69.0,361829,2568.58,0.000478404,0.0369101,1.70732,0.283236,0.0682918,False,69.0|99,433
1,14|297|14|297|sample|3|71|3|71|6.0,361829,2568.58,0.000632611,0.485884,0.0322026,0.283242,0.0682893,True,6.0|71,297
1,14|297|14|297|sample|4|71|4|71|6.0,361829,2568.58,0.000632611,0.552587,0.0322026,0.283242,0.0682893,True,6.0|71,297
1,14|297|14|297|sample|5|71|5|71|6.0,361829,2568.58,0.000632611,2.12368,0.0322026,0.283242,0.0682893,True,6.0|71,297
1,14|297|14|297|sample|6|71|6|71|6.0,361829,2568.58,0.000632611,1.94486,0.0322026,0.283242,0.0682893,True,6.0|71,297
1,14|297|14|297|sample|8|71|8|71|6.0,361829,2568.58,0.000632611,1.19352,0.0322026,0.283242,0.0682893,True,6.0|71,297
1,14|297|14|297|sample|7|71|7|71|6.0,361829,2568.58,0.000632611,1.509,0.0322026,0.283242,0.0682893,True,6.0|71,297
1,14|297|14|297|sample|9|71|9|71|6.0,361829,2568.58,0.000632611,1.79059,0.0322026,0.283242,0.0682893,True,6.0|71,297
1,14|297|14|297|sample|10|71|10|71|6.0,361829,2568.58,0.000632611,1.82521,0.0322026,0.283242,0.0682893,True,6.0|71,297
1,14|297|14|297|sample|12|71|12|71|6.0,361829,2568.58,0.000632611,0.359575,0.0322026,0.283242,0.0682893,True,6.0|71,297
1,14|297|14|297|sample|11|71|11|71|6.0,361829,2568.58,0.000632611,0.182723,0.0322026,0.283242,0.0682893,True,6.0|71,297
1,14|297|14|297|cc|1|1|71|1|71|69.0,361829,2568.58,0.000131399,0.155741,1.43791,0.283242,0.0682893,False,69.0|71,297
1,14|297|14|297|cc|2|1|71|1|71|69.0,361829,2568.58,0.000131399,-0.648728,1.43791,0.283242,0.0682893,False,69.0|71,297
1,14|297|14|297|cc|3|1|71|1|71|69.0,361829,2568.58,0.000131399,-1.74255,1.43791,0.283242,0.0682893,False,69.0|71,297
1,14|297|14|297|cc|4|1|71|1|71|69.0,361829,2568.58,0.000131399,-2.71397,1.43791,0.283242,0.0682893,False,69.0|71,297
1,14|297|14|297|cc|5|1|71|1|71|69.0,361829,2568.58,0.000131399,0.542129,1.43791,0.283242,0.0682893,False,69.0|71,297
1,14|297|14|297|cc|6|1|71|1|71|69.0,361829,2568.58,0.000131399,0.126877,1.43791,0.283242,0.0682893,False,69.0|71,297
1,14|297|14|297|cc|7|1|71|1|71|69.0,361829,2568.58,0.000131399,-0.49612,1.43791,0.283242,0.0682893,False,69.0|71,297
1,14|297|14|297|cc|8|1|71|1|71|69.0,361829,2568.58,0.000131399,1.3535,1.43791,0.283242,0.0682893,False,69.0|71,297
1,14|297|14|297|vc|1|2|71|2|71|69.0,361829,2568.58,0.000131399,1.07961,1.43791,0.283242,0.0682893,False,69.0|71,297
1,14|297|14|297|vc|2|2|71|2|71|69.0,361829,2568.58,0.000131399,-0.11199,1.43791,0.283242,0.0682893,False,69.0|71,297
1,14|297|14|297|vc|3|2|71|2|71|69.0,361829,2568.58,0.000131399,1.99135,1.43791,0.283242,0.0682893,False,69.0|71,297
1,14|297|14|297|vc|4|2|71|2|71|69.0,361829,2568.58,0.000131399,-0.374566,1.43791,0.283242,0.0682893,False,69.0|71,297
1,14|297|14|297|vc|5|2|71|2|71|69.0,361829,2568.58,0.000131399,0.536187,1.43791,0.283242,0.0682893,False,69.0|71,297
1,14|297|14|297|vc|6|2|71|2|71|69.0,361829,2568.58,0.000131399,0.0875751,1.43791,0.283242,0.0682893,False,69.0|71,297
1,14|297|14|297|vc|7|2|71|2|71|69.0,361829,2568.58,0.000131399,0.0680715,1.43791,0.283242,0.0682893,False,69.0|71,297
1,14|297|14|297|vc|8|2|71|2|71|69.0,361829,2568.58,0.000131399,-1.101,1.43791,0.283242,0.0682893,False,69.0|71,297
1,14|183|14|183|sample|4|233|4|233|6.0,361829,2568.58,0.000125935,0.43499,0.00233489,0.283239,0.0440511,True,6.0|233,183
1,14|183|14|183|sample|3|233|3|233|6.0,361829,2568.58,0.000125935,0.426903,0.00233489,0.283239,0.0440511,True,6.0|233,183
1,14|183|14|183|sample|6|233|6|233|6.0,361829,2568.58,0.000125935,0.556657,0.00233489,0.283239,0.0440511,True,6.0|233,183
1,14|183|14|183|sample|5|233|5|233|6.0,361829,2568.58,0.000125935,0.514147,0.00233489,0.283239,0.0440511,True,6.0|233,183
1,14|183|14|183|sample|7|233|7|233|6.0,361829,2568.58,0.000125935,0.415938,0.00233489,0.283239,0.0440511,True,6.0|233,183
1,14|183|14|183|sample|8|233|8|233|6.0,361829,2568.58,0.000125935,0.453954,0.00233489,0.283239,0.0440511,True,6.0|233,183
1,14|183|14|183|sample|10|233|10|233|6.0,361829,2568.58,0.000125935,0.549525,0.00233489,0.283239,0.0440511,True,6.0|233,183
1,14|183|14|183|sample|9|233|9|233|6.0,361829,2568.58,0.000125935,0.543988,0.00233489,0.283239,0.0440511,True,6.0|233,183
1,14|183|14|183|sample|12|233|12|233|6.0,361829,2568.58,0.000125935,0.422694,0.00233489,0.283239,0.0440511,True,6.0|233,183
1,14|183|14|183|sample|11|233|11|233|6.0,361829,2568.58,0.000125935,0.361576,0.00233489,0.283239,0.0440511,True,6.0|233,183
1,14|183|14|183|cc|1|1|233|1|233|69.0,361829,2568.58,0.000287498,-0.211842,1.75142,0.283239,0.0440511,False,69.0|233,183
1,14|183|14|183|cc|2|1|233|1|233|69.0,361829,2568.58,0.000287498,-0.357778,1.75142,0.283239,0.0440511,False,69.0|233,183
1,14|183|14|183|cc|3|1|233|1|233|69.0,361829,2568.58,0.000287498,1.33363,1.75142,0.283239,0.0440511,False,69.0|233,183
1,14|183|14|183|cc|4|1|233|1|233|69.0,361829,2568.58,0.000287498,-0.0927013,1.75142,0.283239,0.0440511,False,69.0|233,183
1,14|183|14|183|cc|5|1|233|1|233|69.0,361829,2568.58,0.000287498,-2.38304,1.75142,0.283239,0.0440511,False,69.0|233,183
1,14|183|14|183|cc|6|1|233|1|233|69.0,361829,2568.58,0.000287498,-0.536186,1.75142,0.283239,0.0440511,False,69.0|233,183
1,14|183|14|183|cc|7|1|233|1|233|69.0,361829,2568.58,0.000287498,-0.971252,1.75142,0.283239,0.0440511,False,69.0|233,183
1,14|183|14|183|cc|8|1|233|1|233|69.0,361829,2568.58,0.000287498,-0.180029,1.75142,0.283239,0.0440511,False,69.0|233,183
1,14|183|14|183|vc|1|2|233|2|233|69.0,361829,2568.58,0.000287498,0.816521,1.75142,0.283239,0.0440511,False,69.0|233,183
1,14|183|14|183|vc|2|2|233|2|233|69.0,361829,2568.58,0.000287498,-1.13859,1.75142,0.283239,0.0440511,False,69.0|233,183
1,14|183|14|183|vc|3|2|233|2|233|69.0,361829,2568.58,0.000287498,1.70517,1.75142,0.283239,0.0440511,False,69.0|233,183
1,14|183|14|183|vc|4|2|233|2|233|69.0,361829,2568.58,0.000287498,0.93486,1.75142,0.283239,0.0440511,False,69.0|233,183
1,14|183|14|183|vc|5|2|233|2|233|69.0,361829,2568.58,0.000287498,-4.12342,1.75142,0.283239,0.0440511,False,69.0|233,183
1,14|183|14|183|vc|6|2|233|2|233|69.0,361829,2568.58,0.000287498,1.63629,1.75142,0.283239,0.0440511,False,69.0|233,183
1,14|183|14|183|vc|7|2|233|2|233|69.0,361829,2568.58,0.000287498,0.882485,1.75142,0.283239,0.0440511,False,69.0|233,183
1,14|183|14|183|vc|8|2|233|2|233|69.0,361829,2568.58,0.000287498,-1.92096,1.75142,0.283239,0.0440511,False,69.0|233,183
1,14|705|14|705|sample|3|233|3|233|6.0,361829,2568.58,6.68966e-06,-0.142815,3449.35,0.283234,0.0682946,False,6.0|233,705
1,14|705|14|705|sample|4|233|4|233|6.0,361829,2568.58,6.68966e-06,-0.131384,3449.35,0.283234,0.0682946,False,6.0|233,705
1,14|705|14|705|sample|5|233|5|233|6.0,361829,2568.58,6.68966e-06,-0.121356,3449.35,0.283234,0.0682946,False,6.0|233,705
1,14|705|14|705|sample|6|233|6|233|6.0,361829,2568.58,6.68966e-06,-0.115336,3449.35,0.283234,0.0682946,False,6.0|233,705
1,14|705|14|705|sample|7|233|7|233|6.0,361829,2568.58,6.68966e-06,-0.139501,3449.35,0.283234,0.0682946,False,6.0|233,705
1,14|705|14|705|sample|8|233|8|233|6.0,361829,2568.58,6.68966e-06,-0.141714,3449.35,0.283234,0.0682946,False,6.0|233,705
1,14|705|14|705|sample|10|233|10|233|6.0,361829,2568.58,0.000125935,0.653537,0.00233489,0.283234,0.0682946,True,6.0|233,705
1,14|705|14|705|sample|9|233|9|233|6.0,361829,2568.58,0.000125935,0.577557,0.00233489,0.283234,0.0682946,True,6.0|233,705
1,14|705|14|705|sample|12|233|12|233|6.0,361829,2568.58,0.000125935,0.829192,0.00233489,0.283234,0.0682946,True,6.0|233,705
1,14|705|14|705|sample|11|233|11|233|6.0,361829,2568.58,0.000125935,0.670482,0.00233489,0.283234,0.0682946,True,6.0|233,705
1,14|705|14|705|cc|1|1|233|1|233|69.0,361829,2568.58,0.000287498,0.404962,1.75142,0.283234,0.0682946,False,69.0|233,705
1,14|705|14|705|cc|2|1|233|1|233|69.0,361829,2568.58,0.000287498,1.28964,1.75142,0.283234,0.0682946,False,69.0|233,705
1,14|705|14|705|cc|3|1|233|1|233|69.0,361829,2568.58,0.000287498,-0.726942,1.75142,0.283234,0.0682946,False,69.0|233,705
1,14|705|14|705|cc|4|1|233|1|233|69.0,361829,2568.58,0.000287498,-1.05307,1.75142,0.283234,0.0682946,False,69.0|233,705
1,14|705|14|705|cc|5|1|233|1|233|69.0,361829,2568.58,0.000287498,-0.09529,1.75142,0.283234,0.0682946,False,69.0|233,705
1,14|705|14|705|cc|6|1|233|1|233|69.0,361829,2568.58,0.000287498,2.20969,1.75142,0.283234,0.0682946,False,69.0|233,705
1,14|705|14|705|cc|7|1|233|1|233|69.0,361829,2568.58,0.000287498,-0.333985,1.75142,0.283234,0.0682946,False,69.0|233,705
1,14|705|14|705|cc|8|1|233|1|233|69.0,361829,2568.58,0.000287498,0.29204,1.75142,0.283234,0.0682946,False,69.0|233,705
1,14|705|14|705|vc|1|2|233|2|233|69.0,361829,2568.58,0.000287498,3.11442,1.75142,0.283234,0.0682946,False,69.0|233,705
1,14|705|14|705|vc|2|2|233|2|233|69.0,361829,2568.58,0.000287498,2.05978,1.75142,0.283234,0.0682946,False,69.0|233,705
1,14|705|14|705|vc|3|2|233|2|233|69.0,361829,2568.58,0.000287498,-1.42116,1.75142,0.283234,0.0682946,False,69.0|233,705
1,14|705|14|705|vc|4|2|233|2|233|69.0,361829,2568.58,0.000287498,-1.21697,1.75142,0.283234,0.0682946,False,69.0|233,705
1,14|705|14|705|vc|5|2|233|2|233|69.0,361829,2568.58,0.000287498,-1.84801,1.75142,0.283234,0.0682946,False,69.0|233,705
