U_pop,747.25,11.2883,1.9101,-280.01,78.1664,-2.47245,55.9038,-0.0828246,38284.7,-0.366708
L_pop,11.2883,1495.12,3.06567,-7.21137,9.22899,-3.2963,-1.73062,0.00223594,-4927.04,0.0549942
alpha_pop,1.9101,3.06567,10.9846,-13.392,-0.183834,-11.1146,-1.80847,0.00254954,-22397.1,0.241663
omega_U,-280.01,-7.21137,-13.392,842.543,-123.88,14.6218,-81.2329,0.110152,72720.9,-0.779708
omega_L,78.1664,9.22899,-0.183834,-123.88,794.758,0.16253,39.7078,-0.0573996,-375.854,0.00804672
omega_alpha,-2.47245,-3.2963,-11.1146,14.6218,0.16253,12.4133,2.01865,-0.00283819,24225.1,-0.262494
acc,55.9038,-1.73062,-1.80847,-81.2329,39.7078,2.01865,1050.27,-1.46518,11901,-0.122702
bcc,-0.0828246,0.00223594,0.00254954,0.110152,-0.0573996,-0.00283819,-1.46518,0.00208923,-18.9554,0.000195128
avc,38284.7,-4927.04,-22397.1,72720.9,-375.854,24225.1,11901,-18.9554,1.86894e+08,-1884.57
bvc,-0.366708,0.0549942,0.241663,-0.779708,0.00804672,-0.262494,-0.122702,0.000195128,-1884.57,0.0194633
