rep,id,f,h,L_gap,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0.585137,1.43104,2.70757,70.0|274,411
2,9|411|9|411|sample|4|274|4|274|70.0,0.596697,1.43104,2.70757,70.0|274,411
3,9|411|9|411|sample|4|274|4|274|70.0,0.596697,1.43104,2.70757,70.0|274,411
4,9|411|9|411|sample|4|274|4|274|70.0,0.586132,1.43104,2.70757,70.0|274,411
5,9|411|9|411|sample|4|274|4|274|70.0,0.586132,1.43104,2.70757,70.0|274,411
6,9|411|9|411|sample|4|274|4|274|70.0,0.496487,1.43104,2.70757,70.0|274,411
7,9|411|9|411|sample|4|274|4|274|70.0,0.496487,1.43104,2.70757,70.0|274,411
8,9|411|9|411|sample|4|274|4|274|70.0,0.521611,1.43104,2.70757,70.0|274,411
9,9|411|9|411|sample|4|274|4|274|70.0,0.585246,1.43104,2.70757,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0.290801,1.43104,2.70757,70.0|274,411
2,9|411|9|411|sample|3|274|3|274|70.0,0.338451,1.43104,2.70757,70.0|274,411
3,9|411|9|411|sample|3|274|3|274|70.0,0.258563,1.43104,2.70757,70.0|274,411
4,9|411|9|411|sample|3|274|3|274|70.0,0.31528,1.43104,2.70757,70.0|274,411
5,9|411|9|411|sample|3|274|3|274|70.0,0.272553,1.43104,2.70757,70.0|274,411
6,9|411|9|411|sample|3|274|3|274|70.0,0.293844,1.43104,2.70757,70.0|274,411
7,9|411|9|411|sample|3|274|3|274|70.0,0.297037,1.43104,2.70757,70.0|274,411
8,9|411|9|411|sample|3|274|3|274|70.0,0.262888,1.43104,2.70757,70.0|274,411
9,9|411|9|411|sample|3|274|3|274|70.0,0.26366,1.43104,2.70757,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0.533475,1.43104,2.70757,70.0|274,411
2,9|411|9|411|sample|5|274|5|274|70.0,0.549773,1.43104,2.70757,70.0|274,411
