rep,id,U_offset,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,9|411|sample|4|274,5.76621,771.643,0.899625,7.50916,30670.6,13.6119,True,70.0|274,411
1,9|411|sample|3|274,5.76621,771.643,0.800208,7.50916,30670.6,13.6119,True,70.0|274,411
1,9|411|sample|5|274,5.76622,771.643,0.541547,7.50916,30670.6,13.6119,True,70.0|274,411
1,9|411|sample|6|274,5.7662,771.643,0.540513,7.50916,30670.6,13.6119,True,70.0|274,411
1,9|411|sample|8|274,5.7662,771.643,0.906178,7.50916,30670.6,13.6119,True,70.0|274,411
1,9|411|sample|7|274,5.76621,771.643,0.855488,7.50916,30670.6,13.6119,True,70.0|274,411
1,9|411|sample|9|274,5.7662,771.643,0.713138,7.50916,30670.6,13.6119,True,70.0|274,411
1,9|411|sample|10|274,5.76621,771.643,0.562575,7.50916,30670.6,13.6119,True,70.0|274,411
1,9|411|sample|12|274,5.76621,771.643,0.828007,7.50916,30670.6,13.6119,True,70.0|274,411
1,9|411|sample|11|274,5.76621,771.643,0.730188,7.50916,30670.6,13.6119,True,70.0|274,411
1,9|411|cc|1|1|274,2.61883,770.365,4.90844,7.50911,30670.6,13.6119,False,69.0|274,411
1,9|411|cc|2|1|274,2.61883,770.365,-0.526985,7.50911,30670.6,13.6119,False,69.0|274,411
1,9|411|cc|3|1|274,2.61883,770.365,4.24026,7.50911,30670.6,13.6119,False,69.0|274,411
1,9|411|cc|4|1|274,2.61883,770.365,2.82114,7.50911,30670.6,13.6119,False,69.0|274,411
1,9|411|cc|5|1|274,2.61883,770.365,4.98097,7.50911,30670.6,13.6119,False,69.0|274,411
1,9|411|cc|6|1|274,2.61883,770.365,2.68278,7.50911,30670.6,13.6119,False,69.0|274,411
1,9|411|cc|7|1|274,2.61883,770.365,4.50618,7.50911,30670.6,13.6119,False,69.0|274,411
1,9|411|cc|8|1|274,2.61882,770.365,5.00255,7.50911,30670.6,13.6119,False,69.0|274,411
1,9|411|vc|1|2|274,2.61882,770.365,2.93357,7.50911,30670.6,13.6119,False,69.0|274,411
1,9|411|vc|2|2|274,2.61883,770.365,4.11255,7.50911,30670.6,13.6119,False,69.0|274,411
1,9|411|vc|3|2|274,2.61883,770.365,6.93271,7.50911,30670.6,13.6119,False,69.0|274,411
1,9|411|vc|4|2|274,2.61883,770.365,2.21008,7.50911,30670.6,13.6119,False,69.0|274,411
1,9|411|vc|5|2|274,2.61883,770.365,4.91245,7.50911,30670.6,13.6119,False,69.0|274,411
1,9|411|vc|6|2|274,2.61883,770.365,1.03233,7.50911,30670.6,13.6119,False,69.0|274,411
