rep,id,eta_U_offset,eta_L,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,9|411|sample|4|274,0,0,0,-1.00602,0,0,True,70.0|274,411
1,9|411|sample|3|274,0,0,0,-0.300255,0,0,True,70.0|274,411
1,9|411|sample|5|274,0,0,0,-1.24716,0,0,True,70.0|274,411
1,9|411|sample|6|274,0,0,0,-1.31031,0,0,True,70.0|274,411
1,9|411|sample|8|274,0,0,0,-0.843695,0,0,True,70.0|274,411
1,9|411|sample|7|274,0,0,0,-0.819325,0,0,True,70.0|274,411
1,9|411|sample|9|274,0,0,0,-1.46939,0,0,True,70.0|274,411
1,9|411|sample|10|274,0,0,0,-1.44483,0,0,True,70.0|274,411
1,9|411|sample|12|274,0,0,0,-0.677849,0,0,True,70.0|274,411
1,9|411|sample|11|274,0,0,0,-0.852278,0,0,True,70.0|274,411
1,9|411|cc|1|1|274,0,0,0,3.54414,0,0,False,69.0|274,411
1,9|411|cc|2|1|274,0,0,0,-2.12224,0,0,False,69.0|274,411
1,9|411|cc|3|1|274,0,0,0,0.814363,0,0,False,69.0|274,411
1,9|411|cc|4|1|274,0,0,0,-0.935279,0,0,False,69.0|274,411
1,9|411|cc|5|1|274,0,0,0,4.59999,0,0,False,69.0|274,411
1,9|411|cc|6|1|274,0,0,0,-0.845197,0,0,False,69.0|274,411
1,9|411|cc|7|1|274,0,0,0,1.49265,0,0,False,69.0|274,411
1,9|411|cc|8|1|274,0,0,0,-0.444691,0,0,False,69.0|274,411
1,9|411|vc|1|2|274,0,0,0,2.57538,0,0,False,69.0|274,411
1,9|411|vc|2|2|274,0,0,0,-2.71275,0,0,False,69.0|274,411
1,9|411|vc|3|2|274,0,0,0,-1.09708,0,0,False,69.0|274,411
1,9|411|vc|4|2|274,0,0,0,-2.00831,0,0,False,69.0|274,411
1,9|411|vc|5|2|274,0,0,0,2.15629,0,0,False,69.0|274,411
1,9|411|vc|6|2|274,0,0,0,0.734041,0,0,False,69.0|274,411
1,9|411|vc|7|2|274,0,0,0,1.28384,0,0,False,69.0|274,411
1,9|411|vc|8|2|274,0,0,0,-1.82069,0,0,False,69.0|274,411
1,14|783|sample|3|71,0,0,0,-5.35522,0,0,True,6.0|71,783
1,14|783|sample|4|71,0,0,0,-5.20993,0,0,True,6.0|71,783
1,14|783|sample|5|71,0,0,0,-4.32227,0,0,True,6.0|71,783
1,14|783|sample|6|71,0,0,0,-4.38897,0,0,True,6.0|71,783
1,14|783|sample|7|71,0,0,0,0.845309,0,0,True,6.0|71,783
1,14|783|sample|8|71,0,0,0,0.784599,0,0,True,6.0|71,783
1,14|783|sample|10|71,0,0,0,-4.948,0,0,True,6.0|71,783
1,14|783|sample|9|71,0,0,0,-5.56801,0,0,True,6.0|71,783
1,14|783|sample|12|71,0,0,0,2.30467,0,0,True,6.0|71,783
1,14|783|sample|11|71,0,0,0,2.03341,0,0,True,6.0|71,783
1,14|783|cc|1|1|71,0,0,0,0.768193,0,0,False,69.0|71,783
1,14|783|cc|2|1|71,0,0,0,-1.62713,0,0,False,69.0|71,783
1,14|783|cc|3|1|71,0,0,0,2.38514,0,0,False,69.0|71,783
1,14|783|cc|4|1|71,0,0,0,3.69157,0,0,False,69.0|71,783
1,14|783|cc|5|1|71,0,0,0,-6.29671,0,0,False,69.0|71,783
1,14|783|cc|6|1|71,0,0,0,-5.04292,0,0,False,69.0|71,783
1,14|783|cc|7|1|71,0,0,0,-3.4893,0,0,False,69.0|71,783
1,14|783|cc|8|1|71,0,0,0,0.0729235,0,0,False,69.0|71,783
