id,eta_U_offset_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_offset_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
9|411|sample|4|274,0,0,0,-1.13116,0,0,0,0,0,-1.13141,0,0,True,70.0|274,411
9|411|sample|3|274,0,0,0,-0.59753,0,0,0,0,0,-0.570563,0,0,True,70.0|274,411
9|411|sample|5|274,0,0,0,-1.23751,0,0,0,0,0,-1.22722,0,0,True,70.0|274,411
9|411|sample|6|274,0,0,0,-1.26197,0,0,0,0,0,-1.26242,0,0,True,70.0|274,411
9|411|sample|8|274,0,0,0,-0.921722,0,0,0,0,0,-0.868499,0,0,True,70.0|274,411
9|411|sample|7|274,0,0,0,-0.809607,0,0,0,0,0,-0.807362,0,0,True,70.0|274,411
9|411|sample|9|274,0,0,0,-1.13968,0,0,0,0,0,-1.12361,0,0,True,70.0|274,411
9|411|sample|10|274,0,0,0,-1.27711,0,0,0,0,0,-1.27956,0,0,True,70.0|274,411
9|411|sample|12|274,0,0,0,-0.833925,0,0,0,0,0,-0.795026,0,0,True,70.0|274,411
9|411|sample|11|274,0,0,0,-0.836661,0,0,0,0,0,-0.856959,0,0,True,70.0|274,411
9|411|cc|1|1|274,0,0,0,0.112017,0,0,0,0,0,9.62013e-08,0,0,False,69.0|274,411
9|411|cc|2|1|274,0,0,0,-0.289293,0,0,0,0,0,1.16542e-08,0,0,False,69.0|274,411
9|411|cc|3|1|274,0,0,0,0.444421,0,0,0,0,0,1.1814e-07,0,0,False,69.0|274,411
9|411|cc|4|1|274,0,0,0,0.200158,0,0,0,0,0,1.10141e-07,0,0,False,69.0|274,411
9|411|cc|5|1|274,0,0,0,0.101656,0,0,0,0,0,-9.95472e-08,0,0,False,69.0|274,411
9|411|cc|6|1|274,0,0,0,-0.0115643,0,0,0,0,0,2.57866e-07,0,0,False,69.0|274,411
9|411|cc|7|1|274,0,0,0,0.271996,0,0,0,0,0,2.47016e-08,0,0,False,69.0|274,411
9|411|cc|8|1|274,0,0,0,0.125807,0,0,0,0,0,1.64508e-07,0,0,False,69.0|274,411
