id,importanceSampling
411|4,137.772378
411|3,109.336402
411|5,162.694554
411|6,167.295631
411|8,70.688663
411|7,139.101886
411|9,161.130206
411|10,164.457995
411|12,138.619539
411|11,137.509286
411|1,82.965440
411|2,147.245213
152|8,115.767519
152|7,152.721736
152|6,171.550837
152|5,166.989833
152|12,150.179211
152|11,147.909236
152|10,156.066044
152|9,123.823450
152|3,160.846418
152|4,156.164131
152|1,77.879682
152|2,150.252421
1056|8,143.932685
1056|7,145.313171
1056|6,151.239617
1056|5,151.722693
1056|12,185.694885
1056|11,184.341098
1056|10,152.334165
1056|9,185.721975
1056|4,146.747705
1056|3,144.985150
1056|1,76.941048
1056|2,129.829792
462|6,197.770347
462|5,196.334106
462|4,199.472640
462|3,198.185104
462|9,141.501775
462|10,143.200507
462|7,153.772458
462|8,153.584442
462|11,160.347591
462|12,131.028237
462|1,91.043139
462|2,161.495996
1159|8,151.979656
1159|7,153.491593
1159|5,159.911750
1159|6,159.623344
1159|11,146.087287
1159|12,151.250101
1159|9,154.566927
1159|10,154.429978
1159|4,153.124111
1159|3,152.523613
1159|1,47.508906
1159|2,158.892711
1197|7,134.010623
1197|8,133.225061
1197|6,140.630113
1197|5,140.988863
1197|12,98.051255
1197|10,141.918238
1197|9,142.507129
1197|3,134.158132
1197|4,135.019742
1197|11,98.266202
1197|1,81.420416
1197|2,159.295827
