id,eta_f_SAEM,eta_h_SAEM,eta_s_SAEM,eta_L_gap_SAEM,eta_f_mode,eta_h_mode,eta_s_mode,eta_L_gap_mode,mab_virus,run_id
8|152|8|152|vc|2|2|322|2|322|69.0,0.15466,-3.15551e-09,0,0.0306943,-3.26717e-08,1.15463e-14,0,-1.16305e-07,69.0|322,152
8|152|8|152|vc|3|2|322|2|322|69.0,0.0751731,1.1808e-08,0,-0.0536798,2.52718e-07,-4.88498e-15,0,-3.33995e-07,69.0|322,152
8|152|8|152|vc|4|2|322|2|322|69.0,0.00824238,3.67765e-09,0,0.45566,-2.38203e-07,-7.99361e-15,0,-1.10149e-07,69.0|322,152
8|152|8|152|vc|5|2|322|2|322|69.0,-0.0106167,-5.69243e-09,0,-0.0878037,-1.56079e-07,-8.88178e-15,0,1.38822e-08,69.0|322,152
8|152|8|152|vc|6|2|322|2|322|69.0,0.00499358,-4.43201e-09,0,0.0168348,-1.6931e-07,-9.76996e-15,0,-8.57553e-09,69.0|322,152
8|152|8|152|vc|7|2|322|2|322|69.0,-0.130879,-1.71968e-09,0,-0.315667,-2.01839e-07,-2.66454e-15,0,-7.63208e-07,69.0|322,152
8|152|8|152|vc|8|2|322|2|322|69.0,-0.042877,-4.2883e-09,0,0.0567786,3.79691e-07,6.66134e-15,0,6.67019e-07,69.0|322,152
8|1056|8|1056|sample|8|276|8|276|65.0,-0.836449,-4.95221e-09,0,-0.11214,-0.853508,-5.9508e-14,0,0.00785218,65.0|276,1056
8|1056|8|1056|sample|7|276|7|276|65.0,-0.852685,2.35565e-10,0,0.143708,-0.876133,-9.20597e-13,0,-0.000709532,65.0|276,1056
8|1056|8|1056|sample|6|276|6|276|65.0,-0.845342,-1.79315e-10,0,-0.481909,-0.852064,-2.30926e-14,0,0.0222509,65.0|276,1056
8|1056|8|1056|sample|5|276|5|276|65.0,-0.920572,-3.08498e-09,0,0.19255,-0.911441,4.32987e-14,0,0.019616,65.0|276,1056
8|1056|8|1056|sample|12|276|12|276|28.0,-1.00349,2.42476e-09,0,-0.535255,-1.01221,-8.14904e-14,0,-0.0137634,28.0|276,1056
8|1056|8|1056|sample|11|276|11|276|28.0,-0.829101,4.29471e-09,0,-0.437421,-0.835668,-2.69784e-14,0,0.0535972,28.0|276,1056
8|1056|8|1056|sample|10|276|10|276|28.0,-0.403883,-1.28816e-08,0,-0.725438,-0.410453,3.70814e-14,0,-0.0102063,28.0|276,1056
8|1056|8|1056|sample|9|276|9|276|28.0,-0.315289,-3.71618e-09,0,-1.0044,-0.33804,2.62013e-14,0,-0.0190644,28.0|276,1056
8|1056|8|1056|sample|4|276|4|276|22.0,-0.976241,-1.9478e-09,0,-0.250353,-0.984076,-3.37508e-14,0,0.0430445,22.0|276,1056
8|1056|8|1056|sample|3|276|3|276|22.0,-1.08586,-7.60575e-09,0,-0.266927,-1.08678,-9.10383e-15,0,0.0277771,22.0|276,1056
8|1056|8|1056|cc|1|1|276|1|276|69.0,0.0417985,5.17991e-09,0,0.0215801,3.59391e-08,-8.88178e-15,0,-3.51145e-08,69.0|276,1056
8|1056|8|1056|cc|2|1|276|1|276|69.0,0.175319,5.33127e-09,0,0.0278074,2.81725e-07,9.32587e-15,0,-2.28348e-07,69.0|276,1056
8|1056|8|1056|cc|3|1|276|1|276|69.0,-0.173261,-1.21522e-09,0,0.080166,2.50121e-07,2.22045e-16,0,1.04919e-07,69.0|276,1056
8|1056|8|1056|cc|4|1|276|1|276|69.0,-0.093251,-1.82714e-09,0,0.183971,1.40566e-07,-4.44089e-16,0,-5.39052e-08,69.0|276,1056
