id,eta_U_SAEM,eta_L_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0,1.26663e-08,-8.30478e-09,-5.53687,0,0,0,0,2.43139e-14,-3.83195,0,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0,-3.14592e-09,-7.75283e-10,-7.97442,0,0,0,0,2.9976e-15,-4.34313,0,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0,-6.38329e-09,2.38849e-09,3.26047,0,0,0,-1.13687e-13,2.72005e-15,-1.9966,0,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0,5.44716e-09,1.32749e-09,5.574,0,0,0,1.13687e-13,-5.44009e-15,-1.14706,0,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0,2.80361e-10,6.90483e-10,-7.11277,0,0,0,-1.13687e-13,-3.4972e-15,-4.41128,0,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0,-7.99915e-09,3.02441e-09,-7.55818,0,0,0,0,-1.69864e-14,-4.26466,0,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0,7.2942e-09,1.06823e-09,3.68865,0,0,0,0,-4.85167e-14,-1.64199,0,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0,-9.08481e-11,-8.27628e-10,5.69525,0,0,0,0,3.34177e-14,-1.57713,0,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0,7.87325e-09,7.48976e-09,-9.11451,0,0,0,0,-1.75415e-14,-5.2803,0,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0,2.40515e-09,-4.56993e-09,-7.0842,0,0,0,0,-2.63678e-14,-4.25897,0,0,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0,-3.05142e-09,5.44757e-09,1.52479,0,0,0,0,1.77636e-15,-4.32175e-08,0,0,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0,9.88618e-10,-1.61488e-09,2.43947,0,0,0,0,1.11022e-15,5.2545e-07,0,0,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0,8.26972e-09,-3.24426e-09,0.997721,0,0,0,0,1.11022e-15,-4.58951e-07,0,0,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0,1.98698e-09,-5.29734e-09,-1.82543,0,0,0,0,2.44249e-15,-6.62247e-07,0,0,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0,-3.26067e-09,1.33614e-09,0.0240007,0,0,0,0,-1.33227e-15,-4.87909e-07,0,0,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0,2.98332e-09,3.34579e-09,3.06626,0,0,0,0,2.66454e-15,-6.15145e-07,0,0,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0,-2.74144e-09,1.12829e-09,-2.99459,0,0,0,0,2.66454e-15,-2.31989e-07,0,0,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,0,1.24795e-09,-5.60628e-10,2.89244,0,0,0,0,-1.44329e-15,5.496e-07,0,0,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,0,5.91543e-09,1.10346e-09,0.459578,0,0,0,0,-9.99201e-16,5.70412e-07,0,0,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,0,1.01851e-08,-1.67683e-09,1.00966,0,0,0,0,1.33227e-15,3.14931e-07,0,0,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,0,-5.71199e-09,1.14557e-09,0.435763,0,0,0,0,-1.77636e-15,9.21621e-09,0,0,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,0,-2.4318e-09,3.14163e-10,-0.183171,0,0,0,0,1.33227e-15,2.22479e-07,0,0,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,0,-7.42126e-09,1.93712e-09,-0.543915,0,0,0,0,-1.22125e-15,-9.28315e-08,0,0,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,0,2.73789e-09,9.10129e-10,-0.49009,0,0,0,0,-1.11022e-15,4.06736e-07,0,0,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,0,-8.61387e-09,-2.62219e-09,-0.867063,0,0,0,0,8.88178e-16,1.50056e-06,0,0,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,0,-2.3123e-09,-3.3414e-09,1.02391,0,0,0,0,1.33227e-15,2.82471e-07,0,0,False,69.0|274,411
