id,U_SAEM,L_SAEM,h_SAEM,f_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,h_mode,f_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,1,794.878,-0.752831,2.5139e+24,1.28923e-10,0.118156,1,794.878,-0.745699,0.12369,1.29536e-10,0.11723,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,1,794.878,-0.746326,1.15983e+16,1.28923e-10,0.118156,1,794.878,-0.746148,0.0814913,1.29536e-10,0.11723,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,1,794.878,-0.742438,2.16713e+32,1.28923e-10,0.118156,1,794.878,-0.745237,0.170034,1.29536e-10,0.11723,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,1,794.878,-0.738145,5.73722e+32,1.28923e-10,0.118156,1,794.878,-0.746262,0.236445,1.29536e-10,0.11723,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,1,794.878,-0.74272,1.90408e+13,1.28923e-10,0.118156,1,794.878,-0.745468,0.0884707,1.29536e-10,0.11723,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,1,794.878,-0.739306,2.47696e+31,1.28923e-10,0.118156,1,794.878,-0.745751,0.0940943,1.29536e-10,0.11723,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,1,794.878,-0.738183,1.36595e+32,1.28923e-10,0.118156,1,794.878,-0.745809,0.207352,1.29536e-10,0.11723,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,1,794.878,-0.746187,1.87736e+33,1.28923e-10,0.118156,1,794.878,-0.745642,0.20936,1.29536e-10,0.11723,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,1,794.878,-0.73619,2.64507e+13,1.28923e-10,0.118156,1,794.878,-0.744857,0.0533233,1.29536e-10,0.11723,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,1,794.878,-0.757592,1.45028e+24,1.28923e-10,0.118156,1,794.878,-0.745863,0.0905765,1.29536e-10,0.11723,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,1,789.313,-0.730993,4.81647e+26,1.28923e-10,0.118156,1,789.313,-0.741873,0.999991,1.29536e-10,0.11723,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,1,789.313,-0.745834,4.07395e+39,1.28923e-10,0.118156,1,789.313,-0.741873,0.999922,1.29536e-10,0.11723,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,1,789.313,-0.744383,2.49357e+30,1.28923e-10,0.118156,1,789.313,-0.741873,1.00003,1.29536e-10,0.11723,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,1,789.313,-0.735262,7.12649e+32,1.28923e-10,0.118156,1,789.313,-0.741873,0.999992,1.29536e-10,0.11723,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,1,789.313,-0.744813,6.0225e+27,1.28923e-10,0.118156,1,789.313,-0.741873,1.00001,1.29536e-10,0.11723,False,69.0|274,411
