id,f_SAEM,h_SAEM,s_SAEM,L_gap_SAEM,f_mode,h_mode,s_mode,L_gap_mode,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,5.01918,0.815128,4.96303,-5.07746,4.97058,0.814741,4.96926,-5.07746,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,2.90146,0.815128,4.96303,-5.07746,2.86796,0.814741,4.96926,-5.07746,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,5.43895,0.815128,4.96303,-5.07746,5.36511,0.814741,4.96926,-5.07746,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,6.18685,0.815128,4.96303,-5.07746,5.96479,0.814741,4.96926,-5.07746,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,3.90085,0.815128,4.96303,-5.07746,3.84297,0.814741,4.96926,-5.07746,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,3.53549,0.815128,4.96303,-5.07746,3.55668,0.814741,4.96926,-5.07746,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,5.09023,0.815128,4.96303,-5.07746,5.11763,0.814741,4.96926,-5.07746,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,5.83856,0.815128,4.96303,-5.07746,5.69995,0.814741,4.96926,-5.07746,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,3.60528,0.815128,4.96303,-5.07746,3.55617,0.814741,4.96926,-5.07746,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,3.99836,0.815128,4.96303,-5.07746,3.93985,0.814741,4.96926,-5.07746,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,3.87072,0.815128,4.96303,-2.83764,1,0.814741,4.96926,-2.83764,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,3.07366,0.815128,4.96303,-2.83764,1,0.814741,4.96926,-2.83764,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,4.16575,0.815128,4.96303,-2.83764,1,0.814741,4.96926,-2.83764,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,4.41566,0.815128,4.96303,-2.83764,1,0.814741,4.96926,-2.83764,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,3.00895,0.815128,4.96303,-2.83764,1,0.814741,4.96926,-2.83764,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,2.67102,0.815128,4.96303,-2.83764,1,0.814741,4.96926,-2.83764,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,4.15132,0.815128,4.96303,-2.83764,1,0.814741,4.96926,-2.83764,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,2.83111,0.815128,4.96303,-2.83764,1,0.814741,4.96926,-2.83764,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,4.22199,0.815128,4.96303,-2.83764,1,0.814741,4.96926,-2.83764,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,3.67996,0.815128,4.96303,-2.83764,1,0.814741,4.96926,-2.83764,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,3.53782,0.815128,4.96303,-2.83764,1,0.814741,4.96926,-2.83764,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,3.53907,0.815128,4.96303,-2.83764,1,0.814741,4.96926,-2.83764,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,2.53869,0.815128,4.96303,-2.83764,1,0.814741,4.96926,-2.83764,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,3.36568,0.815128,4.96303,-2.83764,1,0.814741,4.96926,-2.83764,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,2.79198,0.815128,4.96303,-2.83764,1,0.814741,4.96926,-2.83764,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,3.78707,0.815128,4.96303,-2.83764,1,0.814741,4.96926,-2.83764,69.0|274,411
8|152|8|152|sample|8|322|8|322|65.0,3.77256,0.585671,4.96294,-0.918058,3.69734,0.585439,4.96918,-0.918058,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,4.06925,0.585671,4.96294,-0.918058,4.11851,0.585439,4.96918,-0.918058,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,4.33628,0.585671,4.96294,-0.918058,4.45744,0.585439,4.96918,-0.918058,65.0|322,152
