U_pop,1,-0.0165229,0.0722747,-0.710767,0.0381066,0.178815,-0.0933267,0.0964339,0.201333,-0.22873
L_pop,-0.0165229,1,-0.00189782,0.0103366,0.00722593,-0.00570886,0.000686509,-0.00133274,-0.00771469,0.00789997
alpha_pop,0.0722747,-0.00189782,1,-0.0631776,-0.00175347,0.0294783,-0.0101749,0.0110703,0.14876,-0.159317
omega_U,-0.710767,0.0103366,-0.0631776,1,-0.0226566,-0.15142,0.091633,-0.0954223,-0.212856,0.232408
omega_L,0.0381066,0.00722593,-0.00175347,-0.0226566,1,-0.000664111,0.0266905,-0.0282905,-0.00639318,0.00709128
omega_alpha,0.178815,-0.00570886,0.0294783,-0.15142,-0.000664111,1,-0.024157,0.0254031,0.132644,-0.152656
acc,-0.0933267,0.000686509,-0.0101749,0.091633,0.0266905,-0.024157,1,-0.98937,-0.0324461,0.0368007
bcc,0.0964339,-0.00133274,0.0110703,-0.0954223,-0.0282905,0.0254031,-0.98937,1,0.0344466,-0.0391139
avc,0.201333,-0.00771469,0.14876,-0.212856,-0.00639318,0.132644,-0.0324461,0.0344466,1,-0.945405
bvc,-0.22873,0.00789997,-0.159317,0.232408,0.00709128,-0.152656,0.0368007,-0.0391139,-0.945405,1
