id,eta_U_SAEM,eta_L_SAEM,eta_L_gap_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_U_mode,eta_L_mode,eta_L_gap_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,goes_down,mab_virus,run_id
8|152|8|152|vc|1|2|322|2|322|69.0,-3.88044e-09,-1.14227e-09,-0.00595982,1.09698e-08,-0.187429,0,0,3.29692e-12,-0.0100404,-1.93971e-11,-0.01454,0,False,69.0|322,152
8|152|8|152|vc|2|2|322|2|322|69.0,-2.51371e-09,5.5733e-10,-0.0134772,4.78919e-08,0.239054,0,7.27596e-12,1.13687e-13,-6.72157e-09,2.19269e-14,4.01848e-07,0,False,69.0|322,152
8|152|8|152|vc|3|2|322|2|322|69.0,-1.73872e-09,2.31054e-09,0.0534491,2.87226e-09,-0.056539,0,3.63798e-11,-2.02363e-11,0.000455366,-1.68688e-10,-0.0861205,0,False,69.0|322,152
8|152|8|152|vc|4|2|322|2|322|69.0,2.68886e-09,-7.98321e-10,0.0385421,-8.51931e-09,0.0200939,0,0,-6.82121e-13,0.000175116,4.15495e-11,0.0335339,0,False,69.0|322,152
8|152|8|152|vc|5|2|322|2|322|69.0,-3.28766e-09,-1.97628e-09,0.00915033,-1.87867e-08,-0.351044,0,-7.27596e-12,1.13687e-13,-3.85739e-08,3.61655e-14,-4.65042e-08,0,False,69.0|322,152
8|152|8|152|vc|6|2|322|2|322|69.0,-1.31031e-09,-1.82735e-09,-0.0298606,-8.23593e-09,-0.533363,0,-7.27596e-12,0,1.15496e-06,2.06529e-13,2.44498e-07,0,False,69.0|322,152
8|152|8|152|vc|7|2|322|2|322|69.0,-2.25031e-09,-3.16214e-09,-0.00854496,-2.0168e-08,-0.242764,0,7.27596e-12,0,-1.54975e-06,5.89445e-13,-2.06424e-06,0,False,69.0|322,152
8|152|8|152|vc|8|2|322|2|322|69.0,-1.65563e-09,-3.58178e-10,0.00256468,3.70067e-08,-0.071332,0,-7.27596e-12,3.97904e-12,0.00266979,1.1676e-11,-0.0700451,0,False,69.0|322,152
8|1159|8|1159|sample|8|292|8|292|65.0,9.40156e-10,1.46613e-09,0.0106366,7.54897e-10,4.81689,0,-1.45519e-10,-8.61746e-11,-0.000324315,1.00753e-09,3.31381,0,True,65.0|292,1159
8|1159|8|1159|sample|7|292|7|292|65.0,2.28276e-10,3.13896e-09,-0.0141627,-4.66284e-09,5.46574,0,0,0,-1.3074e-05,3.39387e-12,3.8508,0,True,65.0|292,1159
8|1159|8|1159|sample|5|292|5|292|65.0,-3.17761e-09,9.60036e-10,-0.0249587,1.59195e-08,8.60474,0,1.45519e-11,6.82121e-13,3.53834e-05,4.35596e-13,6.9423,0,True,65.0|292,1159
8|1159|8|1159|sample|6|292|6|292|65.0,6.27944e-10,8.85569e-10,0.0754176,-1.80816e-08,8.89002,0,0,0,3.08914e-05,3.99267e-12,7.32774,0,True,65.0|292,1159
8|1159|8|1159|sample|11|292|11|292|28.0,4.30932e-09,-3.79388e-09,0.0523124,-1.24696e-08,-0.0648033,0,0,-1.13687e-12,-7.86973e-05,-6.92252e-13,-1.33541,0,True,28.0|292,1159
8|1159|8|1159|sample|12|292|12|292|28.0,-4.57956e-09,1.55896e-09,-0.0519131,1.96864e-08,-4.16985,0,1.01863e-10,-2.55795e-11,-0.0408095,5.04074e-10,-5.38872,0,True,28.0|292,1159
8|1159|8|1159|sample|9|292|9|292|28.0,4.413e-09,3.01941e-09,-0.110016,2.82264e-08,5.39656,0,0,-9.09495e-13,-3.00623e-05,6.84654e-11,3.58976,0,True,28.0|292,1159
8|1159|8|1159|sample|10|292|10|292|28.0,3.70717e-09,-2.2143e-11,-0.0351778,8.82216e-09,3.34915,0,-4.07454e-10,-2.18961e-10,-0.0397362,3.20704e-10,2.04432,0,True,28.0|292,1159
8|1159|8|1159|sample|4|292|4|292|22.0,-2.70933e-09,2.01795e-09,-0.0281208,7.97489e-08,8.23331,0,0,0,2.88021e-05,4.29698e-12,7.38804,0,True,22.0|292,1159
8|1159|8|1159|sample|3|292|3|292|22.0,2.96466e-09,2.51426e-09,-0.039349,-3.86438e-08,8.21397,0,0,1.13687e-13,2.25055e-05,3.96744e-12,6.69244,0,True,22.0|292,1159
8|1159|8|1159|cc|1|1|292|1|292|69.0,4.53671e-09,8.27742e-10,0.0238467,-2.06263e-08,0.54413,0,1.45519e-11,3.97904e-12,0.0333158,1.6304e-10,0.041761,0,False,69.0|292,1159
8|1159|8|1159|cc|2|1|292|1|292|69.0,-3.53437e-09,-2.82892e-11,-0.00806587,-3.18034e-09,0.100574,0,1.45519e-11,9.89075e-12,-0.00831162,4.33796e-11,0.0989406,0,False,69.0|292,1159
8|1159|8|1159|cc|3|1|292|1|292|69.0,4.18368e-10,1.63173e-09,-0.0281764,2.65355e-08,-0.582597,0,-7.27596e-12,3.41061e-13,-0.000137218,3.37312e-11,0.000882181,0,False,69.0|292,1159
8|1159|8|1159|cc|4|1|292|1|292|69.0,-1.17603e-09,3.28943e-09,-0.0253514,2.22395e-08,0.165013,0,-1.45519e-11,-4.88853e-12,-0.00896075,-3.08001e-11,0.215215,0,False,69.0|292,1159
8|1159|8|1159|cc|5|1|292|1|292|69.0,-3.06009e-09,-4.27036e-10,0.0185909,-8.07121e-09,0.4806,0,-1.45519e-11,-2.38742e-12,0.0257621,-3.64666e-11,0.0251319,0,False,69.0|292,1159
8|1159|8|1159|cc|6|1|292|1|292|69.0,2.11953e-09,-2.29587e-09,0.0614216,-2.90073e-08,0.0207132,0,0,0,3.32733e-07,5.837e-14,-1.19913e-06,0,False,69.0|292,1159
8|1159|8|1159|cc|7|1|292|1|292|69.0,-1.34563e-09,2.56501e-09,0.0466242,-1.31583e-09,-0.512584,0,0,0,6.74149e-08,6.51423e-14,1.06709e-06,0,False,69.0|292,1159
8|1159|8|1159|cc|8|1|292|1|292|69.0,-3.56058e-09,-1.99775e-11,-0.020463,-9.40857e-09,-0.114193,0,7.27596e-12,-7.61702e-12,-4.78375e-05,3.51709e-11,0.000645123,0,False,69.0|292,1159
8|1159|8|1159|vc|1|2|292|2|292|69.0,3.64843e-09,-1.17915e-10,0.031931,-2.59533e-08,-0.0180516,0,0,1.13687e-13,9.26903e-08,2.96152e-14,-1.55618e-07,0,False,69.0|292,1159
8|1159|8|1159|vc|2|2|292|2|292|69.0,-1.22118e-09,9.66441e-10,0.0126576,-1.46229e-08,0.185741,0,1.45519e-11,2.95586e-12,0.0150498,-8.0443e-11,0.0127023,0,False,69.0|292,1159
