id,importanceSampling
411|4,137.658928
411|3,141.893338
411|5,162.282179
411|6,164.328205
411|8,105.120437
411|7,138.252444
411|9,159.439109
411|10,163.963150
411|12,137.530733
411|11,136.714834
411|1,83.108958
411|2,147.111136
152|8,147.303402
152|7,147.636259
152|6,155.177584
152|5,154.395769
152|12,166.769218
152|11,163.817413
152|10,169.900831
152|9,168.051819
152|3,149.075449
152|4,149.110979
152|1,12.866410
152|2,152.478804
1056|8,143.958628
1056|7,144.920980
1056|6,119.153526
1056|5,151.220197
1056|12,146.560324
1056|11,143.208700
1056|10,148.524246
1056|9,151.414008
1056|4,114.441286
1056|3,144.615469
1056|1,77.131526
1056|2,163.706211
462|6,170.934026
462|5,171.754320
462|4,176.942247
462|3,176.516276
462|9,187.928153
462|10,189.252637
462|7,197.172405
462|8,196.627769
462|11,161.160274
462|12,166.111095
462|1,90.814624
462|2,161.652371
1159|8,155.933348
1159|7,160.693901
1159|5,166.353223
1159|6,133.732801
1159|11,143.212656
1159|12,148.003105
1159|9,149.398867
1159|10,148.475518
1159|4,153.754821
1159|3,152.282087
1159|1,48.757154
1159|2,158.599194
1197|7,68.663836
1197|8,133.154765
1197|6,140.920708
1197|5,141.198290
1197|12,100.229465
1197|10,76.972491
1197|9,140.414864
1197|3,175.305314
1197|4,177.631837
1197|11,133.634890
1197|1,81.213171
1197|2,126.393942
