id,importanceSampling
411|4,134.265424
411|3,143.471390
411|5,159.515290
411|6,161.956155
411|8,136.084046
411|7,137.168944
411|9,155.426650
411|10,161.864771
411|12,135.854464
411|11,133.784833
411|1,83.061022
411|2,147.583652
152|8,144.756693
152|7,144.636278
152|6,151.221230
152|5,150.415552
152|12,140.318772
152|11,138.375628
152|10,144.316144
152|9,148.477363
152|3,145.586170
152|4,145.462788
152|1,77.828321
152|2,150.613319
1056|8,141.071358
1056|7,142.651871
1056|6,147.490452
1056|5,147.984357
1056|12,150.656455
1056|11,111.776247
1056|10,113.399246
1056|9,149.983978
1056|4,143.773163
1056|3,141.590412
1056|1,77.212419
1056|2,163.571618
462|6,207.971903
462|5,205.541954
462|4,206.383148
462|3,171.761977
462|9,138.821810
462|10,141.699834
462|7,151.959949
462|8,151.579968
462|11,160.145354
462|12,169.465942
462|1,90.961720
462|2,161.664164
1159|8,151.513477
1159|7,153.949546
1159|5,158.795339
1159|6,158.192916
1159|11,151.871071
1159|12,161.614565
1159|9,151.637545
1159|10,152.874782
1159|4,149.866373
1159|3,149.046007
1159|1,81.571640
1159|2,158.692534
1197|7,131.961343
1197|8,131.191466
1197|6,138.784477
1197|5,138.346989
1197|12,132.393129
1197|10,141.895204
1197|9,142.230811
1197|3,98.756460
1197|4,99.220709
1197|11,131.978816
1197|1,81.412378
1197|2,159.303387
