U_pop,6.03519e+07,-6.51472e+07,-6.13001e+07,-6.09501e+07,-6.11373e+07,-6.07146e+07,-2.26206e-05,-0.000109381,2.25337e-05,0.000103916,6.21649e-05,2.90868e-05,1306.99,nan,-1306.83,nan,nan,-1241.93,-2.05005e-05,2.26355e-09,nan,39.3152
beta_U_mean_cc_643_5,-6.51472e+07,8.34503e+07,6.6409e+07,6.59432e+07,6.61923e+07,6.56298e+07,5.23143e-05,0.000234068,-5.14426e-05,-0.000138944,-0.000144523,-6.05507e-05,-1415.24,nan,1415.03,nan,nan,1328.67,7.56451e-05,-4.77065e-08,nan,-52.3182
beta_U_mean_cc_654_75,-6.13001e+07,6.6409e+07,1.30207e+08,6.19374e+07,6.21368e+07,6.16865e+07,2.3487e-05,0.000113247,-2.33853e-05,-0.00010609,-6.45589e-05,-3.03721e-05,-1328.39,nan,4243.36,nan,nan,1259.08,2.1769e-05,-3.07729e-09,nan,-41.8863
beta_U_mean_cc_695_25,-6.09501e+07,6.59432e+07,6.19374e+07,6.90689e+07,6.17679e+07,6.13277e+07,2.31672e-05,0.00011182,-2.3071e-05,-0.000105287,-6.36752e-05,-2.98977e-05,-1320.49,nan,1320.33,nan,nan,1252.75,2.13008e-05,-2.77693e-09,nan,-40.9373
beta_U_mean_cc_713_75,-6.11373e+07,6.61923e+07,6.21368e+07,6.17679e+07,7.48155e+07,6.15196e+07,2.33382e-05,0.000112583,-2.32391e-05,-0.000105716,-6.41477e-05,-3.01514e-05,-1324.72,nan,1324.55,nan,nan,1256.14,2.15511e-05,-2.93754e-09,nan,-41.4448
beta_U_mean_cc_910_0,-6.07146e+07,6.56298e+07,6.16865e+07,6.13277e+07,6.15196e+07,7.55924e+07,0.000123159,4.19565e-05,-0.000103684,-0.000168084,-0.000359856,0.0100275,-1315.17,nan,1315.01,nan,nan,102510,0.000911509,-1.21558e-06,nan,-40.2985
L_pop,-2.26206e-05,5.23143e-05,2.3487e-05,2.31672e-05,2.33382e-05,0.000123159,379.028,-316.501,-373.297,-368.363,-559.972,-376.273,-6.09969e-10,nan,6.09828e-10,nan,nan,8.72093e-07,315.744,-0.348564,nan,-3.59242e-11
beta_L_mean_cc_643_5,-0.000109381,0.000234068,0.000113247,0.00011182,0.000112583,4.19565e-05,-316.501,576.206,312.524,308.992,386.435,314.607,-3.00178e-09,nan,3.00115e-09,nan,nan,-5.96541e-07,-195.371,0.246475,nan,-1.6032e-10
beta_L_mean_cc_654_75,2.25337e-05,-5.14426e-05,-2.33853e-05,-2.3071e-05,-2.32391e-05,-0.000103684,-373.297,312.524,647.656,364.771,542.981,371.075,6.09486e-10,nan,-6.09347e-10,nan,nan,-7.03514e-07,-264.141,0.278179,nan,3.53101e-11
beta_L_mean_cc_695_25,0.000103916,-0.000138944,-0.00010609,-0.000105287,-0.000105716,-0.000168084,-368.363,308.992,364.771,640.734,528.299,366.622,3.09473e-09,nan,-3.09438e-09,nan,nan,-5.5381e-07,-217.748,0.214625,nan,9.01341e-11
