rep,id,eta_U,eta_L,eta_h,eta_f,eta_alpha,goes_down,mab_virus,run_id
1,14|705|14|705|vc|7|2|233|2|233|69.0,0,-8.54202e-08,3.17561e-08,-0.957488,0,False,69.0|233,705
1,14|705|14|705|vc|8|2|233|2|233|69.0,0,2.71806e-08,-6.03079e-08,-2.27516,0,False,69.0|233,705
1,8|152|8|152|sample|8|322|8|322|65.0,0,-1.0468e-07,-9.42417e-08,-1.43794,0,True,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,0,3.29691e-08,1.77108e-08,-1.2744,0,True,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,0,1.8987e-08,3.12665e-08,-1.71736,0,True,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,0,-1.49837e-08,2.39871e-08,-1.41504,0,True,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,0,-5.16766e-08,4.89226e-08,-2.46203,0,True,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,0,-7.2164e-08,2.949e-08,-2.47093,0,True,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,0,3.68451e-08,2.83664e-08,-2.76972,0,True,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,0,6.08516e-08,1.09971e-07,-2.16108,0,True,28.0|322,152
1,8|152|8|152|sample|3|322|3|322|22.0,0,-4.14598e-08,5.98814e-09,-1.59662,0,True,22.0|322,152
1,8|152|8|152|sample|4|322|4|322|22.0,0,-2.14847e-08,4.28044e-08,-1.44457,0,True,22.0|322,152
1,8|152|8|152|cc|1|1|322|1|322|69.0,0,2.59701e-08,3.68292e-08,-0.640257,0,False,69.0|322,152
1,8|152|8|152|cc|2|1|322|1|322|69.0,0,-2.46891e-08,-4.15254e-08,0.636472,0,False,69.0|322,152
1,8|152|8|152|cc|3|1|322|1|322|69.0,0,-2.3326e-08,1.77038e-09,4.99396,0,False,69.0|322,152
1,8|152|8|152|cc|4|1|322|1|322|69.0,0,-1.80618e-08,-7.77564e-08,-4.08479,0,False,69.0|322,152
1,8|152|8|152|cc|5|1|322|1|322|69.0,0,8.5538e-10,3.35459e-08,-0.744654,0,False,69.0|322,152
1,8|152|8|152|cc|6|1|322|1|322|69.0,0,1.08912e-10,1.14719e-08,-0.479716,0,False,69.0|322,152
1,8|152|8|152|cc|7|1|322|1|322|69.0,0,-5.72767e-08,7.2745e-08,3.50423,0,False,69.0|322,152
1,8|152|8|152|cc|8|1|322|1|322|69.0,0,-1.44234e-08,6.13839e-08,-1.45155,0,False,69.0|322,152
1,8|152|8|152|vc|1|2|322|2|322|69.0,0,-1.66037e-08,-7.9618e-09,-2.09287,0,False,69.0|322,152
1,8|152|8|152|vc|2|2|322|2|322|69.0,0,-5.48756e-08,-3.72883e-08,3.91969,0,False,69.0|322,152
1,8|152|8|152|vc|3|2|322|2|322|69.0,0,-6.52263e-08,-4.54912e-08,4.15485,0,False,69.0|322,152
1,8|152|8|152|vc|4|2|322|2|322|69.0,0,-5.19229e-08,7.97708e-09,0.795565,0,False,69.0|322,152
1,8|152|8|152|vc|5|2|322|2|322|69.0,0,-5.81997e-08,-9.40463e-08,0.641049,0,False,69.0|322,152
1,8|152|8|152|vc|6|2|322|2|322|69.0,0,-2.71822e-08,1.66976e-08,0.944314,0,False,69.0|322,152
1,8|152|8|152|vc|7|2|322|2|322|69.0,0,1.1381e-08,4.38638e-08,3.84924,0,False,69.0|322,152
1,8|152|8|152|vc|8|2|322|2|322|69.0,0,-4.93003e-09,-6.05276e-08,-1.78011,0,False,69.0|322,152
1,8|1159|8|1159|sample|8|292|8|292|65.0,0,7.8677e-09,3.11891e-09,-0.928702,0,True,65.0|292,1159
1,8|1159|8|1159|sample|7|292|7|292|65.0,0,-5.59979e-08,4.768e-09,-0.890392,0,True,65.0|292,1159
1,8|1159|8|1159|sample|5|292|5|292|65.0,0,-2.02102e-08,4.48984e-08,-0.99909,0,True,65.0|292,1159
1,8|1159|8|1159|sample|6|292|6|292|65.0,0,1.46397e-08,2.19098e-08,-0.823347,0,True,65.0|292,1159
1,8|1159|8|1159|sample|11|292|11|292|28.0,0,-1.35832e-08,-1.89405e-08,-2.30783,0,True,28.0|292,1159
1,8|1159|8|1159|sample|12|292|12|292|28.0,0,5.72919e-08,8.953e-08,-2.53468,0,True,28.0|292,1159
1,8|1159|8|1159|sample|9|292|9|292|28.0,0,6.3396e-08,-2.5334e-08,-1.88916,0,True,28.0|292,1159
1,8|1159|8|1159|sample|10|292|10|292|28.0,0,1.68533e-08,-5.68032e-09,-1.91909,0,True,28.0|292,1159
1,8|1159|8|1159|sample|4|292|4|292|22.0,0,-5.31604e-08,-8.49982e-08,-0.379728,0,True,22.0|292,1159
1,8|1159|8|1159|sample|3|292|3|292|22.0,0,-3.76095e-08,-2.62581e-08,-0.633075,0,True,22.0|292,1159
1,8|1159|8|1159|cc|1|1|292|1|292|69.0,0,1.3611e-08,8.1929e-08,-3.29408,0,False,69.0|292,1159
1,8|1159|8|1159|cc|2|1|292|1|292|69.0,0,3.87962e-08,4.45338e-08,0.504754,0,False,69.0|292,1159
1,8|1159|8|1159|cc|3|1|292|1|292|69.0,0,1.27518e-08,2.287e-08,1.33468,0,False,69.0|292,1159
1,8|1159|8|1159|cc|4|1|292|1|292|69.0,0,-7.52303e-08,3.62898e-08,0.158795,0,False,69.0|292,1159
1,8|1159|8|1159|cc|5|1|292|1|292|69.0,0,-2.23714e-08,3.85224e-08,-5.31237,0,False,69.0|292,1159
1,8|1159|8|1159|cc|6|1|292|1|292|69.0,0,-1.86867e-08,-1.69871e-08,2.16863,0,False,69.0|292,1159
1,8|1159|8|1159|cc|7|1|292|1|292|69.0,0,3.03293e-08,-6.51477e-09,-4.15516,0,False,69.0|292,1159
1,8|1159|8|1159|cc|8|1|292|1|292|69.0,0,6.59619e-08,-7.55574e-08,6.36407,0,False,69.0|292,1159
1,8|1159|8|1159|vc|1|2|292|2|292|69.0,0,-5.29496e-08,-6.37666e-08,-0.184751,0,False,69.0|292,1159
1,8|1159|8|1159|vc|2|2|292|2|292|69.0,0,-1.78978e-08,1.93195e-08,0.156827,0,False,69.0|292,1159
1,8|1159|8|1159|vc|3|2|292|2|292|69.0,0,2.44786e-08,2.75949e-09,-2.94538,0,False,69.0|292,1159
1,8|1159|8|1159|vc|4|2|292|2|292|69.0,0,8.71796e-09,-4.23267e-09,-0.881262,0,False,69.0|292,1159
1,8|1159|8|1159|vc|5|2|292|2|292|69.0,0,1.18348e-10,8.0041e-09,4.01609,0,False,69.0|292,1159
1,8|1159|8|1159|vc|6|2|292|2|292|69.0,0,3.52395e-08,-8.05672e-09,1.13521,0,False,69.0|292,1159
1,8|1159|8|1159|vc|7|2|292|2|292|69.0,0,2.91155e-08,-9.25587e-08,-4.10376,0,False,69.0|292,1159
1,8|1159|8|1159|vc|8|2|292|2|292|69.0,0,1.20003e-08,7.36511e-09,-0.788078,0,False,69.0|292,1159
1,8|1197|8|1197|sample|7|103|7|103|65.0,0,2.29921e-08,3.98671e-08,-3.06525,0,True,65.0|103,1197
1,8|1197|8|1197|sample|8|103|8|103|65.0,0,-3.03759e-08,1.72555e-08,-3.11202,0,True,65.0|103,1197
1,8|1197|8|1197|sample|6|103|6|103|65.0,0,3.96518e-08,4.58209e-08,-3.10914,0,True,65.0|103,1197
1,8|1197|8|1197|sample|5|103|5|103|65.0,0,-4.22299e-08,-4.66215e-08,-3.34957,0,True,65.0|103,1197
1,8|1197|8|1197|sample|12|103|12|103|28.0,0,-2.91266e-08,-2.57292e-08,-3.58462,0,True,28.0|103,1197
1,8|1197|8|1197|sample|10|103|10|103|28.0,0,-3.63764e-08,-1.45514e-08,-3.42639,0,True,28.0|103,1197
1,8|1197|8|1197|sample|9|103|9|103|28.0,0,-3.20216e-08,-1.70256e-08,-3.43235,0,True,28.0|103,1197
1,8|1197|8|1197|sample|3|103|3|103|22.0,0,-3.11474e-08,4.01921e-08,-3.12086,0,True,22.0|103,1197
1,8|1197|8|1197|sample|4|103|4|103|22.0,0,-8.1418e-09,1.90415e-08,-3.23215,0,True,22.0|103,1197
1,8|1197|8|1197|sample|11|103|11|103|28.0,0,-2.30124e-08,4.92228e-08,-3.72474,0,True,28.0|103,1197
