rep,id,eta_L_gap,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0,0,1.25985,0,0,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0,0,0.612829,0,0,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0,0,1.36696,0,0,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0,0,1.49805,0,0,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,0,0,0.967329,0,0,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,0,0,0.898845,0,0,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0,0,1.33877,0,0,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0,0,1.35754,0,0,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,0,0,0.941022,0,0,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,0,0,1.24693,0,0,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,0,0,1.63294,0,0,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,0,0,-3.25005,0,0,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,0,0,1.76035,0,0,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,0,0,-0.314857,0,0,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,0,0,0.332953,0,0,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,0,0,1.05125,0,0,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,0,0,-3.74243,0,0,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,0,0,-1.45198,0,0,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,0,0,2.63704,0,0,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,0,0,-0.38315,0,0,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,0,0,3.13374,0,0,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,0,0,1.82761,0,0,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,0,0,1.70824,0,0,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,0,0,1.15276,0,0,False,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,0,0,0.155629,0,0,False,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,0,0,2.25385,0,0,False,69.0|274,411
1,14|783|14|783|sample|3|71|3|71|6.0,0,0,5.2928,0,0,True,6.0|71,783
1,14|783|14|783|sample|4|71|4|71|6.0,0,0,5.56278,0,0,True,6.0|71,783
1,14|783|14|783|sample|5|71|5|71|6.0,0,0,4.87664,0,0,True,6.0|71,783
1,14|783|14|783|sample|6|71|6|71|6.0,0,0,5.01994,0,0,True,6.0|71,783
1,14|783|14|783|sample|7|71|7|71|6.0,0,0,-0.926327,0,0,True,6.0|71,783
1,14|783|14|783|sample|8|71|8|71|6.0,0,0,-0.904656,0,0,True,6.0|71,783
1,14|783|14|783|sample|10|71|10|71|6.0,0,0,5.25766,0,0,True,6.0|71,783
