id,importanceSampling
411|4,134.128766
411|3,143.478233
411|5,159.501245
411|6,162.083112
411|8,136.104959
411|7,137.157506
411|9,155.519067
411|10,161.780618
411|12,136.227876
411|11,133.818488
411|1,82.980122
411|2,147.235195
152|8,145.094444
152|7,144.171285
152|6,151.426782
152|5,151.197195
152|12,140.192160
152|11,138.146437
152|10,144.236462
152|9,148.568277
152|3,146.269167
152|4,112.257839
152|1,77.836350
152|2,150.739621
1056|8,141.062672
1056|7,142.876032
1056|6,147.592268
1056|5,148.083631
1056|12,149.431100
1056|11,143.594590
1056|10,113.301434
1056|9,117.910960
1056|4,143.766052
1056|3,141.731375
1056|1,77.080976
1056|2,163.627457
462|6,206.560870
462|5,204.336844
462|4,205.327189
462|3,203.539031
462|9,139.283351
462|10,142.551855
462|7,153.053860
462|8,153.196502
462|11,162.228732
462|12,124.867149
462|1,90.958682
462|2,162.070721
1159|8,151.672120
1159|7,153.744496
1159|5,158.636509
1159|6,124.603760
1159|11,149.670260
1159|12,159.611954
1159|9,152.974449
1159|10,154.034896
1159|4,150.169948
1159|3,148.652963
1159|1,81.593222
1159|2,158.682444
1197|7,131.846249
1197|8,97.720154
1197|6,138.895048
1197|5,138.126158
1197|12,134.498197
1197|10,141.519793
1197|9,107.623440
1197|3,98.222671
1197|4,131.544429
1197|11,132.414113
1197|1,81.428881
1197|2,159.420857
