id,importanceSampling
411|4,131.089514
411|3,142.509133
411|5,155.501305
411|6,161.208168
411|8,132.681469
411|7,134.496837
411|9,154.338300
411|10,158.321870
411|12,133.358718
411|11,131.562756
411|1,83.414057
411|2,147.139329
152|8,142.344746
152|7,142.107880
152|6,150.048599
152|5,149.123378
152|12,138.190217
152|11,136.311191
152|10,142.153370
152|9,145.960524
152|3,144.479393
152|4,145.477996
152|1,77.607194
152|2,151.268753
1056|8,137.372883
1056|7,139.294611
1056|6,145.122394
1056|5,145.879151
1056|12,144.534593
1056|11,138.309111
1056|10,141.593870
1056|9,111.048050
1056|4,140.342490
1056|3,139.695884
1056|1,77.322305
1056|2,162.849475
462|6,166.495344
462|5,166.804062
462|4,172.165611
462|3,171.671745
462|9,161.915721
462|10,165.133390
462|7,171.548967
462|8,169.836571
462|11,163.110273
462|12,127.568298
462|1,90.766447
462|2,161.455738
1159|8,154.932065
1159|7,158.843364
1159|5,159.799480
1159|6,159.540603
1159|11,160.299807
1159|12,172.733535
1159|9,122.037600
1159|10,167.653570
1159|4,163.613496
1159|3,159.999877
1159|1,81.389491
1159|2,157.999860
1197|7,126.406425
1197|8,126.278105
1197|6,133.780240
1197|5,135.237012
1197|12,130.558963
1197|10,135.372148
1197|9,135.118558
1197|3,93.189325
1197|4,95.257517
1197|11,127.126327
1197|1,81.765351
1197|2,159.444933
