rep,id,eta_f,eta_h,eta_L_gap,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0.034234,0,-1.08176,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,-0.342385,0,0.867078,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0.0802207,0,-0.248519,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0.166379,0,0.282836,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,-0.109468,0,1.49485,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,-0.0352295,0,1.67755,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0.0617658,0,-3.86409,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0.159433,0,6.14558,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,-0.102366,0,-2.91873,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,-0.0432275,0,-2.67011,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,0.0957853,0,2.23402,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,-0.0552701,0,3.58845,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,0.02039,0,-1.16194,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,-0.0046362,0,2.23383,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,0.101017,0,0.130282,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,-0.056379,0,0.73853,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,-0.121827,0,-3.75314,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,-0.15959,0,-6.60504,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,0.185184,0,-6.27482,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,-0.0918744,0,2.00122,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,-0.0356375,0,-1.64554,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,0.0776661,0,3.81225,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,0.249249,0,-2.82859,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,-0.153034,0,-0.532451,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,-0.0255334,0,1.14681,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,-0.0862359,0,-0.366668,69.0|274,411
1,8|152|8|152|sample|8|322|8|322|65.0,-0.0704039,0,-6.73908,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,0.143972,0,0.856619,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,0.123507,0,2.13356,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,0.0438988,0,3.24145,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,-0.0647769,0,-3.44997,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,-0.00866868,0,-5.29056,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,-0.142198,0,-0.509782,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,0.0288683,0,-0.0612031,28.0|322,152
1,8|152|8|152|sample|3|322|3|322|22.0,-0.0480761,0,-3.15481,22.0|322,152
1,8|152|8|152|sample|4|322|4|322|22.0,0.0666577,0,3.30657,22.0|322,152
1,8|152|8|152|cc|1|1|322|1|322|69.0,0.130731,0,-4.17887,69.0|322,152
1,8|152|8|152|cc|2|1|322|1|322|69.0,-0.0505696,0,0.408611,69.0|322,152
1,8|152|8|152|cc|3|1|322|1|322|69.0,-0.207895,0,-4.20412,69.0|322,152
1,8|152|8|152|cc|4|1|322|1|322|69.0,-0.0263608,0,1.34444,69.0|322,152
1,8|152|8|152|cc|5|1|322|1|322|69.0,-0.0151235,0,5.06771,69.0|322,152
1,8|152|8|152|cc|6|1|322|1|322|69.0,0.10715,0,7.90915,69.0|322,152
1,8|152|8|152|cc|7|1|322|1|322|69.0,-0.00426141,0,-3.50784,69.0|322,152
1,8|152|8|152|cc|8|1|322|1|322|69.0,-0.0517244,0,1.43509,69.0|322,152
1,8|152|8|152|vc|1|2|322|2|322|69.0,0.174171,0,2.97497,69.0|322,152
1,8|152|8|152|vc|2|2|322|2|322|69.0,-0.0590082,0,-1.1845,69.0|322,152
1,8|152|8|152|vc|3|2|322|2|322|69.0,0.0304942,0,0.286292,69.0|322,152
1,8|152|8|152|vc|4|2|322|2|322|69.0,-0.157581,0,0.543944,69.0|322,152
1,8|152|8|152|vc|5|2|322|2|322|69.0,-0.0379644,0,-4.9303,69.0|322,152
1,8|152|8|152|vc|6|2|322|2|322|69.0,0.097141,0,-2.2501,69.0|322,152
1,8|152|8|152|vc|7|2|322|2|322|69.0,0.0573151,0,0.504087,69.0|322,152
1,8|152|8|152|vc|8|2|322|2|322|69.0,-0.0111734,0,-1.19864,69.0|322,152
1,8|1056|8|1056|sample|8|276|8|276|65.0,0.00094175,0,-0.595509,65.0|276,1056
1,8|1056|8|1056|sample|7|276|7|276|65.0,-0.0404389,0,-1.63535,65.0|276,1056
1,8|1056|8|1056|sample|6|276|6|276|65.0,-0.0954915,0,1.69487,65.0|276,1056
1,8|1056|8|1056|sample|5|276|5|276|65.0,-0.110629,0,-3.29529,65.0|276,1056
1,8|1056|8|1056|sample|12|276|12|276|28.0,-0.227401,0,2.82542,28.0|276,1056
1,8|1056|8|1056|sample|11|276|11|276|28.0,-0.0613277,0,0.847394,28.0|276,1056
1,8|1056|8|1056|sample|10|276|10|276|28.0,0.147099,0,2.48879,28.0|276,1056
1,8|1056|8|1056|sample|9|276|9|276|28.0,0.334252,0,1.48161,28.0|276,1056
1,8|1056|8|1056|sample|4|276|4|276|22.0,-0.0616445,0,1.04933,22.0|276,1056
1,8|1056|8|1056|sample|3|276|3|276|22.0,-0.0296196,0,0.107806,22.0|276,1056
1,8|1056|8|1056|cc|1|1|276|1|276|69.0,0.122743,0,2.92873,69.0|276,1056
1,8|1056|8|1056|cc|2|1|276|1|276|69.0,0.0383262,0,-0.612133,69.0|276,1056
1,8|1056|8|1056|cc|3|1|276|1|276|69.0,0.136909,0,-2.31493,69.0|276,1056
1,8|1056|8|1056|cc|4|1|276|1|276|69.0,-0.138996,0,-3.3005,69.0|276,1056
1,8|1056|8|1056|cc|5|1|276|1|276|69.0,-0.00557376,0,-3.46469,69.0|276,1056
1,8|1056|8|1056|cc|6|1|276|1|276|69.0,-0.0436398,0,-1.04558,69.0|276,1056
1,8|1056|8|1056|cc|7|1|276|1|276|69.0,0.0104182,0,-1.03132,69.0|276,1056
1,8|1056|8|1056|cc|8|1|276|1|276|69.0,-0.100085,0,-3.39321,69.0|276,1056
1,8|1056|8|1056|vc|1|2|276|2|276|69.0,0.0546903,0,2.38215,69.0|276,1056
1,8|1056|8|1056|vc|2|2|276|2|276|69.0,0.0143287,0,-0.0830754,69.0|276,1056
