rep,id,eta_U,eta_L,eta_h,eta_f,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0,-6.7844e-08,-8.8355e-09,-2.01572e-08,0,0,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0,-3.08421e-09,-1.54925e-08,-2.506e-08,0,0,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0,-1.13199e-08,6.73361e-09,-5.00109e-09,0,0,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0,7.98731e-08,-6.58325e-09,-4.30761e-09,0,0,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,0,-4.75541e-09,-6.0277e-08,-5.25534e-08,0,0,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,0,-3.69952e-08,-2.48455e-08,-2.16392e-09,0,0,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0,-5.807e-08,2.97694e-08,4.51432e-08,0,0,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0,1.99409e-08,2.40491e-08,6.07107e-09,0,0,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,0,3.7466e-08,-1.16236e-08,5.04676e-08,0,0,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,0,-8.40276e-08,1.37782e-08,-3.07261e-08,0,0,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,0,5.13586e-08,4.26194e-08,-3.52417e-08,0,0,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,0,2.60305e-08,-3.17414e-08,6.97273e-09,0,0,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,0,-2.47614e-08,-7.93034e-09,2.48272e-08,0,0,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,0,-6.65154e-08,1.04268e-08,-4.56457e-08,0,0,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,0,-4.06609e-08,-5.48241e-08,1.99153e-08,0,0,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,0,2.47792e-08,2.12221e-09,-4.30894e-08,0,0,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,0,-2.07731e-08,2.51654e-08,2.46114e-08,0,0,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,0,1.01242e-07,7.15076e-09,1.34771e-08,0,0,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,0,2.5201e-09,1.58336e-08,-1.2367e-08,0,0,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,0,1.11888e-07,-9.31213e-09,1.02247e-08,0,0,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,0,2.11653e-08,1.62592e-09,1.92755e-08,0,0,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,0,1.63715e-08,-2.83982e-10,-2.37897e-08,0,0,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,0,2.81992e-08,-5.16517e-08,-1.92367e-08,0,0,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,0,-3.86432e-08,-1.57109e-08,-8.1256e-09,0,0,False,69.0|274,411
