id,importanceSampling
411|4,137.247366
411|3,99.439627
411|5,159.737542
411|6,159.631667
411|8,136.508295
411|7,135.144698
411|9,157.032034
411|10,158.894629
411|12,133.273933
411|11,135.003083
411|1,83.072007
411|2,116.280369
152|8,148.399680
152|7,148.087404
152|6,153.665248
152|5,120.778101
152|12,144.979808
152|11,142.370823
152|10,147.612463
152|9,150.475629
152|3,149.828205
152|4,149.088304
152|1,77.836360
152|2,151.757283
1056|8,146.706444
1056|7,148.670805
1056|6,150.892478
1056|5,151.300836
1056|12,146.252842
1056|11,145.316507
1056|10,152.109415
1056|9,154.006997
1056|4,148.973693
1056|3,145.464788
1056|1,77.055704
1056|2,163.517388
462|6,166.705425
462|5,167.726844
462|4,172.713244
462|3,171.290684
462|9,82.122358
462|10,152.619710
462|7,160.379139
462|8,124.446060
462|11,135.707287
462|12,143.035283
462|1,90.985183
462|2,161.726847
1159|8,162.048918
1159|7,163.834889
1159|5,166.799635
1159|6,165.824916
1159|11,146.832832
1159|12,150.667540
1159|9,160.349206
1159|10,163.912484
1159|4,153.952135
1159|3,153.557806
1159|1,48.037507
1159|2,128.008060
1197|7,107.869175
1197|8,139.901203
1197|6,146.278300
1197|5,113.855982
1197|12,143.084737
1197|10,118.978903
1197|9,149.004781
1197|3,138.104578
1197|4,139.463185
1197|11,146.179382
1197|1,81.475805
1197|2,159.681519
