id,eta_L_gap_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_gap_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|705|14|705|vc|4|2|233|2|233|69.0,-1.65872e-09,-1.58073e-10,-0.183065,0,0,3.55271e-15,-1.2379e-14,3.18416e-07,0,0,False,69.0|233,705
14|705|14|705|vc|5|2|233|2|233|69.0,3.82447e-10,6.55548e-09,-0.0186654,0,0,5.15143e-13,-1.79179e-12,-0.0190551,0,0,False,69.0|233,705
14|705|14|705|vc|6|2|233|2|233|69.0,-2.67028e-09,-1.38447e-08,0.182335,0,0,0,8.88178e-15,7.17032e-08,0,0,False,69.0|233,705
14|705|14|705|vc|7|2|233|2|233|69.0,-5.60211e-10,3.07565e-09,-0.204105,0,0,-3.55271e-15,-1.60982e-15,-2.81323e-07,0,0,False,69.0|233,705
14|705|14|705|vc|8|2|233|2|233|69.0,1.08061e-09,1.29396e-09,-0.146631,0,0,3.55271e-15,2.55351e-15,1.98437e-07,0,0,False,69.0|233,705
14|555|14|555|sample|4|233|4|233|6.0,-7.31772e-09,-1.96349e-10,1.62067,0,0,-1.77636e-14,-7.52176e-14,1.59052,0,0,True,6.0|233,555
14|555|14|555|sample|3|233|3|233|6.0,-1.39958e-09,-1.06375e-08,1.68956,0,0,1.77636e-15,-1.30868e-13,1.72722,0,0,True,6.0|233,555
14|555|14|555|sample|5|233|5|233|6.0,5.2105e-09,4.45334e-09,1.83155,0,0,3.37508e-14,-5.68989e-14,1.75451,0,0,True,6.0|233,555
14|555|14|555|sample|6|233|6|233|6.0,-4.79817e-09,-7.15052e-09,1.77008,0,0,-5.15143e-14,4.34097e-14,1.81887,0,0,True,6.0|233,555
14|555|14|555|sample|7|233|7|233|6.0,-3.66713e-09,5.00068e-09,-1.68373,0,0,1.22569e-13,-2.41834e-13,-1.7247,0,0,True,6.0|233,555
14|555|14|555|sample|8|233|8|233|6.0,-3.98495e-09,4.54783e-09,-1.70749,0,0,2.98428e-13,4.98046e-13,-1.70412,0,0,True,6.0|233,555
14|555|14|555|sample|9|233|9|233|6.0,8.9155e-10,-1.0485e-08,1.71537,0,0,1.24345e-14,7.35523e-13,1.67015,0,0,True,6.0|233,555
14|555|14|555|sample|10|233|10|233|6.0,5.31425e-09,4.15986e-09,1.76115,0,0,-1.42109e-14,3.15303e-14,1.73211,0,0,True,6.0|233,555
14|555|14|555|sample|12|233|12|233|6.0,-3.37313e-09,-9.8956e-09,-2.68768,0,0,1.08358e-13,-2.00007e-13,-2.68224,0,0,True,6.0|233,555
14|555|14|555|sample|11|233|11|233|6.0,-6.93063e-09,1.23143e-09,-2.62872,0,0,-8.88178e-15,2.11553e-13,-2.64913,0,0,True,6.0|233,555
14|555|14|555|cc|1|1|233|1|233|69.0,-9.08232e-10,2.03941e-09,-0.216563,0,0,3.55271e-15,8.88178e-16,1.7112e-07,0,0,False,69.0|233,555
14|555|14|555|cc|2|1|233|1|233|69.0,4.32961e-09,-4.89588e-10,-0.0241725,0,0,0,-4.32987e-15,3.99118e-07,0,0,False,69.0|233,555
14|555|14|555|cc|3|1|233|1|233|69.0,1.32049e-09,-9.67299e-09,0.476715,0,0,0,9.99201e-16,3.07361e-07,0,0,False,69.0|233,555
14|555|14|555|cc|4|1|233|1|233|69.0,1.75447e-09,4.51103e-10,0.459399,0,0,3.55271e-15,6.55032e-15,2.19026e-07,0,0,False,69.0|233,555
14|555|14|555|cc|5|1|233|1|233|69.0,-3.74613e-09,-3.39749e-09,0.12709,0,0,5.32907e-15,-1.83187e-15,-3.31112e-07,0,0,False,69.0|233,555
14|555|14|555|cc|6|1|233|1|233|69.0,1.93055e-10,-8.93624e-10,-0.2872,0,0,0,-2.22045e-15,-4.21979e-07,0,0,False,69.0|233,555
