rep,id,eta_L_gap,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,-6.33943e-09,-2.98064e-08,-0.579201,0,0,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,-7.48376e-10,6.57726e-08,-0.894585,0,0,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,-1.11067e-08,-6.39275e-08,-0.44679,0,0,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,7.64061e-09,-3.08476e-08,-0.361932,0,0,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,1.19362e-08,5.03782e-08,-0.784446,0,0,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,1.33836e-08,-9.58813e-10,-0.706124,0,0,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,-1.57792e-08,2.12332e-08,-0.352014,0,0,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,-1.04761e-09,-8.68508e-08,-0.363749,0,0,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,-3.90576e-08,1.76252e-08,-0.89671,0,0,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,3.97274e-08,3.21014e-08,-0.555252,0,0,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,2.20751e-08,1.07251e-07,1.77235,0,0,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,-1.77524e-08,2.27416e-08,2.57647,0,0,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,4.27161e-09,-6.77111e-08,-0.439705,0,0,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,3.50186e-08,7.79531e-09,-0.0118028,0,0,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,-4.46762e-08,7.3297e-08,-0.338942,0,0,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,-5.25452e-08,4.09928e-08,1.0569,0,0,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,6.65485e-09,4.68274e-08,2.4045,0,0,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,1.98392e-08,2.41628e-08,-0.593029,0,0,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,2.496e-08,3.57894e-08,-0.185574,0,0,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,-6.28354e-09,-5.43104e-09,-1.97555,0,0,False,69.0|274,411
