rep,id,f,h,s,L_gap,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,1.69339,0.970523,2.5049,-3.00399,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0.689383,0.970523,1.99443,-3.00399,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,1.62329,0.970523,2.35764,-3.00399,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0.806651,0.970523,1.44231,-3.00399,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,1.19464,0.970523,2.34156,-3.00399,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,1.82514,0.970523,3.40787,-3.00399,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0.914746,0.970523,1.75576,-3.00399,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,3.39579,0.970523,3.69528,-3.00399,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,0.756068,0.970523,1.90278,-3.00399,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,1.66981,0.970523,3.06133,-3.00399,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,1.41144,1.91904,0.568453,-1.41897,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,1.59497,1.91904,0.264329,-1.41897,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,1.49003,1.91904,1.65904,-1.41897,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,0.321838,1.91904,0.39296,-1.41897,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,0.152043,1.91904,1.72285,-1.41897,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,0.866772,1.91904,0.468753,-1.41897,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,1.7619,1.91904,0.0923529,-1.41897,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,0.541278,1.91904,0.844409,-1.41897,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,1.16438,1.91904,28.4342,-1.41897,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,2.75109,1.91904,4.0597,-1.41897,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,8.55494,1.91904,6.99358,-1.41897,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,0.187849,1.91904,1.04954,-1.41897,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,0.998681,1.91904,0.0648709,-1.41897,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,4.59354,1.91904,4.84644,-1.41897,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,1.14386,1.91904,170.383,-1.41897,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,1.16411,1.91904,0.654912,-1.41897,69.0|274,411
1,8|152|8|152|sample|8|322|8|322|65.0,0.820574,0.807031,2.36251,-0.519851,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,0.638337,0.807031,2.02677,-0.519851,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,0.425985,0.807031,1.75741,-0.519851,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,0.389676,0.807031,1.70763,-0.519851,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,0.219871,0.624495,2.44975,-5.98962,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,0.846106,0.624495,3.83906,-5.98962,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,1.11502,0.624495,4.42165,-5.98962,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,0.528278,0.624495,2.95046,-5.98962,28.0|322,152
1,8|152|8|152|sample|3|322|3|322|22.0,0.376408,0.719248,1.98566,3.97562,22.0|322,152
1,8|152|8|152|sample|4|322|4|322|22.0,0.445189,0.719248,1.95774,3.97562,22.0|322,152
