id,U_offset_SAEM,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,U_offset_mode,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
14|783|cc|3|1|71,2.47623,771.7,1.4995,0.0250891,12142.4,12.6462,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,783
14|783|cc|4|1|71,2.41416,771.876,1.4995,0.0233733,12142.4,12.6462,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,783
14|783|cc|5|1|71,2.42709,771.688,1.4995,0.0608505,12142.4,12.6462,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,783
14|783|cc|6|1|71,2.42224,771.836,1.4995,0.0555401,12142.4,12.6462,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,783
14|783|cc|7|1|71,2.45224,771.84,1.4995,0.0540979,12142.4,12.6462,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,783
14|783|cc|8|1|71,2.323,771.759,1.4995,0.0290033,12142.4,12.6462,2.36444,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|71,783
14|783|vc|1|2|71,2.34579,771.869,1.4995,0.0564244,12142.4,12.6462,2.36388,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,783
14|783|vc|2|2|71,2.45895,771.711,1.4995,0.0416296,12142.4,12.6462,2.36418,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|71,783
14|783|vc|3|2|71,2.48556,771.856,1.4995,0.0240728,12142.4,12.6462,2.36435,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,783
14|783|vc|4|2|71,2.5713,771.79,1.4995,0.0549138,12142.4,12.6462,2.36428,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,783
14|783|vc|5|2|71,2.40454,772.034,1.4995,0.020892,12142.4,12.6462,2.3647,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,783
14|783|vc|6|2|71,2.36995,771.79,1.4995,0.0495465,12142.4,12.6462,2.3646,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,783
14|783|vc|7|2|71,2.4058,771.843,1.4995,0.111325,12142.4,12.6462,2.36446,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,783
14|783|vc|8|2|71,2.41562,771.792,1.4995,0.0252462,12142.4,12.6462,2.36474,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,783
14|491|sample|10|99,5.34041,769.902,1.49945,148.383,12142.4,12.6461,6.0173,769.974,1.49366,153.277,12203.9,12.6467,True,6.0|99,491
14|491|sample|9|99,6.57754,770.241,1.49945,133.956,12142.4,12.6461,6.40991,769.974,1.49366,147.007,12203.9,12.6467,True,6.0|99,491
14|491|sample|12|99,5.95429,769.869,1.49945,32.5134,12142.4,12.6461,6.44315,769.979,1.49366,35.8186,12203.9,12.6467,True,6.0|99,491
14|491|sample|11|99,6.04417,769.942,1.49945,27.4699,12142.4,12.6461,6.46461,769.98,1.49366,28.9625,12203.9,12.6467,True,6.0|99,491
14|491|sample|4|99,5.75603,769.727,1.49951,12.739,12142.4,12.6461,6.58812,769.976,1.49371,12.3487,12203.9,12.6467,True,44.0|99,491
14|491|sample|3|99,6.13656,769.882,1.49951,10.789,12142.4,12.6461,6.33881,769.976,1.49371,11.0709,12203.9,12.6467,True,44.0|99,491
14|491|sample|6|99,6.62533,769.954,1.49951,7.22228,12142.4,12.6461,8.36065,769.981,1.49371,6.94117,12203.9,12.6467,True,44.0|99,491
14|491|sample|5|99,6.89666,770.054,1.49951,8.50536,12142.4,12.6461,8.27049,769.981,1.49371,7.85255,12203.9,12.6467,True,44.0|99,491
14|491|sample|7|99,7.21152,770.023,1.4995,340.864,12142.4,12.6461,9.02827,769.973,1.49371,298.731,12203.9,12.6467,True,63.0|99,491
14|491|sample|8|99,6.14156,770.063,1.4995,338.091,12142.4,12.6461,6.57633,769.973,1.49371,333.666,12203.9,12.6467,True,63.0|99,491
14|491|cc|1|1|99,2.46735,771.718,1.4995,0.0508201,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|99,491
14|491|cc|2|1|99,2.41243,771.943,1.4995,0.0515236,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|99,491
14|491|cc|3|1|99,2.42904,771.825,1.4995,0.0260205,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|99,491
14|491|cc|4|1|99,2.53242,771.798,1.4995,0.0594181,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|99,491
14|491|cc|5|1|99,2.42347,771.835,1.4995,0.0411586,12142.4,12.6461,2.36444,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|99,491
14|491|cc|6|1|99,2.48327,771.816,1.4995,0.295137,12142.4,12.6461,2.36444,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|99,491
14|491|cc|7|1|99,2.43787,771.847,1.4995,0.0319223,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|99,491
14|491|cc|8|1|99,2.45418,771.869,1.4995,0.0430116,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|99,491
14|491|vc|1|2|99,2.43546,771.755,1.4995,0.0425565,12142.4,12.6461,2.36491,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|99,491
14|491|vc|2|2|99,2.4026,771.782,1.4995,0.0249066,12142.4,12.6461,2.3638,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|99,491
14|491|vc|3|2|99,2.45729,771.815,1.4995,0.0392802,12142.4,12.6461,2.36403,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|99,491
14|491|vc|4|2|99,2.43763,771.659,1.4995,0.0304743,12142.4,12.6461,2.36423,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|99,491
14|491|vc|5|2|99,2.4622,771.744,1.4995,0.0285059,12142.4,12.6461,2.36469,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|99,491
14|491|vc|6|2|99,2.45803,771.558,1.4995,0.0433596,12142.4,12.6461,2.36418,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|99,491
14|491|vc|7|2|99,2.46818,771.616,1.4995,0.0250707,12142.4,12.6461,2.36447,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|99,491
14|491|vc|8|2|99,2.42591,771.783,1.4995,0.118869,12142.4,12.6461,2.3649,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|99,491
14|433|sample|4|99,10.6047,769.635,1.49945,13.7017,12142.4,12.6461,10.6419,769.977,1.49366,13.4243,12203.9,12.6467,True,6.0|99,433
14|433|sample|3|99,10.1448,770.286,1.49945,24.8864,12142.4,12.6461,10.2219,769.976,1.49366,22.9074,12203.9,12.6467,True,6.0|99,433
14|433|sample|6|99,5.77964,770.196,1.49945,1.10314,12142.4,12.6461,6.23875,769.98,1.49366,1.138,12203.9,12.6467,True,6.0|99,433
14|433|sample|5|99,9.48555,769.942,1.49945,0.968866,12142.4,12.6461,9.6469,769.98,1.49366,0.933207,12203.9,12.6467,True,6.0|99,433
14|433|sample|8|99,6.26268,769.874,1.49945,96.8395,12142.4,12.6461,6.44443,769.974,1.49366,100.36,12203.9,12.6467,True,6.0|99,433
14|433|sample|7|99,6.74226,770.24,1.49945,95.048,12142.4,12.6461,6.62413,769.973,1.49366,98.1525,12203.9,12.6467,True,6.0|99,433
14|433|sample|10|99,9.25268,770.014,1.49945,7.69068,12142.4,12.6461,9.54595,769.976,1.49366,7.96462,12203.9,12.6467,True,6.0|99,433
14|433|sample|9|99,7.70791,770.008,1.49945,10.495,12142.4,12.6461,9.24851,769.977,1.49366,9.25422,12203.9,12.6467,True,6.0|99,433
14|433|sample|11|99,7.29947,770.215,1.49945,2.48994,12142.4,12.6461,8.93414,769.981,1.49366,2.31431,12203.9,12.6467,True,6.0|99,433
14|433|sample|12|99,7.16524,769.796,1.49945,2.90565,12142.4,12.6461,8.75474,769.981,1.49366,2.70598,12203.9,12.6467,True,6.0|99,433
14|433|cc|1|1|99,2.50692,771.83,1.4995,0.0251375,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|99,433
14|433|cc|2|1|99,2.43248,771.808,1.4995,0.0738611,12142.4,12.6461,2.36444,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|99,433
14|433|cc|3|1|99,2.50566,771.81,1.4995,0.16838,12142.4,12.6461,2.36444,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|99,433
14|433|cc|4|1|99,2.43459,771.812,1.4995,0.0367792,12142.4,12.6461,2.36444,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|99,433
14|433|cc|5|1|99,2.30406,771.749,1.4995,0.0340859,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|99,433
14|433|cc|6|1|99,2.46783,771.898,1.4995,0.0236118,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|99,433
14|433|cc|7|1|99,2.47523,771.864,1.4995,0.0818158,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|99,433
14|433|cc|8|1|99,2.42298,771.962,1.4995,0.0418299,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|99,433
14|433|vc|1|2|99,2.38127,771.874,1.4995,0.126745,12142.4,12.6461,2.36496,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|99,433
14|433|vc|2|2|99,2.29631,771.896,1.4995,0.0525774,12142.4,12.6461,2.36427,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|99,433
14|433|vc|3|2|99,2.45866,771.807,1.4995,0.0521526,12142.4,12.6461,2.36371,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|99,433
14|433|vc|4|2|99,2.38776,771.831,1.4995,0.028582,12142.4,12.6461,2.36411,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|99,433
14|433|vc|5|2|99,2.46436,771.728,1.4995,0.0232406,12142.4,12.6461,2.36398,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|99,433
14|433|vc|6|2|99,2.47425,771.659,1.4995,0.0264844,12142.4,12.6461,2.36381,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|99,433
14|433|vc|7|2|99,2.52244,771.746,1.4995,0.0335808,12142.4,12.6461,2.36454,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|99,433
14|433|vc|8|2|99,2.42109,771.777,1.4995,0.100471,12142.4,12.6461,2.36539,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|99,433
14|297|sample|3|71,7.74395,770.053,1.49952,1.72535,12142.4,12.6461,8.91748,769.981,1.49372,1.76972,12203.9,12.6467,True,6.0|71,297
14|297|sample|4|71,7.13302,770.175,1.49952,1.80948,12142.4,12.6461,8.85531,769.982,1.49372,1.68115,12203.9,12.6467,True,6.0|71,297
14|297|sample|5|71,6.30497,770.003,1.49952,41.4569,12142.4,12.6461,6.52168,769.974,1.49372,43.3244,12203.9,12.6467,True,6.0|71,297
14|297|sample|6|71,6.16531,769.943,1.49952,39.0423,12142.4,12.6461,6.42887,769.973,1.49372,39.9686,12203.9,12.6467,True,6.0|71,297
14|297|sample|8|71,6.36735,769.738,1.49952,14.643,12142.4,12.6461,6.29543,769.974,1.49372,14.9363,12203.9,12.6467,True,6.0|71,297
14|297|sample|7|71,5.7993,769.715,1.49952,16.1959,12142.4,12.6461,6.09075,769.974,1.49372,16.7234,12203.9,12.6467,True,6.0|71,297
14|297|sample|9|71,6.59324,770.011,1.49952,28.2523,12142.4,12.6461,6.49579,769.973,1.49372,29.4456,12203.9,12.6467,True,6.0|71,297
14|297|sample|10|71,6.27983,770.107,1.49952,32.9242,12142.4,12.6461,6.49209,769.973,1.49372,32.9947,12203.9,12.6467,True,6.0|71,297
14|297|sample|12|71,9.41621,769.699,1.49952,0.375961,12142.4,12.6461,9.51278,769.98,1.49372,0.385994,12203.9,12.6467,True,6.0|71,297
14|297|sample|11|71,6.47479,769.977,1.49952,0.432161,12142.4,12.6461,6.91866,769.979,1.49372,0.413921,12203.9,12.6467,True,6.0|71,297
14|297|cc|1|1|71,2.52738,771.764,1.4995,0.0452827,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,297
14|297|cc|2|1|71,2.38241,771.776,1.4995,0.0255221,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,297
14|297|cc|3|1|71,2.43901,771.822,1.4995,0.022785,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,297
14|297|cc|4|1|71,2.45458,771.62,1.4995,0.0196091,12142.4,12.6461,2.36444,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|71,297
14|297|cc|5|1|71,2.41608,771.834,1.4995,0.0677197,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,297
14|297|cc|6|1|71,2.36224,771.758,1.4995,0.0802421,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,297
14|297|cc|7|1|71,2.36489,771.76,1.4995,0.0421854,12142.4,12.6461,2.36444,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|71,297
14|297|cc|8|1|71,2.41081,771.768,1.4995,0.0521838,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,297
14|297|vc|1|2|71,2.47146,771.78,1.4995,0.0650973,12142.4,12.6461,2.3651,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,297
14|297|vc|2|2|71,2.36288,771.738,1.4995,0.064837,12142.4,12.6461,2.3645,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,297
14|297|vc|3|2|71,2.444,771.849,1.4995,0.0505539,12142.4,12.6461,2.36394,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,297
14|297|vc|4|2|71,2.38523,771.949,1.4995,0.0311294,12142.4,12.6461,2.36399,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,297
14|297|vc|5|2|71,2.48832,771.829,1.4995,0.0382167,12142.4,12.6461,2.36426,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,297
14|297|vc|6|2|71,2.43918,771.913,1.4995,0.128175,12142.4,12.6461,2.36394,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,297
14|297|vc|7|2|71,2.41619,771.821,1.4995,0.102019,12142.4,12.6461,2.36426,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,297
14|297|vc|8|2|71,2.41348,772.004,1.4995,0.0263559,12142.4,12.6461,2.36507,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|71,297
14|183|sample|4|233,5.113,769.841,1.36201,3.24141,12142.4,12.6461,5.36445,769.975,1.3643,3.36724,12203.9,12.6467,True,6.0|233,183
14|183|sample|3|233,5.22182,770.137,1.36201,3.7022,12142.4,12.6461,5.51707,769.976,1.3643,3.61019,12203.9,12.6467,True,6.0|233,183
14|183|sample|6|233,5.43529,770.014,1.36201,7.3558,12142.4,12.6461,5.63798,769.975,1.3643,7.12856,12203.9,12.6467,True,6.0|233,183
14|183|sample|5|233,5.27898,769.741,1.36201,6.88112,12142.4,12.6461,5.48113,769.975,1.3643,7.17313,12203.9,12.6467,True,6.0|233,183
14|183|sample|7|233,4.98557,769.955,1.36201,2.56729,12142.4,12.6461,5.34154,769.975,1.3643,2.44662,12203.9,12.6467,True,6.0|233,183
14|183|sample|8|233,4.80532,769.849,1.36201,2.36635,12142.4,12.6461,5.32571,769.976,1.3643,2.44633,12203.9,12.6467,True,6.0|233,183
14|183|sample|10|233,5.72246,770.143,1.36201,10.7495,12142.4,12.6461,6.39688,769.975,1.3643,10.5517,12203.9,12.6467,True,6.0|233,183
14|183|sample|9|233,5.41936,769.78,1.36201,8.04945,12142.4,12.6461,5.79804,769.975,1.3643,7.91813,12203.9,12.6467,True,6.0|233,183
14|183|sample|12|233,7.97384,769.75,1.36201,1.34605,12142.4,12.6461,8.14192,769.977,1.3643,1.20391,12203.9,12.6467,True,6.0|233,183
14|183|sample|11|233,5.44784,770.103,1.36201,1.01142,12142.4,12.6461,6.11072,769.977,1.3643,0.999613,12203.9,12.6467,True,6.0|233,183
14|183|cc|1|1|233,2.50386,771.666,1.4995,0.0467412,12142.4,12.6461,2.36444,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|233,183
14|183|cc|2|1|233,2.46914,771.851,1.4995,0.0408855,12142.4,12.6461,2.36444,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|233,183
14|183|cc|3|1|233,2.4459,771.747,1.4995,0.0431874,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|233,183
14|183|cc|4|1|233,2.40991,771.701,1.4995,0.35461,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|233,183
14|183|cc|5|1|233,2.52922,771.776,1.4995,0.0385666,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|233,183
14|183|cc|6|1|233,2.46218,771.631,1.4995,0.0451482,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|233,183
14|183|cc|7|1|233,2.31078,771.881,1.4995,0.0211356,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|233,183
14|183|cc|8|1|233,2.47763,771.792,1.4995,0.0235049,12142.4,12.6461,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|233,183
14|183|vc|1|2|233,2.47656,771.926,1.4995,0.0231673,12142.4,12.6461,2.36683,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|233,183
14|183|vc|2|2|233,2.41157,771.777,1.4995,0.0402294,12142.4,12.6461,2.3636,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|233,183
14|183|vc|3|2|233,2.44597,771.957,1.4995,0.0307923,12142.4,12.6461,2.36375,771.788,1.49371,0.00393936,12203.9,12.6467,False,69.0|233,183
14|183|vc|4|2|233,2.50471,771.712,1.4995,0.0292802,12142.4,12.6461,2.36378,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|233,183
14|183|vc|5|2|233,2.44636,771.777,1.4995,0.0203351,12142.4,12.6461,2.36296,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|233,183
14|183|vc|6|2|233,2.50074,771.988,1.4995,0.0347412,12142.4,12.6461,2.36365,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|233,183
14|183|vc|7|2|233,2.43519,771.85,1.4995,0.0432174,12142.4,12.6461,2.3641,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|233,183
14|183|vc|8|2|233,2.46416,771.841,1.4995,0.0286384,12142.4,12.6461,2.36621,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|233,183
