id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|719|sample|7|274,2.51149,0.0488168,0.0551698,0,0,0,0.00818514,0.039555,0.0164449,0,0,0,True,32.0|274,719
8|719|sample|8|274,2.66267,0.0290771,-0.00928927,0,0,0,0.00744892,0.0270668,0.00892403,0,0,0,True,32.0|274,719
8|719|sample|9|274,1.28143,0.0896892,0.134997,0,0,0,0.00312025,0.07725,0.1202,0,0,0,True,32.0|274,719
8|719|vc|1|2|274,-0.385741,-0.0148036,-0.311672,0,0,0,-4.4586e-07,5.86362e-09,-1.03887e-07,0,0,0,False,69.0|274,719
8|719|vc|2|2|274,0.298782,0.0284461,-0.232954,0,0,0,-1.50494e-07,1.90473e-08,1.47144e-07,0,0,0,False,69.0|274,719
8|719|vc|3|2|274,-0.336424,-0.0153152,0.0978917,0,0,0,1.41563e-07,-1.40556e-08,9.78606e-08,0,0,0,False,69.0|274,719
8|719|vc|4|2|274,-1.34416,0.0248493,-0.299023,0,0,0,-2.64546e-07,-5.54564e-09,-2.3081e-08,0,0,0,False,69.0|274,719
8|719|vc|5|2|274,0.698088,0.0169426,-0.0131241,0,0,0,-1.96692e-07,-4.56431e-09,1.20028e-07,0,0,0,False,69.0|274,719
8|719|vc|6|2|274,0.276461,0.0309884,-0.36117,0,0,0,-3.82785e-07,-2.39203e-09,1.9681e-07,0,0,0,False,69.0|274,719
8|719|vc|7|2|274,0.612707,-0.00235752,0.0771153,0,0,0,-3.1673e-07,-1.52176e-08,2.79165e-07,0,0,0,False,69.0|274,719
8|719|vc|8|2|274,0.118603,-0.0174343,-0.366221,0,0,0,-8.5455e-09,2.00867e-08,-1.5358e-07,0,0,0,False,69.0|274,719
8|488|cc|1|1|322,-0.762327,-0.00536355,-0.204846,0,0,0,4.796e-07,-6.12231e-09,-8.61663e-08,0,0,0,False,69.0|322,488
8|488|cc|2|1|322,0.247165,0.00587819,0.0566053,0,0,0,5.29948e-08,2.27637e-08,-1.51569e-07,0,0,0,False,69.0|322,488
8|488|cc|3|1|322,0.0998916,0.0193291,0.104828,0,0,0,7.08956e-07,7.73922e-09,1.12874e-07,0,0,0,False,69.0|322,488
8|488|cc|4|1|322,-0.50734,0.00979801,0.0802503,0,0,0,-1.95162e-07,5.4362e-09,6.78666e-08,0,0,0,False,69.0|322,488
8|488|cc|5|1|322,0.158962,0.0189761,-0.311737,0,0,0,-5.49231e-07,6.67999e-09,4.98311e-08,0,0,0,False,69.0|322,488
8|488|cc|6|1|322,0.364436,-0.0205174,-0.22702,0,0,0,-4.14503e-07,-5.93193e-09,4.73004e-08,0,0,0,False,69.0|322,488
8|488|cc|7|1|322,2.01816,-0.0167761,0.418935,0,0,0,3.40151e-07,-9.10993e-09,8.93446e-08,0,0,0,False,69.0|322,488
8|488|cc|8|1|322,1.11301,0.0138489,0.119265,0,0,0,1.77447e-07,1.7302e-09,-1.30764e-07,0,0,0,False,69.0|322,488
8|488|sample|10|322,-0.436534,-0.495479,-4.77102,0,0,0,0.107389,-0.490807,-4.6539,0,0,0,True,32.0|322,488
8|488|sample|11|322,0.866866,-0.230288,-1.10728,0,0,0,0.141659,-0.227385,-0.996673,0,0,0,True,22.0|322,488
8|488|sample|12|322,-0.388056,-0.181588,-0.633551,0,0,0,0.215094,-0.185604,-0.626046,0,0,0,True,22.0|322,488
8|488|sample|3|322,1.00486,0.0951866,-3.00873,0,0,0,0.000193255,0.114649,-2.84249,0,0,0,True,55.0|322,488
8|488|sample|4|322,-0.596939,0.0928663,-3.05217,0,0,0,0.000173238,0.122264,-2.92581,0,0,0,True,55.0|322,488
8|488|sample|5|322,-0.331116,-0.0325487,-3.6889,0,0,0,0.0433014,-0.073897,-3.78548,0,0,0,True,55.0|322,488
8|488|sample|6|322,0.714163,-0.122012,-3.98592,0,0,0,0.0341794,-0.0859186,-3.85585,0,0,0,True,55.0|322,488
8|488|sample|7|322,-1.77898,-0.37789,-3.2978,0,0,0,0.0390701,-0.403131,-3.53153,0,0,0,True,32.0|322,488
8|488|sample|8|322,-1.44028,-0.396836,-3.46027,0,0,0,0.0435804,-0.403272,-3.50225,0,0,0,True,32.0|322,488
8|488|sample|9|322,1.12184,-0.468713,-4.4983,0,0,0,0.111806,-0.477592,-4.57986,0,0,0,True,32.0|322,488
8|488|vc|1|2|322,0.247391,0.000678141,0.0736365,0,0,0,2.80153e-08,-2.98232e-09,1.72971e-07,0,0,0,False,69.0|322,488
8|488|vc|2|2|322,0.766204,-0.0101637,-0.0600313,0,0,0,1.95474e-07,6.85699e-09,-1.64638e-08,0,0,0,False,69.0|322,488
8|488|vc|3|2|322,-0.599884,0.00794563,0.204474,0,0,0,2.23446e-08,-2.05294e-08,-6.31036e-08,0,0,0,False,69.0|322,488
8|488|vc|4|2|322,-0.206784,0.00288651,-0.268638,0,0,0,-2.6634e-07,1.2079e-08,1.43437e-07,0,0,0,False,69.0|322,488
8|488|vc|5|2|322,-0.0955566,-0.0245671,0.317152,0,0,0,3.45634e-07,5.19282e-10,8.60052e-08,0,0,0,False,69.0|322,488
8|488|vc|6|2|322,-0.411854,-0.015264,0.3808,0,0,0,-3.4503e-07,6.26866e-09,4.45527e-08,0,0,0,False,69.0|322,488
8|488|vc|7|2|322,-0.0538262,-0.0132711,-0.0807682,0,0,0,1.34118e-07,-3.96845e-09,9.96813e-08,0,0,0,False,69.0|322,488
