id,eta_f_SAEM,eta_h_SAEM,eta_L_gap_SAEM,eta_f_mode,eta_h_mode,eta_L_gap_mode,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0.0915468,0,-0.545964,0.0863844,0,-1.18553e-06,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,-0.288805,0,-2.42774,-0.263286,0,-8.50603e-08,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0.172254,0,0.46667,0.160638,0,-2.02561e-07,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0.189901,0,1.83209,0.199284,0,-2.7566e-07,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,-0.0891396,0,-0.719833,-0.0841677,0,-1.99609e-07,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,-0.123325,0,-3.6592,-0.128441,0,2.38235e-07,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0.0944665,0,2.15138,0.094113,0,7.01524e-07,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0.205241,0,-2.85549,0.201671,0,-1.86998e-06,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,-0.144899,0,1.13065,-0.150122,0,1.26663e-06,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,-0.0463848,0,-1.45928,-0.0672327,0,-7.80232e-07,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,-0.00171228,0,0.812566,-8.39698e-09,0,1.67676e-07,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,4.78948e-05,0,0.179946,-8.93983e-10,0,-6.47975e-07,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,-0.0139048,0,-1.11425,6.01921e-10,0,6.43819e-07,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0.000121944,0,-2.04576,-2.01403e-09,0,-2.21975e-07,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0.00920749,0,-0.858269,-4.31114e-09,0,9.99085e-08,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0.0166623,0,-0.319164,8.33784e-10,0,5.58683e-07,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0.0135015,0,-0.0883002,7.69868e-09,0,-2.70091e-07,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,0.00703588,0,0.918696,-7.65306e-09,0,4.13005e-07,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,-0.0143992,0,0.152749,1.47372e-09,0,2.21265e-07,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,-0.0114661,0,-0.481171,-6.03523e-09,0,-1.18812e-07,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,-0.00841275,0,0.646508,-7.72211e-09,0,4.63608e-07,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,0.00242144,0,1.18106,-4.69755e-09,0,-3.03733e-07,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,-0.0133283,0,0.0132308,-7.69068e-10,0,-3.87469e-07,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,-0.00694535,0,0.494375,-5.53389e-09,0,-9.77818e-08,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,0.00662867,0,0.50505,6.41888e-09,0,5.54321e-07,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,-0.0172923,0,-1.24396,6.31161e-09,0,-2.67442e-07,69.0|274,411
8|152|8|152|sample|8|322|8|322|65.0,-0.0416186,0,-1.48218,-0.0440983,0,-4.85803e-07,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,0.0369458,0,-2.35097,0.0218284,0,4.91021e-07,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,0.0495492,0,4.35403,0.064323,0,2.57841e-06,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,-0.0151284,0,-0.838458,-0.0183476,0,1.01187e-06,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,-0.0504696,0,-1.28696,-0.0628089,0,-1.37216e-06,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,3.70258e-05,0,-3.70595,-0.0113124,0,9.75963e-09,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,-0.0406688,0,0.966293,-0.0473566,0,-5.68638e-08,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,0.109758,0,-2.61776,0.104908,0,9.10763e-08,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,-0.0434175,0,6.58967,-0.0139708,0,2.41024e-07,22.0|322,152
8|152|8|152|sample|4|322|4|322|22.0,0.0611676,0,-2.57581,0.0640592,0,4.18903e-07,22.0|322,152
8|152|8|152|cc|1|1|322|1|322|69.0,0.00819677,0,0.0546495,-1.05085e-09,0,6.55462e-07,69.0|322,152
8|152|8|152|cc|2|1|322|1|322|69.0,0.0123165,0,-0.705585,-2.35347e-09,0,1.33204e-07,69.0|322,152
8|152|8|152|cc|3|1|322|1|322|69.0,-0.00476039,0,2.0166,-7.53067e-10,0,-2.02205e-07,69.0|322,152
