rep,id,f,h,L_gap,mab_virus,run_id
1,8|1159|8|1159|sample|4|292|4|292|22.0,0.265786,1.5243,-5.94255,22.0|292,1159
1,8|1159|8|1159|sample|3|292|3|292|22.0,0.240695,1.5243,-5.94255,22.0|292,1159
1,8|1159|8|1159|cc|1|1|292|1|292|69.0,0.0226382,1.52429,-5.94346,69.0|292,1159
1,8|1159|8|1159|cc|2|1|292|1|292|69.0,0.398103,1.52429,-5.94346,69.0|292,1159
1,8|1159|8|1159|cc|3|1|292|1|292|69.0,0.0271093,1.52429,-5.94346,69.0|292,1159
1,8|1159|8|1159|cc|4|1|292|1|292|69.0,0.0682308,1.52429,-5.94346,69.0|292,1159
1,8|1159|8|1159|cc|5|1|292|1|292|69.0,0.0925448,1.52429,-5.94346,69.0|292,1159
1,8|1159|8|1159|cc|6|1|292|1|292|69.0,0.132309,1.52429,-5.94346,69.0|292,1159
1,8|1159|8|1159|cc|7|1|292|1|292|69.0,0.504758,1.52429,-5.94346,69.0|292,1159
1,8|1159|8|1159|cc|8|1|292|1|292|69.0,0.0396416,1.52429,-5.94346,69.0|292,1159
1,8|1159|8|1159|vc|1|2|292|2|292|69.0,0.195107,1.52429,-5.94346,69.0|292,1159
1,8|1159|8|1159|vc|2|2|292|2|292|69.0,0.0934609,1.52429,-5.94346,69.0|292,1159
1,8|1159|8|1159|vc|3|2|292|2|292|69.0,0.125348,1.52429,-5.94346,69.0|292,1159
1,8|1159|8|1159|vc|4|2|292|2|292|69.0,0.348904,1.52429,-5.94346,69.0|292,1159
1,8|1159|8|1159|vc|5|2|292|2|292|69.0,0.0493513,1.52429,-5.94346,69.0|292,1159
1,8|1159|8|1159|vc|6|2|292|2|292|69.0,0.0989724,1.52429,-5.94346,69.0|292,1159
1,8|1159|8|1159|vc|7|2|292|2|292|69.0,0.135194,1.52429,-5.94346,69.0|292,1159
1,8|1159|8|1159|vc|8|2|292|2|292|69.0,0.937764,1.52429,-5.94346,69.0|292,1159
1,8|1197|8|1197|sample|7|103|7|103|65.0,0.0235761,1.5243,-5.9435,65.0|103,1197
1,8|1197|8|1197|sample|8|103|8|103|65.0,0.0252662,1.5243,-5.9435,65.0|103,1197
1,8|1197|8|1197|sample|6|103|6|103|65.0,0.0239081,1.5243,-5.9435,65.0|103,1197
1,8|1197|8|1197|sample|5|103|5|103|65.0,0.0236211,1.5243,-5.9435,65.0|103,1197
1,8|1197|8|1197|sample|12|103|12|103|28.0,0.0145026,1.52428,-5.9435,28.0|103,1197
1,8|1197|8|1197|sample|10|103|10|103|28.0,0.0194397,1.52428,-5.9435,28.0|103,1197
1,8|1197|8|1197|sample|9|103|9|103|28.0,0.0242569,1.52428,-5.9435,28.0|103,1197
1,8|1197|8|1197|sample|3|103|3|103|22.0,0.023498,1.5243,-5.9435,22.0|103,1197
1,8|1197|8|1197|sample|4|103|4|103|22.0,0.022782,1.5243,-5.9435,22.0|103,1197
1,8|1197|8|1197|sample|11|103|11|103|28.0,0.0138272,1.52428,-5.9435,28.0|103,1197
1,8|1197|8|1197|cc|1|1|103|1|103|69.0,0.143283,1.5243,-5.9435,69.0|103,1197
1,8|1197|8|1197|cc|2|1|103|1|103|69.0,0.047072,1.5243,-5.9435,69.0|103,1197
1,8|1197|8|1197|cc|3|1|103|1|103|69.0,0.191375,1.5243,-5.9435,69.0|103,1197
1,8|1197|8|1197|cc|4|1|103|1|103|69.0,0.406743,1.5243,-5.9435,69.0|103,1197
1,8|1197|8|1197|cc|5|1|103|1|103|69.0,0.0338671,1.5243,-5.9435,69.0|103,1197
1,8|1197|8|1197|cc|6|1|103|1|103|69.0,0.167596,1.5243,-5.9435,69.0|103,1197
1,8|1197|8|1197|cc|7|1|103|1|103|69.0,0.0562857,1.5243,-5.9435,69.0|103,1197
1,8|1197|8|1197|cc|8|1|103|1|103|69.0,0.297823,1.5243,-5.9435,69.0|103,1197
1,8|1197|8|1197|vc|1|2|103|2|103|69.0,0.186914,1.5243,-5.9435,69.0|103,1197
1,8|1197|8|1197|vc|2|2|103|2|103|69.0,0.222359,1.5243,-5.9435,69.0|103,1197
1,8|1197|8|1197|vc|3|2|103|2|103|69.0,0.24166,1.5243,-5.9435,69.0|103,1197
1,8|1197|8|1197|vc|4|2|103|2|103|69.0,0.0962299,1.5243,-5.9435,69.0|103,1197
1,8|1197|8|1197|vc|5|2|103|2|103|69.0,0.0861782,1.5243,-5.9435,69.0|103,1197
1,8|1197|8|1197|vc|6|2|103|2|103|69.0,0.0324773,1.5243,-5.9435,69.0|103,1197
1,8|1197|8|1197|vc|7|2|103|2|103|69.0,0.282353,1.5243,-5.9435,69.0|103,1197
1,8|1197|8|1197|vc|8|2|103|2|103|69.0,0.0436613,1.5243,-5.9435,69.0|103,1197
