id,U_SAEM,L_SAEM,L_gap_SAEM,h_SAEM,f_SAEM,alpha_SAEM,U_mode,L_mode,L_gap_mode,h_mode,f_mode,alpha_mode,goes_down,mab_virus,run_id
14|705|14|705|sample|7|233|7|233|6.0,52967,592.283,1.11277,0.158999,0.00662488,1.62232,52967,585.846,0.874894,0.158999,0.000172977,1.61019,False,6.0|233,705
14|705|14|705|sample|8|233|8|233|6.0,52967,592.283,1.16757,0.158999,0.168585,1.62232,52967,585.846,0.874935,0.158999,0.000315401,1.61019,False,6.0|233,705
14|705|14|705|sample|10|233|10|233|6.0,52967,592.283,1.12003,0.158999,8.58187e-06,1.62232,52967,585.846,0.829675,0.158999,1.48022e-07,1.61019,True,6.0|233,705
14|705|14|705|sample|9|233|9|233|6.0,52967,592.283,1.13931,0.158999,1.64683e-06,1.62232,52967,585.846,0.82965,0.158999,1.428e-07,1.61019,True,6.0|233,705
14|705|14|705|sample|12|233|12|233|6.0,52967,592.283,1.07251,0.158999,1.07376e-05,1.62232,52967,585.846,0.829871,0.158999,5.76463e-07,1.61019,True,6.0|233,705
14|705|14|705|sample|11|233|11|233|6.0,52967,592.283,1.10834,0.158999,1.25599e-05,1.62232,52967,585.846,0.829763,0.158999,2.05735e-07,1.61019,True,6.0|233,705
14|705|14|705|cc|1|1|233|1|233|69.0,52967,592.283,1.18275,0.158999,988868,1.62232,52967,585.846,0.871207,0.158999,0.999902,1.61019,False,69.0|233,705
14|705|14|705|cc|2|1|233|1|233|69.0,52967,592.283,1.20987,0.158999,1.69559e+06,1.62232,52967,585.846,0.87118,0.158999,0.999992,1.61019,False,69.0|233,705
14|705|14|705|cc|3|1|233|1|233|69.0,52967,592.283,1.25164,0.158999,2.93275e+10,1.62232,52967,585.846,0.87121,0.158999,0.999728,1.61019,False,69.0|233,705
14|705|14|705|cc|4|1|233|1|233|69.0,52967,592.283,1.20617,0.158999,3.8934e+06,1.62232,52967,585.846,0.871203,0.158999,0.999963,1.61019,False,69.0|233,705
14|705|14|705|cc|5|1|233|1|233|69.0,52967,592.283,1.20832,0.158999,4.15215e+06,1.62232,52967,585.846,0.871205,0.158999,1,1.61019,False,69.0|233,705
14|705|14|705|cc|6|1|233|1|233|69.0,52967,592.283,1.17192,0.158999,9.65276e+06,1.62232,52967,585.846,0.871201,0.158999,0.99998,1.61019,False,69.0|233,705
14|705|14|705|cc|7|1|233|1|233|69.0,52967,592.283,1.15702,0.158999,5.93289e+06,1.62232,52967,585.846,0.871205,0.158999,1,1.61019,False,69.0|233,705
14|705|14|705|cc|8|1|233|1|233|69.0,52967,592.283,1.22855,0.158999,7.74328e+08,1.62232,52967,585.846,0.871205,0.158999,1,1.61019,False,69.0|233,705
14|705|14|705|vc|1|2|233|2|233|69.0,52967,592.283,1.14764,0.158999,1.13416e+08,1.62232,52967,585.846,0.871202,0.158999,1.00584,1.61019,False,69.0|233,705
14|705|14|705|vc|2|2|233|2|233|69.0,52967,592.283,1.19686,0.158999,1.00528e+06,1.62232,52967,585.846,0.871225,0.158999,0.995252,1.61019,False,69.0|233,705
14|705|14|705|vc|3|2|233|2|233|69.0,52967,592.283,1.05302,0.158999,6.49476e+06,1.62232,52967,585.846,0.871205,0.158999,1,1.61019,False,69.0|233,705
14|705|14|705|vc|4|2|233|2|233|69.0,52967,592.283,1.16936,0.158999,5.63195e+07,1.62232,52967,585.846,0.871255,0.158999,0.999876,1.61019,False,69.0|233,705
14|705|14|705|vc|5|2|233|2|233|69.0,52967,592.283,1.18979,0.158999,5.27108e+06,1.62232,52967,585.846,0.871205,0.158999,0.999981,1.61019,False,69.0|233,705
14|705|14|705|vc|6|2|233|2|233|69.0,52967,592.283,1.13648,0.158999,2.12607e+08,1.62232,52967,585.846,0.871196,0.158999,1.00015,1.61019,False,69.0|233,705
14|705|14|705|vc|7|2|233|2|233|69.0,52967,592.283,1.1162,0.158999,2.55323e+07,1.62232,52967,585.846,0.871202,0.158999,1.00028,1.61019,False,69.0|233,705
14|705|14|705|vc|8|2|233|2|233|69.0,52967,592.283,1.18414,0.158999,6.6529e+06,1.62232,52967,585.846,0.871205,0.158999,1,1.61019,False,69.0|233,705
8|152|8|152|sample|8|322|8|322|65.0,52967,321.65,1.20761,0.158999,13479.2,-1.2533,52967,321.148,0.834959,0.158999,0.345125,-1.25137,True,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,52967,321.65,1.13122,0.158999,1.40618e+06,-1.2533,52967,321.148,0.834963,0.158999,0.444638,-1.25137,True,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,52967,321.65,1.04674,0.158999,47481.1,-1.2533,52967,321.148,0.834993,0.158999,1.86567,-1.25137,True,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,52967,321.65,1.13707,0.158999,1.18175e+07,-1.2533,52967,321.148,0.834997,0.158999,2.64951,-1.25137,True,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,52967,321.65,1.07614,0.158999,0.0395233,-1.2533,52967,321.148,0.83473,0.158999,0.000610927,-1.25137,True,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,52967,321.65,1.03715,0.158999,8.18311,-1.2533,52967,321.148,0.834854,0.158999,0.0156582,-1.25137,True,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,52967,321.65,1.16227,0.158999,4051.62,-1.2533,52967,321.148,0.834925,0.158999,0.154505,-1.25137,True,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,52967,321.65,1.1806,0.158999,4.83651e+08,-1.2533,52967,321.148,0.834929,0.158999,0.192597,-1.25137,True,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,52967,321.65,1.11079,0.158999,4875.73,-1.2533,52967,321.148,0.838968,0.158999,0.217119,-1.25137,True,22.0|322,152
