rep,id,eta_L,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|84|cc|1|1|162,-2.61856,0,0,0,0,False,69.0|162,84
1,8|84|cc|2|1|162,-16.559,0,0,0,0,False,69.0|162,84
1,8|84|cc|3|1|162,7.51926,0,0,0,0,False,69.0|162,84
1,8|84|cc|4|1|162,-5.19391,0,0,0,0,False,69.0|162,84
1,8|84|cc|5|1|162,-8.57386,0,0,0,0,False,69.0|162,84
1,8|84|cc|6|1|162,2.62461,0,0,0,0,False,69.0|162,84
1,8|84|cc|7|1|162,-6.52987,0,0,0,0,False,69.0|162,84
1,8|84|cc|8|1|162,3.51892,0,0,0,0,False,69.0|162,84
1,8|84|sample|10|162,9.33791,0,0,0,0,True,32.0|162,84
1,8|84|sample|11|162,-2.66421,0,0,0,0,True,22.0|162,84
1,8|84|sample|12|162,-6.64118,0,0,0,0,True,22.0|162,84
1,8|84|sample|3|162,-8.14487,0,0,0,0,True,55.0|162,84
1,8|84|sample|4|162,-5.97341,0,0,0,0,True,55.0|162,84
1,8|84|sample|5|162,17.5937,0,0,0,0,True,55.0|162,84
1,8|84|sample|6|162,5.79988,0,0,0,0,True,55.0|162,84
1,8|84|sample|7|162,-7.21917,0,0,0,0,True,32.0|162,84
1,8|84|sample|8|162,-7.36113,0,0,0,0,True,32.0|162,84
1,8|84|sample|9|162,13.8814,0,0,0,0,True,32.0|162,84
1,8|84|vc|1|2|162,2.97751,0,0,0,0,False,69.0|162,84
1,8|84|vc|2|2|162,-12.6943,0,0,0,0,False,69.0|162,84
1,8|84|vc|3|2|162,6.14079,0,0,0,0,False,69.0|162,84
1,8|84|vc|4|2|162,-5.92448,0,0,0,0,False,69.0|162,84
1,8|84|vc|5|2|162,6.01914,0,0,0,0,False,69.0|162,84
1,8|84|vc|6|2|162,5.89164,0,0,0,0,False,69.0|162,84
1,8|84|vc|7|2|162,1.78061,0,0,0,0,False,69.0|162,84
1,8|84|vc|8|2|162,-0.330556,0,0,0,0,False,69.0|162,84
1,8|719|cc|1|1|274,28.5371,0,0,0,0,False,69.0|274,719
1,8|719|cc|2|1|274,3.06343,0,0,0,0,False,69.0|274,719
1,8|719|cc|3|1|274,14.1814,0,0,0,0,False,69.0|274,719
1,8|719|cc|4|1|274,3.73055,0,0,0,0,False,69.0|274,719
1,8|719|cc|5|1|274,2.584,0,0,0,0,False,69.0|274,719
1,8|719|cc|6|1|274,-1.88964,0,0,0,0,False,69.0|274,719
1,8|719|cc|7|1|274,2.44993,0,0,0,0,False,69.0|274,719
1,8|719|cc|8|1|274,-10.2981,0,0,0,0,False,69.0|274,719
1,8|719|sample|10|274,-12.6385,0,0,0,0,True,32.0|274,719
1,8|719|sample|11|274,-1.86839,0,0,0,0,True,22.0|274,719
1,8|719|sample|12|274,-6.21033,0,0,0,0,True,22.0|274,719
1,8|719|sample|3|274,-9.37179,0,0,0,0,True,55.0|274,719
1,8|719|sample|4|274,6.59066,0,0,0,0,True,55.0|274,719
1,8|719|sample|5|274,4.49704,0,0,0,0,True,55.0|274,719
1,8|719|sample|6|274,-4.78261,0,0,0,0,True,55.0|274,719
1,8|719|sample|7|274,2.98573,0,0,0,0,True,32.0|274,719
1,8|719|sample|8|274,-8.03012,0,0,0,0,True,32.0|274,719
1,8|719|sample|9|274,-4.52546,0,0,0,0,True,32.0|274,719
1,8|719|vc|1|2|274,-4.77053,0,0,0,0,False,69.0|274,719
1,8|719|vc|2|2|274,-22.1601,0,0,0,0,False,69.0|274,719
1,8|719|vc|3|2|274,-4.39108,0,0,0,0,False,69.0|274,719
1,8|719|vc|4|2|274,2.59197,0,0,0,0,False,69.0|274,719
1,8|719|vc|5|2|274,-5.39692,0,0,0,0,False,69.0|274,719
1,8|719|vc|6|2|274,-6.9987,0,0,0,0,False,69.0|274,719
1,8|719|vc|7|2|274,1.31254,0,0,0,0,False,69.0|274,719
1,8|719|vc|8|2|274,-0.971695,0,0,0,0,False,69.0|274,719
1,8|488|cc|1|1|322,2.96711,0,0,0,0,False,69.0|322,488
1,8|488|cc|2|1|322,1.24905,0,0,0,0,False,69.0|322,488
1,8|488|cc|3|1|322,-3.88051,0,0,0,0,False,69.0|322,488
1,8|488|cc|4|1|322,15.5704,0,0,0,0,False,69.0|322,488
1,8|488|cc|5|1|322,-16.126,0,0,0,0,False,69.0|322,488
1,8|488|cc|6|1|322,-0.0242214,0,0,0,0,False,69.0|322,488
1,8|488|cc|7|1|322,4.388,0,0,0,0,False,69.0|322,488
1,8|488|cc|8|1|322,0.661462,0,0,0,0,False,69.0|322,488
1,8|488|sample|10|322,-8.41647,0,0,0,0,True,32.0|322,488
1,8|488|sample|11|322,-6.74156,0,0,0,0,True,22.0|322,488
1,8|488|sample|12|322,-0.123349,0,0,0,0,True,22.0|322,488
1,8|488|sample|3|322,10.7403,0,0,0,0,True,55.0|322,488
1,8|488|sample|4|322,-21.6623,0,0,0,0,True,55.0|322,488
1,8|488|sample|5|322,-0.706403,0,0,0,0,True,55.0|322,488
1,8|488|sample|6|322,1.97985,0,0,0,0,True,55.0|322,488
1,8|488|sample|7|322,6.17376,0,0,0,0,True,32.0|322,488
1,8|488|sample|8|322,5.19391,0,0,0,0,True,32.0|322,488
1,8|488|sample|9|322,0.365508,0,0,0,0,True,32.0|322,488
1,8|488|vc|1|2|322,-2.45617,0,0,0,0,False,69.0|322,488
1,8|488|vc|2|2|322,-1.84386,0,0,0,0,False,69.0|322,488
1,8|488|vc|3|2|322,-9.71673,0,0,0,0,False,69.0|322,488
