id,eta_f_SAEM,eta_h_SAEM,eta_L_gap_SAEM,eta_f_mean,eta_h_mean,eta_L_gap_mean,eta_f_mode,eta_h_mode,eta_L_gap_mode,eta_f_sd,eta_h_sd,eta_L_gap_sd,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,-0.672362,4.14981e-09,1.649e-08,-0.661814,1.75547e-09,-2.07452e-10,-0.679154,-3.58602e-14,-1.57402e-13,0.0851769,3.47361e-08,5.3036e-08,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,-1.25792,-3.99653e-09,5.92178e-09,-1.23977,-7.07679e-10,5.69081e-09,-1.24291,1.56708e-13,1.25011e-13,0.0807379,3.5681e-08,5.15883e-08,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,-0.551196,-3.61213e-09,-1.39374e-09,-0.560538,-4.41461e-09,7.42168e-09,-0.559423,-5.54001e-14,5.72264e-13,0.0612564,3.46803e-08,5.29829e-08,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,-0.512326,-1.01944e-08,-5.86498e-10,-0.504384,-1.14016e-09,4.14525e-09,-0.510712,-6.31162e-14,3.8719e-13,0.0599183,3.12688e-08,4.78205e-08,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,-0.941912,5.22484e-09,-1.01215e-09,-0.930837,-3.00657e-09,1.07495e-08,-0.940567,-1.5854e-13,1.14853e-13,0.0647559,3.65974e-08,5.45481e-08,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,-0.984211,-3.12391e-09,7.13553e-10,-1.00583,2.50297e-09,-5.66383e-10,-1.00738,-7.93254e-14,-1.47438e-13,0.0801198,3.43064e-08,5.01021e-08,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,-0.660253,3.59356e-09,-7.06861e-09,-0.653726,1.91816e-09,3.28371e-09,-0.661868,1.18794e-14,2.96152e-13,0.0883152,3.0648e-08,4.99401e-08,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,-0.507749,-4.85913e-09,-1.50863e-08,-0.473587,-4.86592e-09,-1.03573e-09,-0.498242,-1.78912e-13,-1.27287e-13,0.0724259,3.5776e-08,5.35472e-08,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,-1.05035,6.52352e-09,6.95463e-11,-1.06254,-1.41281e-09,-9.825e-10,-1.05915,2.67564e-14,-2.22627e-13,0.0612984,3.54778e-08,4.68854e-08,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,-0.91116,9.36554e-09,8.27782e-10,-0.913125,7.01684e-11,-1.07816e-09,-0.917642,-3.55882e-13,5.82867e-14,0.0848423,3.69608e-08,5.48471e-08,70.0|274,411
