rep,id,L_gap,m,e,alpha,k,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,6.43385e-05,1.84738,0.810498,0.127268,0.878433,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,4.79535e-05,1.75414,0.367494,0.127268,0.878433,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,4.32632e-05,1.05569,0.385943,0.127268,0.878433,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,2.12378e-05,1.18622,0.536035,0.127268,0.878433,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,0.000118935,1.82369,0.575359,0.127268,0.878433,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,3.3836e-05,1.84362,0.594007,0.127268,0.878433,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0.000144171,1.37861,0.548435,0.127268,0.878433,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,3.01505e-05,1.62965,0.851722,0.127268,0.878433,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,1.79509e-05,1.32155,0.319366,0.127268,0.878433,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,2.77774e-05,1.37901,0.427297,0.127268,0.878433,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,8.25083e-05,2.45571,11583.5,0.127268,0.878433,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,0.000104044,2.88264,39.8018,0.127268,0.878433,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,0.000230837,4.19427,227.011,0.127268,0.878433,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,3.89854e-05,0.817879,5.16104,0.127268,0.878433,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,0.000102812,3.78469,12950.6,0.127268,0.878433,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,0.000364407,3.11543,21.641,0.127268,0.878433,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,0.00017217,4.17792,59.9801,0.127268,0.878433,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,6.67989e-05,1.61032,9619.39,0.127268,0.878433,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,0.00036574,1.51289,181.777,0.127268,0.878433,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,0.000648684,2.27039,1166.02,0.127268,0.878433,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,6.61169e-05,6.684,25.7315,0.127268,0.878433,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,0.000165754,5.91529,746.437,0.127268,0.878433,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,0.000222554,2.52381,468.91,0.127268,0.878433,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,0.000111561,5.35178,36.9693,0.127268,0.878433,False,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,0.000957093,1.6213,236.388,0.127268,0.878433,False,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,6.59842e-05,3.069,93.957,0.127268,0.878433,False,69.0|274,411
1,14|783|14|783|sample|3|71|3|71|6.0,0.000104339,0.604495,8.51712,0.127267,0.878538,True,6.0|71,783
1,14|783|14|783|sample|4|71|4|71|6.0,2.81138e-05,0.578687,11.8542,0.127267,0.878538,True,6.0|71,783
1,14|783|14|783|sample|5|71|5|71|6.0,2.83256e-05,0.789265,5.38053,0.127267,0.878538,True,6.0|71,783
1,14|783|14|783|sample|6|71|6|71|6.0,7.49517e-05,0.659944,3.30562,0.127267,0.878538,True,6.0|71,783
1,14|783|14|783|sample|7|71|7|71|6.0,9.29623e-05,1.25862,0.0547583,0.127267,0.878538,True,6.0|71,783
1,14|783|14|783|sample|8|71|8|71|6.0,2.64495e-05,1.34526,0.0678411,0.127267,0.878538,True,6.0|71,783
1,14|783|14|783|sample|10|71|10|71|6.0,1.14863e-05,0.594052,10.6427,0.127267,0.878538,True,6.0|71,783
1,14|783|14|783|sample|9|71|9|71|6.0,1.49235e-05,0.945959,16.437,0.127267,0.878538,True,6.0|71,783
1,14|783|14|783|sample|12|71|12|71|6.0,1.1939e-05,1.6346,0.0236337,0.127267,0.878538,True,6.0|71,783
1,14|783|14|783|sample|11|71|11|71|6.0,5.4422e-05,2.1935,0.0322751,0.127267,0.878538,True,6.0|71,783
1,14|783|14|783|cc|1|1|71|1|71|69.0,0.000473473,3.96034,30.1927,0.127267,0.878538,False,69.0|71,783
1,14|783|14|783|cc|2|1|71|1|71|69.0,0.000330337,1.68892,89.8691,0.127267,0.878538,False,69.0|71,783
1,14|783|14|783|cc|3|1|71|1|71|69.0,0.000187089,1.26094,546.747,0.127267,0.878538,False,69.0|71,783
1,14|783|14|783|cc|4|1|71|1|71|69.0,0.000428476,2.54992,23.5473,0.127267,0.878538,False,69.0|71,783
1,14|783|14|783|cc|5|1|71|1|71|69.0,0.000217678,1.32245,510.418,0.127267,0.878538,False,69.0|71,783
1,14|783|14|783|cc|6|1|71|1|71|69.0,0.000409042,2.85319,1923.29,0.127267,0.878538,False,69.0|71,783
1,14|783|14|783|cc|7|1|71|1|71|69.0,0.000141728,8.57739,463.679,0.127267,0.878538,False,69.0|71,783
1,14|783|14|783|cc|8|1|71|1|71|69.0,0.000361798,1.58545,40.6882,0.127267,0.878538,False,69.0|71,783
1,14|783|14|783|vc|1|2|71|2|71|69.0,3.76974e-05,1.88925,0.822324,0.127267,0.878538,False,69.0|71,783
1,14|783|14|783|vc|2|2|71|2|71|69.0,0.000251794,3.21986,9.43811,0.127267,0.878538,False,69.0|71,783
1,14|783|14|783|vc|3|2|71|2|71|69.0,4.95056e-05,2.28353,385.746,0.127267,0.878538,False,69.0|71,783
1,14|783|14|783|vc|4|2|71|2|71|69.0,6.23603e-05,2.56694,378.437,0.127267,0.878538,False,69.0|71,783
1,14|783|14|783|vc|5|2|71|2|71|69.0,0.000301982,1.80928,406.025,0.127267,0.878538,False,69.0|71,783
1,14|783|14|783|vc|6|2|71|2|71|69.0,6.79336e-05,3.58983,133.818,0.127267,0.878538,False,69.0|71,783
1,14|783|14|783|vc|7|2|71|2|71|69.0,0.000167113,3.33751,4.0025,0.127267,0.878538,False,69.0|71,783
1,14|783|14|783|vc|8|2|71|2|71|69.0,6.43625e-05,3.1187,446.36,0.127267,0.878538,False,69.0|71,783
1,14|491|14|491|sample|10|99|10|99|6.0,8.49822e-05,1.58648,0.0070385,0.127267,0.8785,True,6.0|99,491
1,14|491|14|491|sample|9|99|9|99|6.0,0.000269879,1.36278,0.00587653,0.127267,0.8785,True,6.0|99,491
1,14|491|14|491|sample|12|99|12|99|6.0,0.000107547,0.892219,0.0105581,0.127267,0.8785,True,6.0|99,491
1,14|491|14|491|sample|11|99|11|99|6.0,2.69439e-05,1.08075,0.0257493,0.127267,0.8785,True,6.0|99,491
1,14|491|14|491|sample|4|99|4|99|44.0,6.36787e-05,1.4952,0.0827027,0.127267,0.8785,True,44.0|99,491
1,14|491|14|491|sample|3|99|3|99|44.0,7.69336e-05,1.49442,0.107993,0.127267,0.8785,True,44.0|99,491
1,14|491|14|491|sample|6|99|6|99|44.0,0.00014024,1.04888,0.108514,0.127267,0.8785,True,44.0|99,491
1,14|491|14|491|sample|5|99|5|99|44.0,4.77992e-05,1.08499,0.117708,0.127267,0.8785,True,44.0|99,491
1,14|491|14|491|sample|7|99|7|99|63.0,9.13519e-05,1.29148,0.00236272,0.127267,0.8785,True,63.0|99,491
1,14|491|14|491|sample|8|99|8|99|63.0,6.55415e-05,1.50174,0.00335714,0.127267,0.8785,True,63.0|99,491
1,14|491|14|491|cc|1|1|99|1|99|69.0,0.000299331,4.84516,151.389,0.127267,0.8785,False,69.0|99,491
1,14|491|14|491|cc|2|1|99|1|99|69.0,0.000184893,4.71666,2.16912,0.127267,0.8785,False,69.0|99,491
1,14|491|14|491|cc|3|1|99|1|99|69.0,0.000145314,1.37823,279.559,0.127267,0.8785,False,69.0|99,491
1,14|491|14|491|cc|4|1|99|1|99|69.0,0.000217461,1.6568,173.731,0.127267,0.8785,False,69.0|99,491
1,14|491|14|491|cc|5|1|99|1|99|69.0,0.000252104,1.25857,2337.38,0.127267,0.8785,False,69.0|99,491
1,14|491|14|491|cc|6|1|99|1|99|69.0,0.000212554,3.29625,19.4198,0.127267,0.8785,False,69.0|99,491
1,14|491|14|491|cc|7|1|99|1|99|69.0,5.20263e-05,1.72371,191.605,0.127267,0.8785,False,69.0|99,491
1,14|491|14|491|cc|8|1|99|1|99|69.0,0.000282387,0.626646,77.054,0.127267,0.8785,False,69.0|99,491
1,14|491|14|491|vc|1|2|99|2|99|69.0,0.000223764,8.82549,5394.5,0.127267,0.8785,False,69.0|99,491
1,14|491|14|491|vc|2|2|99|2|99|69.0,4.26428e-05,4.62375,368.969,0.127267,0.8785,False,69.0|99,491
1,14|491|14|491|vc|3|2|99|2|99|69.0,0.000147746,6.35116,36.074,0.127267,0.8785,False,69.0|99,491
1,14|491|14|491|vc|4|2|99|2|99|69.0,0.000296596,1.98986,24.5927,0.127267,0.8785,False,69.0|99,491
1,14|491|14|491|vc|5|2|99|2|99|69.0,0.000301238,3.96171,1.74189,0.127267,0.8785,False,69.0|99,491
1,14|491|14|491|vc|6|2|99|2|99|69.0,0.000383862,3.37677,50.2088,0.127267,0.8785,False,69.0|99,491
1,14|491|14|491|vc|7|2|99|2|99|69.0,0.000912843,4.76427,0.459657,0.127267,0.8785,False,69.0|99,491
1,14|491|14|491|vc|8|2|99|2|99|69.0,0.000131786,3.34176,72.1825,0.127267,0.8785,False,69.0|99,491
1,14|433|14|433|sample|4|99|4|99|6.0,2.71939e-05,0.833089,0.00952327,0.127267,0.878542,True,6.0|99,433
1,14|433|14|433|sample|3|99|3|99|6.0,1.98015e-05,1.11043,0.0187064,0.127267,0.878542,True,6.0|99,433
1,14|433|14|433|sample|6|99|6|99|6.0,2.85278e-05,1.13331,0.634434,0.127267,0.878542,True,6.0|99,433
1,14|433|14|433|sample|5|99|5|99|6.0,6.83888e-05,0.902904,0.339849,0.127267,0.878542,True,6.0|99,433
1,14|433|14|433|sample|8|99|8|99|6.0,6.82465e-05,1.39484,0.00845771,0.127267,0.878542,True,6.0|99,433
1,14|433|14|433|sample|7|99|7|99|6.0,7.7049e-05,1.63952,0.0115495,0.127267,0.878542,True,6.0|99,433
1,14|433|14|433|sample|10|99|10|99|6.0,4.64331e-05,1.33553,0.0761072,0.127267,0.878542,True,6.0|99,433
1,14|433|14|433|sample|9|99|9|99|6.0,1.7016e-05,1.17626,0.0783338,0.127267,0.878542,True,6.0|99,433
1,14|433|14|433|sample|11|99|11|99|6.0,3.52749e-05,0.836826,0.156914,0.127267,0.878542,True,6.0|99,433
1,14|433|14|433|sample|12|99|12|99|6.0,4.97341e-05,0.870046,0.147934,0.127267,0.878542,True,6.0|99,433
1,14|433|14|433|cc|1|1|99|1|99|69.0,4.66309e-05,1.53386,9.05503,0.127267,0.878542,False,69.0|99,433
1,14|433|14|433|cc|2|1|99|1|99|69.0,0.000323534,1.53791,11.7243,0.127267,0.878542,False,69.0|99,433
1,14|433|14|433|cc|3|1|99|1|99|69.0,5.01633e-05,3.42129,28.242,0.127267,0.878542,False,69.0|99,433
1,14|433|14|433|cc|4|1|99|1|99|69.0,0.000163236,3.60014,26.6955,0.127267,0.878542,False,69.0|99,433
1,14|433|14|433|cc|5|1|99|1|99|69.0,2.75661e-05,0.846032,2121.4,0.127267,0.878542,False,69.0|99,433
1,14|433|14|433|cc|6|1|99|1|99|69.0,0.000301057,2.66286,95.4578,0.127267,0.878542,False,69.0|99,433
1,14|433|14|433|cc|7|1|99|1|99|69.0,8.26961e-05,3.2139,6.3644,0.127267,0.878542,False,69.0|99,433
1,14|433|14|433|cc|8|1|99|1|99|69.0,0.000458276,5.15867,40.1216,0.127267,0.878542,False,69.0|99,433
1,14|433|14|433|vc|1|2|99|2|99|69.0,0.000246277,3.36876,12.8464,0.127267,0.878542,False,69.0|99,433
1,14|433|14|433|vc|2|2|99|2|99|69.0,3.66246e-05,1.61685,20.4046,0.127267,0.878542,False,69.0|99,433
1,14|433|14|433|vc|3|2|99|2|99|69.0,0.00043053,2.51019,59.0376,0.127267,0.878542,False,69.0|99,433
1,14|433|14|433|vc|4|2|99|2|99|69.0,0.000365688,2.14735,34.7186,0.127267,0.878542,False,69.0|99,433
1,14|433|14|433|vc|5|2|99|2|99|69.0,7.25102e-05,3.59016,300.13,0.127267,0.878542,False,69.0|99,433
1,14|433|14|433|vc|6|2|99|2|99|69.0,0.000477972,1.35193,184.178,0.127267,0.878542,False,69.0|99,433
1,14|433|14|433|vc|7|2|99|2|99|69.0,9.16669e-05,2.7663,33.2843,0.127267,0.878542,False,69.0|99,433
1,14|433|14|433|vc|8|2|99|2|99|69.0,0.000708606,2.52132,318.448,0.127267,0.878542,False,69.0|99,433
1,14|297|14|297|sample|3|71|3|71|6.0,8.05105e-05,0.930772,0.254749,0.127266,0.878538,True,6.0|71,297
1,14|297|14|297|sample|4|71|4|71|6.0,0.0001693,0.787376,0.194849,0.127266,0.878538,True,6.0|71,297
1,14|297|14|297|sample|5|71|5|71|6.0,2.39816e-05,1.54354,0.0247197,0.127266,0.878538,True,6.0|71,297
1,14|297|14|297|sample|6|71|6|71|6.0,0.000111973,1.77625,0.0264539,0.127266,0.878538,True,6.0|71,297
1,14|297|14|297|sample|8|71|8|71|6.0,1.91573e-05,3.13012,0.145737,0.127266,0.878538,True,6.0|71,297
1,14|297|14|297|sample|7|71|7|71|6.0,0.000103461,2.14841,0.0820386,0.127266,0.878538,True,6.0|71,297
1,14|297|14|297|sample|9|71|9|71|6.0,2.03653e-05,2.13311,0.0409667,0.127266,0.878538,True,6.0|71,297
1,14|297|14|297|sample|10|71|10|71|6.0,1.21884e-05,1.89683,0.0336164,0.127266,0.878538,True,6.0|71,297
1,14|297|14|297|sample|12|71|12|71|6.0,9.07293e-05,1.00533,1.45839,0.127266,0.878538,True,6.0|71,297
1,14|297|14|297|sample|11|71|11|71|6.0,5.50989e-05,0.941371,1.40329,0.127266,0.878538,True,6.0|71,297
1,14|297|14|297|cc|1|1|71|1|71|69.0,0.000156243,3.59827,34.0046,0.127266,0.878538,False,69.0|71,297
1,14|297|14|297|cc|2|1|71|1|71|69.0,0.000275015,3.32377,45.1935,0.127266,0.878538,False,69.0|71,297
1,14|297|14|297|cc|3|1|71|1|71|69.0,0.000204058,5.93856,3.64154,0.127266,0.878538,False,69.0|71,297
1,14|297|14|297|cc|4|1|71|1|71|69.0,0.000141813,4.13621,154.365,0.127266,0.878538,False,69.0|71,297
1,14|297|14|297|cc|5|1|71|1|71|69.0,0.000405242,2.4683,10.3699,0.127266,0.878538,False,69.0|71,297
1,14|297|14|297|cc|6|1|71|1|71|69.0,0.000135031,2.28055,1004.95,0.127266,0.878538,False,69.0|71,297
1,14|297|14|297|cc|7|1|71|1|71|69.0,0.000102406,3.5459,323.475,0.127266,0.878538,False,69.0|71,297
1,14|297|14|297|cc|8|1|71|1|71|69.0,1.5773e-05,1.97038,453.248,0.127266,0.878538,False,69.0|71,297
1,14|297|14|297|vc|1|2|71|2|71|69.0,2.49894e-05,3.22918,927.912,0.127266,0.878538,False,69.0|71,297
1,14|297|14|297|vc|2|2|71|2|71|69.0,0.000594625,1.78321,1970.63,0.127266,0.878538,False,69.0|71,297
1,14|297|14|297|vc|3|2|71|2|71|69.0,0.000266892,3.94834,26.1434,0.127266,0.878538,False,69.0|71,297
