id,f_SAEM,h_SAEM,L_gap_SAEM,f_mean,h_mean,L_gap_mean,f_mode,h_mode,L_gap_mode,f_sd,h_sd,L_gap_sd,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0.512287,1.42364,1.24688,0.517794,1.42364,1.24688,0.507046,1.42364,1.24688,0.0443342,4.71216e-08,5.37269e-08,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0.285117,1.42364,1.24688,0.290385,1.42364,1.24688,0.288545,1.42364,1.24688,0.0230863,6.32203e-08,6.664e-08,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0.578839,1.42364,1.24688,0.571971,1.42364,1.24688,0.571538,1.42364,1.24688,0.0349099,6.664e-08,6.82857e-08,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0.600557,1.42364,1.24688,0.604961,1.42364,1.24688,0.600068,1.42364,1.24688,0.0362247,5.16191e-08,5.96046e-08,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0.391448,1.42364,1.24688,0.395039,1.42364,1.24688,0.390406,1.42364,1.24688,0.0250675,6.32203e-08,7.74287e-08,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0.376008,1.42364,1.24688,0.366918,1.42364,1.24688,0.365173,1.42364,1.24688,0.0294542,7.30005e-08,5.37269e-08,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0.519724,1.42364,1.24688,0.52217,1.42364,1.24688,0.515887,1.42364,1.24688,0.0473508,0,5.77119e-08,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0.602125,1.42364,1.24688,0.624461,1.42364,1.24688,0.607598,1.42364,1.24688,0.0478815,3.65002e-08,4.47035e-08,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0.351126,1.42364,1.24688,0.346228,1.42364,1.24688,0.346751,1.42364,1.24688,0.0213951,4.71216e-08,4.71216e-08,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0.404037,1.42364,1.24688,0.402743,1.42364,1.24688,0.39946,1.42364,1.24688,0.0352426,5.96046e-08,7.45058e-08,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,14.9751,0.78112,10.0375,29.467,0.78112,10.0375,1.00787,0.78112,10.0375,180.481,4.08085e-08,4.61696e-07,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,14.474,0.78112,10.0375,20.6945,0.78112,10.0375,1,0.78112,10.0375,96.6962,1.05367e-08,5.05762e-07,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,6.20711,0.78112,10.0375,16.9727,0.78112,10.0375,0.97414,0.78112,10.0375,74.4814,0,5.46286e-07,69.0|274,411
