rep,id,eta_f,eta_h,eta_L_gap,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,-0.452049,3.42137e-08,5.33734e-08,70.0|274,411
2,9|411|9|411|sample|4|274|4|274|70.0,-0.482958,-1.9947e-08,8.95552e-08,70.0|274,411
3,9|411|9|411|sample|4|274|4|274|70.0,-0.529864,2.09539e-08,-1.88956e-08,70.0|274,411
4,9|411|9|411|sample|4|274|4|274|70.0,-0.529864,-3.7704e-08,-7.02574e-09,70.0|274,411
5,9|411|9|411|sample|4|274|4|274|70.0,-0.547411,-4.41156e-08,-4.48124e-08,70.0|274,411
6,9|411|9|411|sample|4|274|4|274|70.0,-0.547411,-2.77566e-08,2.76206e-09,70.0|274,411
7,9|411|9|411|sample|4|274|4|274|70.0,-0.709343,-1.80743e-08,5.18768e-08,70.0|274,411
8,9|411|9|411|sample|4|274|4|274|70.0,-0.709343,3.49387e-08,-2.60612e-08,70.0|274,411
9,9|411|9|411|sample|4|274|4|274|70.0,-0.661239,-7.92902e-09,-8.17899e-09,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,-1.23007,4.85861e-08,2.0746e-08,70.0|274,411
2,9|411|9|411|sample|3|274|3|274|70.0,-1.20795,5.99516e-08,1.02746e-07,70.0|274,411
3,9|411|9|411|sample|3|274|3|274|70.0,-1.20922,-8.01719e-08,-1.3783e-08,70.0|274,411
4,9|411|9|411|sample|3|274|3|274|70.0,-1.20922,2.34755e-09,5.88735e-08,70.0|274,411
5,9|411|9|411|sample|3|274|3|274|70.0,-1.20922,-3.46698e-08,-3.77382e-08,70.0|274,411
6,9|411|9|411|sample|3|274|3|274|70.0,-1.27132,-4.19402e-08,4.91349e-08,70.0|274,411
7,9|411|9|411|sample|3|274|3|274|70.0,-1.19773,-5.21714e-08,-1.4319e-08,70.0|274,411
8,9|411|9|411|sample|3|274|3|274|70.0,-1.1869,2.59767e-09,-8.76997e-09,70.0|274,411
9,9|411|9|411|sample|3|274|3|274|70.0,-1.30664,3.03297e-08,-8.42332e-08,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,-0.576893,-5.01878e-08,5.71969e-08,70.0|274,411
2,9|411|9|411|sample|5|274|5|274|70.0,-0.614522,2.41298e-08,9.18986e-08,70.0|274,411
3,9|411|9|411|sample|5|274|5|274|70.0,-0.585089,-5.19222e-08,-3.51175e-09,70.0|274,411
4,9|411|9|411|sample|5|274|5|274|70.0,-0.514993,1.85925e-08,-6.70799e-08,70.0|274,411
5,9|411|9|411|sample|5|274|5|274|70.0,-0.471834,1.40976e-08,-5.20803e-08,70.0|274,411
6,9|411|9|411|sample|5|274|5|274|70.0,-0.666338,5.53232e-08,8.41153e-08,70.0|274,411
7,9|411|9|411|sample|5|274|5|274|70.0,-0.48034,4.0856e-08,3.79108e-08,70.0|274,411
8,9|411|9|411|sample|5|274|5|274|70.0,-0.48034,-5.124e-09,-3.74625e-08,70.0|274,411
9,9|411|9|411|sample|5|274|5|274|70.0,-0.48034,1.20082e-08,-4.18171e-08,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,-0.544775,-2.33925e-08,9.93772e-09,70.0|274,411
2,9|411|9|411|sample|6|274|6|274|70.0,-0.591938,1.66195e-08,6.32412e-08,70.0|274,411
3,9|411|9|411|sample|6|274|6|274|70.0,-0.425335,-6.05244e-08,-2.26962e-08,70.0|274,411
4,9|411|9|411|sample|6|274|6|274|70.0,-0.523939,-2.27122e-08,-3.21569e-08,70.0|274,411
5,9|411|9|411|sample|6|274|6|274|70.0,-0.44035,-1.14232e-08,1.91493e-08,70.0|274,411
6,9|411|9|411|sample|6|274|6|274|70.0,-0.509918,-1.3453e-08,5.58115e-08,70.0|274,411
7,9|411|9|411|sample|6|274|6|274|70.0,-0.526348,-5.11766e-08,2.99887e-08,70.0|274,411
8,9|411|9|411|sample|6|274|6|274|70.0,-0.521489,-5.19592e-08,-1.18829e-08,70.0|274,411
9,9|411|9|411|sample|6|274|6|274|70.0,-0.521489,6.85769e-09,-9.44261e-08,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,-0.854938,3.06726e-08,-5.67149e-09,70.0|274,411
2,9|411|9|411|sample|8|274|8|274|70.0,-0.879808,1.91073e-08,1.3942e-08,70.0|274,411
3,9|411|9|411|sample|8|274|8|274|70.0,-0.879808,-3.06428e-08,5.30418e-08,70.0|274,411
4,9|411|9|411|sample|8|274|8|274|70.0,-0.879808,6.60136e-09,-1.66896e-08,70.0|274,411
5,9|411|9|411|sample|8|274|8|274|70.0,-0.907866,2.90948e-08,-3.36551e-08,70.0|274,411
6,9|411|9|411|sample|8|274|8|274|70.0,-0.907866,3.03491e-08,7.18727e-08,70.0|274,411
7,9|411|9|411|sample|8|274|8|274|70.0,-0.907866,1.55368e-08,1.04607e-07,70.0|274,411
8,9|411|9|411|sample|8|274|8|274|70.0,-0.907866,-4.56818e-08,1.57166e-08,70.0|274,411
9,9|411|9|411|sample|8|274|8|274|70.0,-0.939756,-6.02726e-08,-1.46166e-08,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,-0.973848,-7.94842e-09,-6.99883e-08,70.0|274,411
2,9|411|9|411|sample|7|274|7|274|70.0,-0.973848,3.04783e-08,7.20269e-08,70.0|274,411
3,9|411|9|411|sample|7|274|7|274|70.0,-0.973848,-2.21728e-08,-5.39235e-08,70.0|274,411
4,9|411|9|411|sample|7|274|7|274|70.0,-1.0005,1.61623e-08,-1.28471e-08,70.0|274,411
5,9|411|9|411|sample|7|274|7|274|70.0,-0.910192,-2.89618e-08,-2.73663e-08,70.0|274,411
6,9|411|9|411|sample|7|274|7|274|70.0,-0.998648,3.66737e-08,3.46841e-08,70.0|274,411
7,9|411|9|411|sample|7|274|7|274|70.0,-0.881071,-5.14485e-08,-1.06345e-08,70.0|274,411
8,9|411|9|411|sample|7|274|7|274|70.0,-0.845559,2.8529e-08,1.6869e-08,70.0|274,411
9,9|411|9|411|sample|7|274|7|274|70.0,-1.13123,4.25624e-09,-3.18901e-08,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,-0.549582,-5.68112e-08,-2.10383e-09,70.0|274,411
2,9|411|9|411|sample|9|274|9|274|70.0,-0.552958,7.37749e-09,-4.58345e-08,70.0|274,411
3,9|411|9|411|sample|9|274|9|274|70.0,-0.538355,7.37749e-09,-5.48385e-10,70.0|274,411
4,9|411|9|411|sample|9|274|9|274|70.0,-0.534418,-1.09369e-08,9.08412e-08,70.0|274,411
5,9|411|9|411|sample|9|274|9|274|70.0,-0.721031,-5.42626e-09,8.86655e-08,70.0|274,411
6,9|411|9|411|sample|9|274|9|274|70.0,-0.544662,-3.41079e-08,5.95462e-08,70.0|274,411
7,9|411|9|411|sample|9|274|9|274|70.0,-0.719,-4.21545e-09,3.87125e-08,70.0|274,411
8,9|411|9|411|sample|9|274|9|274|70.0,-0.789971,1.19405e-08,-5.0981e-08,70.0|274,411
9,9|411|9|411|sample|9|274|9|274|70.0,-0.452916,-9.30371e-09,-5.33235e-08,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,-0.472883,1.64288e-08,-3.21701e-08,70.0|274,411
2,9|411|9|411|sample|10|274|10|274|70.0,-0.378287,-5.78682e-08,-2.85563e-08,70.0|274,411
3,9|411|9|411|sample|10|274|10|274|70.0,-0.319323,-6.3611e-09,1.15235e-09,70.0|274,411
4,9|411|9|411|sample|10|274|10|274|70.0,-0.457658,-3.06416e-08,7.79541e-08,70.0|274,411
5,9|411|9|411|sample|10|274|10|274|70.0,-0.43199,-9.52664e-09,9.7249e-08,70.0|274,411
6,9|411|9|411|sample|10|274|10|274|70.0,-0.479603,-3.2521e-08,-1.07348e-07,70.0|274,411
7,9|411|9|411|sample|10|274|10|274|70.0,-0.479603,-1.63923e-08,8.65093e-08,70.0|274,411
8,9|411|9|411|sample|10|274|10|274|70.0,-0.28277,7.20847e-08,-7.43651e-08,70.0|274,411
9,9|411|9|411|sample|10|274|10|274|70.0,-0.548528,4.4924e-08,-5.21594e-08,70.0|274,411
