rep,id,f,h,s,L_gap,mab_virus,run_id
1,8|1056|8|1056|sample|11|276|11|276|28.0,0.164571,0.949183,3.51726,-3.98207,28.0|276,1056
1,8|1056|8|1056|sample|10|276|10|276|28.0,0.243961,0.949183,3.51726,-2.64663,28.0|276,1056
1,8|1056|8|1056|sample|9|276|9|276|28.0,0.255086,0.949183,3.51726,-2.02068,28.0|276,1056
1,8|1056|8|1056|sample|4|276|4|276|22.0,0.49108,0.889578,3.51726,-4.47945,22.0|276,1056
1,8|1056|8|1056|sample|3|276|3|276|22.0,0.469882,0.889578,3.51726,-1.64142,22.0|276,1056
1,8|1056|8|1056|cc|1|1|276|1|276|69.0,4.63391,0.889578,3.51726,-1.99461,69.0|276,1056
1,8|1056|8|1056|cc|2|1|276|1|276|69.0,5.42358,0.889578,3.51726,-1.5197,69.0|276,1056
1,8|1056|8|1056|cc|3|1|276|1|276|69.0,5.50344,0.889578,3.51726,-3.4603,69.0|276,1056
1,8|1056|8|1056|cc|4|1|276|1|276|69.0,8.01201,0.889578,3.51726,-2.51862,69.0|276,1056
1,8|1056|8|1056|cc|5|1|276|1|276|69.0,5.53565,0.889578,3.51726,-1.52208,69.0|276,1056
1,8|1056|8|1056|cc|6|1|276|1|276|69.0,6.04105,0.889578,3.51726,-2.76042,69.0|276,1056
1,8|1056|8|1056|cc|7|1|276|1|276|69.0,5.31487,0.889578,3.51726,-3.57872,69.0|276,1056
1,8|1056|8|1056|cc|8|1|276|1|276|69.0,5.95532,0.889578,3.51726,-4.55566,69.0|276,1056
1,8|1056|8|1056|vc|1|2|276|2|276|69.0,6.62685,0.889578,3.51726,-2.34074,69.0|276,1056
1,8|1056|8|1056|vc|2|2|276|2|276|69.0,5.68702,0.889578,3.51726,-3.47484,69.0|276,1056
1,8|1056|8|1056|vc|3|2|276|2|276|69.0,6.34094,0.889578,3.51726,-2.46889,69.0|276,1056
1,8|1056|8|1056|vc|4|2|276|2|276|69.0,6.5538,0.889578,3.51726,-4.23203,69.0|276,1056
1,8|1056|8|1056|vc|5|2|276|2|276|69.0,5.14086,0.889578,3.51726,-3.30454,69.0|276,1056
1,8|1056|8|1056|vc|6|2|276|2|276|69.0,6.26965,0.889578,3.51726,-2.36643,69.0|276,1056
1,8|1056|8|1056|vc|7|2|276|2|276|69.0,4.71448,0.889578,3.51726,-3.99754,69.0|276,1056
1,8|1056|8|1056|vc|8|2|276|2|276|69.0,5.88139,0.889578,3.51726,-2.91421,69.0|276,1056
1,8|462|8|462|sample|6|292|6|292|55.0,53.9437,0.889579,3.51726,2.9278,55.0|292,462
1,8|462|8|462|sample|5|292|5|292|55.0,54.4996,0.889579,3.51726,4.35693,55.0|292,462
1,8|462|8|462|sample|4|292|4|292|55.0,18.5151,0.889579,3.51726,0.0305359,55.0|292,462
1,8|462|8|462|sample|3|292|3|292|55.0,14.767,0.889579,3.51726,0.0843356,55.0|292,462
1,8|462|8|462|sample|9|292|9|292|32.0,0.0724366,0.889578,3.51726,2.14934,32.0|292,462
1,8|462|8|462|sample|10|292|10|292|32.0,0.0683853,0.889578,3.51726,0.00773784,32.0|292,462
1,8|462|8|462|sample|7|292|7|292|32.0,0.0848362,0.889578,3.51726,0.175507,32.0|292,462
1,8|462|8|462|sample|8|292|8|292|32.0,0.0834427,0.889578,3.51726,3.46428,32.0|292,462
1,8|462|8|462|sample|11|292|11|292|22.0,0.973327,0.890646,3.51726,1.31761,22.0|292,462
1,8|462|8|462|sample|12|292|12|292|22.0,1.07921,0.890646,3.51726,0.511734,22.0|292,462
1,8|462|8|462|cc|1|1|292|1|292|69.0,1.34752,0.889578,3.51726,0.483835,69.0|292,462
1,8|462|8|462|cc|2|1|292|1|292|69.0,1.30502,0.889578,3.51726,2.03556,69.0|292,462
1,8|462|8|462|cc|3|1|292|1|292|69.0,1.22667,0.889578,3.51726,3.54866,69.0|292,462
1,8|462|8|462|cc|4|1|292|1|292|69.0,1.29055,0.889578,3.51726,1.28969,69.0|292,462
1,8|462|8|462|cc|5|1|292|1|292|69.0,1.66046,0.889578,3.51726,0.221588,69.0|292,462
1,8|462|8|462|cc|6|1|292|1|292|69.0,1.00454,0.889578,3.51726,1.90342,69.0|292,462
1,8|462|8|462|cc|7|1|292|1|292|69.0,1.48802,0.889578,3.51726,1.84045,69.0|292,462
1,8|462|8|462|cc|8|1|292|1|292|69.0,1.33091,0.889578,3.51726,1.61668,69.0|292,462
1,8|462|8|462|vc|1|2|292|2|292|69.0,2.10267,0.889578,3.51726,2.42201,69.0|292,462
1,8|462|8|462|vc|2|2|292|2|292|69.0,1.05245,0.889578,3.51726,2.88742,69.0|292,462
1,8|462|8|462|vc|3|2|292|2|292|69.0,1.79279,0.889578,3.51726,0.850808,69.0|292,462
1,8|462|8|462|vc|4|2|292|2|292|69.0,1.18176,0.889578,3.51726,1.09581,69.0|292,462
1,8|462|8|462|vc|5|2|292|2|292|69.0,1.22911,0.889578,3.51726,-0.225156,69.0|292,462
1,8|462|8|462|vc|6|2|292|2|292|69.0,1.1996,0.889578,3.51726,3.75259,69.0|292,462
1,8|462|8|462|vc|7|2|292|2|292|69.0,1.41468,0.889578,3.51726,-0.438294,69.0|292,462
1,8|462|8|462|vc|8|2|292|2|292|69.0,1.16328,0.889578,3.51726,1.34445,69.0|292,462
1,8|1159|8|1159|sample|8|292|8|292|65.0,0.96672,0.912066,3.51726,-5.71755,65.0|292,1159
1,8|1159|8|1159|sample|7|292|7|292|65.0,1.17164,0.912066,3.51726,-5.9547,65.0|292,1159
1,8|1159|8|1159|sample|5|292|5|292|65.0,0.943807,0.912066,3.51726,-3.83088,65.0|292,1159
1,8|1159|8|1159|sample|6|292|6|292|65.0,1.06116,0.912066,3.51726,-3.74325,65.0|292,1159
1,8|1159|8|1159|sample|11|292|11|292|28.0,0.218241,0.912066,3.51726,-3.86394,28.0|292,1159
1,8|1159|8|1159|sample|12|292|12|292|28.0,0.17504,0.912066,3.51726,-4.28632,28.0|292,1159
1,8|1159|8|1159|sample|9|292|9|292|28.0,0.334777,0.912066,3.51726,-4.91092,28.0|292,1159
1,8|1159|8|1159|sample|10|292|10|292|28.0,0.369697,0.912066,3.51726,-5.0153,28.0|292,1159
1,8|1159|8|1159|sample|4|292|4|292|22.0,1.49444,0.913134,3.51726,-6.06735,22.0|292,1159
1,8|1159|8|1159|sample|3|292|3|292|22.0,1.2526,0.913134,3.51726,-5.30235,22.0|292,1159
1,8|1159|8|1159|cc|1|1|292|1|292|69.0,1.4132,0.912066,3.51726,-5.96239,69.0|292,1159
1,8|1159|8|1159|cc|2|1|292|1|292|69.0,0.985283,0.912066,3.51726,-5.02041,69.0|292,1159
