id,L_gap_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,L_gap_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
14|783|14|783|cc|2|1|71|1|71|69.0,3.55784,1.65471,11.6975,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|cc|3|1|71|1|71|69.0,3.1237,1.65471,11.3305,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|cc|4|1|71|1|71|69.0,3.18283,1.65471,11.2517,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|cc|5|1|71|1|71|69.0,3.22857,1.65471,10.6021,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|cc|6|1|71|1|71|69.0,3.06071,1.65471,9.87649,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|cc|7|1|71|1|71|69.0,3.49847,1.65471,9.92421,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|cc|8|1|71|1|71|69.0,3.57994,1.65471,11.7832,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|vc|1|2|71|2|71|69.0,3.24515,1.65471,9.50266,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|vc|2|2|71|2|71|69.0,3.43702,1.65471,10.3217,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|vc|3|2|71|2|71|69.0,3.52348,1.65471,10.8194,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|vc|4|2|71|2|71|69.0,2.7816,1.65471,10.0182,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|vc|5|2|71|2|71|69.0,3.21602,1.65471,11.0845,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|vc|6|2|71|2|71|69.0,3.32187,1.65471,10.5993,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|vc|7|2|71|2|71|69.0,3.63917,1.65471,10.2299,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|783|14|783|vc|8|2|71|2|71|69.0,3.15049,1.65471,10.1114,0.125368,0.273658,3.43163,1.65435,7.77489,0.12636,0.276116,False,69.0|71,783
14|491|14|491|sample|10|99|10|99|6.0,4.74994,1.65471,0.00820829,0.125509,0.273661,4.73954,1.65435,0.00789151,0.126505,0.276119,True,6.0|99,491
14|491|14|491|sample|9|99|9|99|6.0,4.65545,1.65471,0.00832268,0.125509,0.273661,4.80629,1.65435,0.00826232,0.126505,0.276119,True,6.0|99,491
14|491|14|491|sample|12|99|12|99|6.0,5.9912,1.65471,0.0482479,0.125509,0.273661,6.22251,1.65435,0.0415818,0.126505,0.276119,True,6.0|99,491
14|491|14|491|sample|11|99|11|99|6.0,6.42967,1.65471,0.0557345,0.125509,0.273661,6.44888,1.65435,0.0525533,0.126505,0.276119,True,6.0|99,491
14|491|14|491|sample|4|99|4|99|44.0,5.20243,1.65471,0.0948591,0.125509,0.273661,5.5686,1.65435,0.0897084,0.126505,0.276119,True,44.0|99,491
14|491|14|491|sample|3|99|3|99|44.0,3.79597,1.65471,0.110804,0.125509,0.273661,5.2057,1.65435,0.102585,0.126505,0.276119,True,44.0|99,491
14|491|14|491|sample|6|99|6|99|44.0,7.16118,1.65471,0.165523,0.125509,0.273661,7.19853,1.65435,0.153827,0.126505,0.276119,True,44.0|99,491
14|491|14|491|sample|5|99|5|99|44.0,7.06995,1.65471,0.15225,0.125509,0.273661,7.18235,1.65435,0.142518,0.126505,0.276119,True,44.0|99,491
14|491|14|491|sample|7|99|7|99|63.0,3.70965,1.65471,0.00345763,0.125509,0.273661,4.31302,1.65435,0.00337851,0.126505,0.276119,True,63.0|99,491
14|491|14|491|sample|8|99|8|99|63.0,4.08381,1.65471,0.00354895,0.125509,0.273661,4.54704,1.65435,0.00338647,0.126505,0.276119,True,63.0|99,491
14|491|14|491|cc|1|1|99|1|99|69.0,3.20062,1.65471,71.0497,0.125509,0.273661,3.43163,1.65435,54.3026,0.126505,0.276119,False,69.0|99,491
14|491|14|491|cc|2|1|99|1|99|69.0,3.28149,1.65471,74.1952,0.125509,0.273661,3.43163,1.65435,54.3026,0.126505,0.276119,False,69.0|99,491
14|491|14|491|cc|3|1|99|1|99|69.0,3.15068,1.65471,68.6689,0.125509,0.273661,3.43163,1.65435,54.3026,0.126505,0.276119,False,69.0|99,491
14|491|14|491|cc|4|1|99|1|99|69.0,3.12071,1.65471,75.3635,0.125509,0.273661,3.43163,1.65435,54.3026,0.126505,0.276119,False,69.0|99,491
14|491|14|491|cc|5|1|99|1|99|69.0,3.8315,1.65471,66.2507,0.125509,0.273661,3.43163,1.65435,54.3026,0.126505,0.276119,False,69.0|99,491
14|491|14|491|cc|6|1|99|1|99|69.0,3.22686,1.65471,81.34,0.125509,0.273661,3.43163,1.65435,54.3026,0.126505,0.276119,False,69.0|99,491
14|491|14|491|cc|7|1|99|1|99|69.0,3.55319,1.65471,71.0821,0.125509,0.273661,3.43163,1.65435,54.3026,0.126505,0.276119,False,69.0|99,491
14|491|14|491|cc|8|1|99|1|99|69.0,3.57409,1.65471,70.3324,0.125509,0.273661,3.43163,1.65435,54.3026,0.126505,0.276119,False,69.0|99,491
14|491|14|491|vc|1|2|99|2|99|69.0,3.29323,1.65471,80.1291,0.125509,0.273661,3.43163,1.65435,54.3026,0.126505,0.276119,False,69.0|99,491
14|491|14|491|vc|2|2|99|2|99|69.0,3.54509,1.65471,72.8964,0.125509,0.273661,3.43163,1.65435,54.3026,0.126505,0.276119,False,69.0|99,491
14|491|14|491|vc|3|2|99|2|99|69.0,3.7881,1.65471,67.7961,0.125509,0.273661,3.43163,1.65435,54.3026,0.126505,0.276119,False,69.0|99,491
14|491|14|491|vc|4|2|99|2|99|69.0,3.39905,1.65471,76.4448,0.125509,0.273661,3.43163,1.65435,54.3026,0.126505,0.276119,False,69.0|99,491
14|491|14|491|vc|5|2|99|2|99|69.0,3.46001,1.65471,78.3555,0.125509,0.273661,3.43163,1.65435,54.3026,0.126505,0.276119,False,69.0|99,491
14|491|14|491|vc|6|2|99|2|99|69.0,3.06362,1.65471,80.6438,0.125509,0.273661,3.43163,1.65435,54.3026,0.126505,0.276119,False,69.0|99,491
14|491|14|491|vc|7|2|99|2|99|69.0,3.55506,1.65471,62.9057,0.125509,0.273661,3.43163,1.65435,54.3026,0.126505,0.276119,False,69.0|99,491
14|491|14|491|vc|8|2|99|2|99|69.0,3.5234,1.65471,75.2984,0.125509,0.273661,3.43163,1.65435,54.3026,0.126505,0.276119,False,69.0|99,491
14|433|14|433|sample|4|99|4|99|6.0,5.81906,1.65471,0.0508365,0.12537,0.273664,6.00767,1.65435,0.0451757,0.126362,0.276122,True,6.0|99,433
14|433|14|433|sample|3|99|3|99|6.0,5.44201,1.65471,0.0405388,0.12537,0.273664,5.40047,1.65435,0.0404992,0.126362,0.276122,True,6.0|99,433
14|433|14|433|sample|6|99|6|99|6.0,6.25425,1.65471,1.24485,0.12537,0.273664,6.29459,1.65435,1.21381,0.126362,0.276122,True,6.0|99,433
14|433|14|433|sample|5|99|5|99|6.0,6.59627,1.65471,1.15342,0.12537,0.273664,6.36539,1.65435,1.17243,0.126362,0.276122,True,6.0|99,433
14|433|14|433|sample|8|99|8|99|6.0,1.76431,1.65471,0.0147504,0.12537,0.273664,3.82264,1.65435,0.0137394,0.126362,0.276122,True,6.0|99,433
14|433|14|433|sample|7|99|7|99|6.0,1.02854,1.65471,0.012172,0.12537,0.273664,3.30722,1.65435,0.0121932,0.126362,0.276122,True,6.0|99,433
14|433|14|433|sample|10|99|10|99|6.0,2.51003,1.65471,0.157331,0.12537,0.273664,4.21958,1.65435,0.151573,0.126362,0.276122,True,6.0|99,433
