id,importanceSampling
411|4,156.485750
411|3,154.635285
411|5,169.246778
411|6,168.279813
411|8,154.692971
411|7,154.612911
411|9,135.376963
411|10,169.959478
411|12,153.460582
411|11,154.177100
411|1,83.976798
411|2,143.529026
783|3,172.218195
783|4,171.659159
783|5,167.427500
783|6,168.097843
783|7,198.722239
783|8,130.302110
783|10,171.925332
783|9,139.011912
783|12,201.891385
783|11,205.124949
783|1,81.765422
783|2,113.295162
491|10,170.982351
491|9,169.016648
491|12,126.748834
491|11,159.976354
491|4,164.460177
491|3,165.729749
491|6,164.953123
491|5,162.681702
491|7,153.591198
491|8,154.460747
491|1,64.266915
491|2,122.921179
433|4,169.413474
433|3,169.214337
433|6,173.966112
433|5,174.040641
433|8,181.120014
433|7,180.029622
433|10,162.214571
433|9,162.115466
433|11,162.168985
433|12,165.422896
433|1,64.702898
433|2,148.280997
297|3,161.961250
297|4,162.177506
297|5,181.839316
297|6,182.144658
297|8,174.605457
297|7,176.206351
297|9,179.281411
297|10,179.746932
297|12,183.386384
297|11,196.051159
297|1,67.835339
297|2,146.349287
183|4,149.434208
183|3,148.996111
183|6,148.967176
183|5,148.980684
183|7,150.925382
183|8,150.542627
183|10,148.519365
183|9,148.754793
183|12,147.005941
183|11,152.059522
183|1,88.190409
183|2,120.809870
705|3,162.540180
705|4,164.606787
705|5,163.760544
705|6,164.487747
705|7,162.279211
705|8,163.839941
705|10,158.040256
705|9,156.769857
705|12,151.209910
705|11,154.939598
705|1,67.430833
705|2,125.746928
555|4,156.848816
555|3,157.077569
555|5,156.480382
555|6,156.522139
555|7,134.907669
555|8,166.158130
555|9,123.787401
555|10,123.749173
555|12,133.167287
555|11,170.578606
555|1,80.099470
555|2,132.070576
394|5,161.990351
394|6,163.493858
394|7,171.300701
394|8,171.545828
394|10,166.732832
394|9,170.849262
394|12,162.589010
394|11,163.866631
394|3,153.009311
394|4,154.058315
394|1,63.388091
394|2,137.296182
1099|3,145.516154
1099|4,111.594702
1099|5,146.338023
1099|6,146.887024
1099|8,157.604963
1099|7,152.000360
1099|9,145.459252
1099|10,145.393804
1099|11,154.861828
1099|12,153.895286
1099|1,67.622212
1099|2,120.275719
611|4,142.749353
611|3,180.637046
611|5,163.975126
611|6,167.872175
611|7,175.609745
611|8,187.373247
611|9,148.625401
611|10,116.152634
611|12,173.531485
611|11,179.702014
611|1,67.767946
611|2,125.021995
84|5,181.544680
84|6,191.944290
84|4,158.087694
84|3,196.633776
84|9,165.432222
84|10,164.961709
84|7,170.110457
84|8,169.754002
84|12,163.798627
84|11,167.478053
84|1,43.649909
84|2,148.756822
1042|8,128.962577
1042|7,163.591895
1042|6,167.016016
1042|5,166.979334
1042|12,159.631198
1042|11,128.584100
1042|9,166.186518
1042|10,165.190698
1042|4,167.578280
1042|3,166.719697
1042|1,82.913688
1042|2,148.959030
719|5,171.419346
719|6,171.620326
719|3,147.164249
719|4,181.189892
719|10,176.130786
719|9,143.100550
719|8,145.993031
719|7,179.488713
719|12,169.526111
719|11,168.444729
719|1,80.375222
719|2,144.894776
863|7,160.814744
863|8,160.624989
863|6,164.582580
863|5,164.690494
863|11,159.559908
863|12,158.877563
863|9,163.076852
863|10,162.957443
863|3,162.147290
863|4,163.349235
863|1,79.879899
863|2,143.687773
488|6,172.361597
488|5,172.518654
488|4,177.351478
488|3,177.123140
488|10,170.910517
488|9,170.321856
488|8,173.830256
488|7,174.034260
488|11,132.528636
488|12,166.875298
488|1,78.223739
488|2,144.287697
152|8,161.319596
152|7,161.158437
152|6,164.954076
152|5,165.555388
152|12,167.190375
152|11,166.473543
152|10,170.280199
152|9,169.047179
152|3,162.896937
152|4,162.535676
152|1,78.527376
