rep,id,eta_f,eta_h,eta_s,eta_L_gap,mab_virus,run_id
1,8|1056|8|1056|cc|2|1|276|1|276|69.0,-0.753102,0,0,-0.0807456,69.0|276,1056
1,8|1056|8|1056|cc|3|1|276|1|276|69.0,-1.0129,0,0,0.455465,69.0|276,1056
1,8|1056|8|1056|cc|4|1|276|1|276|69.0,-0.303835,0,0,0.180912,69.0|276,1056
1,8|1056|8|1056|cc|5|1|276|1|276|69.0,-0.226277,0,0,-0.00701388,69.0|276,1056
1,8|1056|8|1056|cc|6|1|276|1|276|69.0,-0.56604,0,0,0.561471,69.0|276,1056
1,8|1056|8|1056|cc|7|1|276|1|276|69.0,1.32725,0,0,-0.202429,69.0|276,1056
1,8|1056|8|1056|cc|8|1|276|1|276|69.0,-0.494369,0,0,-0.0790275,69.0|276,1056
1,8|1056|8|1056|vc|1|2|276|2|276|69.0,-2.46187,0,0,0.62438,69.0|276,1056
1,8|1056|8|1056|vc|2|2|276|2|276|69.0,-0.180026,0,0,-0.0702723,69.0|276,1056
1,8|1056|8|1056|vc|3|2|276|2|276|69.0,-1.29818,0,0,-0.318075,69.0|276,1056
1,8|1056|8|1056|vc|4|2|276|2|276|69.0,-2.58051,0,0,-0.086134,69.0|276,1056
1,8|1056|8|1056|vc|5|2|276|2|276|69.0,-2.25217,0,0,-0.516492,69.0|276,1056
1,8|1056|8|1056|vc|6|2|276|2|276|69.0,0.599869,0,0,0.409641,69.0|276,1056
1,8|1056|8|1056|vc|7|2|276|2|276|69.0,0.356636,0,0,0.26764,69.0|276,1056
1,8|1056|8|1056|vc|8|2|276|2|276|69.0,-1.01756,0,0,0.156193,69.0|276,1056
1,8|462|8|462|sample|6|292|6|292|55.0,3.69591,0,0,-0.182013,55.0|292,462
1,8|462|8|462|sample|5|292|5|292|55.0,3.86106,0,0,0.922141,55.0|292,462
1,8|462|8|462|sample|4|292|4|292|55.0,1.91967,0,0,-0.957083,55.0|292,462
1,8|462|8|462|sample|3|292|3|292|55.0,2.2828,0,0,-0.829341,55.0|292,462
1,8|462|8|462|sample|9|292|9|292|32.0,-2.66982,0,0,0.419653,32.0|292,462
1,8|462|8|462|sample|10|292|10|292|32.0,-2.8912,0,0,0.305131,32.0|292,462
1,8|462|8|462|sample|7|292|7|292|32.0,-2.65349,0,0,-0.200706,32.0|292,462
1,8|462|8|462|sample|8|292|8|292|32.0,-2.7609,0,0,0.12281,32.0|292,462
1,8|462|8|462|sample|11|292|11|292|22.0,-0.103551,0,0,0.334576,22.0|292,462
1,8|462|8|462|sample|12|292|12|292|22.0,-0.147617,0,0,-0.00369949,22.0|292,462
1,8|462|8|462|cc|1|1|292|1|292|69.0,-1.12314,0,0,-0.133177,69.0|292,462
1,8|462|8|462|cc|2|1|292|1|292|69.0,-0.388271,0,0,-0.235124,69.0|292,462
1,8|462|8|462|cc|3|1|292|1|292|69.0,0.636941,0,0,-0.44958,69.0|292,462
1,8|462|8|462|cc|4|1|292|1|292|69.0,-3.18262,0,0,0.105701,69.0|292,462
1,8|462|8|462|cc|5|1|292|1|292|69.0,0.852292,0,0,-0.476559,69.0|292,462
1,8|462|8|462|cc|6|1|292|1|292|69.0,0.524092,0,0,-0.229635,69.0|292,462
1,8|462|8|462|cc|7|1|292|1|292|69.0,-2.01745,0,0,0.659942,69.0|292,462
1,8|462|8|462|cc|8|1|292|1|292|69.0,0.573851,0,0,-0.51075,69.0|292,462
1,8|462|8|462|vc|1|2|292|2|292|69.0,-1.65555,0,0,-0.328369,69.0|292,462
1,8|462|8|462|vc|2|2|292|2|292|69.0,-1.13964,0,0,-0.139537,69.0|292,462
1,8|462|8|462|vc|3|2|292|2|292|69.0,0.43026,0,0,-0.171501,69.0|292,462
1,8|462|8|462|vc|4|2|292|2|292|69.0,-0.887817,0,0,0.815363,69.0|292,462
1,8|462|8|462|vc|5|2|292|2|292|69.0,-0.784845,0,0,0.210054,69.0|292,462
1,8|462|8|462|vc|6|2|292|2|292|69.0,1.63186,0,0,-0.653436,69.0|292,462
1,8|462|8|462|vc|7|2|292|2|292|69.0,-0.293851,0,0,-0.401912,69.0|292,462
1,8|462|8|462|vc|8|2|292|2|292|69.0,0.705226,0,0,-0.275127,69.0|292,462
