id,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,1748.81,2.01614,0.00658973,12.2533,0.0428288,3.08031e-05,1749.06,2.01614,0.00658903,12.2892,0.0428163,3.22883e-05,False,69.0|162,84
8|84|cc|2|1|162,1748.81,2.01614,0.00658973,12.1657,0.0428288,3.08031e-05,1749.06,2.01614,0.00658903,12.2892,0.0428163,3.22883e-05,False,69.0|162,84
8|84|cc|3|1|162,1748.81,2.01614,0.00658973,12.399,0.0428288,3.08031e-05,1749.06,2.01614,0.00658903,12.2892,0.0428163,3.22883e-05,False,69.0|162,84
8|84|cc|4|1|162,1748.81,2.01614,0.00658973,12.3769,0.0428288,3.08031e-05,1749.06,2.01614,0.00658903,12.2892,0.0428163,3.22883e-05,False,69.0|162,84
8|84|cc|5|1|162,1748.81,2.01614,0.00658973,12.2546,0.0428288,3.08031e-05,1749.06,2.01614,0.00658903,12.2892,0.0428163,3.22883e-05,False,69.0|162,84
8|84|cc|6|1|162,1748.81,2.01614,0.00658973,12.2544,0.0428288,3.08031e-05,1749.06,2.01614,0.00658903,12.2892,0.0428163,3.22883e-05,False,69.0|162,84
8|84|cc|7|1|162,1748.81,2.01614,0.00658973,12.1914,0.0428288,3.08031e-05,1749.06,2.01614,0.00658903,12.2892,0.0428163,3.22883e-05,False,69.0|162,84
8|84|cc|8|1|162,1748.81,2.01614,0.00658973,12.3064,0.0428288,3.08031e-05,1749.06,2.01614,0.00658903,12.2892,0.0428163,3.22883e-05,False,69.0|162,84
8|84|sample|10|162,1748.81,1.31687,0.00658989,1133.45,0.0428288,3.08031e-05,1749.06,1.31687,0.00658919,1133.37,0.0428163,3.22883e-05,True,32.0|162,84
8|84|sample|11|162,1748.81,1.3643,0.00658989,1124.14,0.0428288,3.08031e-05,1749.06,1.36431,0.00658919,1120.28,0.0428163,3.22883e-05,True,22.0|162,84
8|84|sample|12|162,1748.81,1.3643,0.00658989,1142.2,0.0428288,3.08031e-05,1749.06,1.36431,0.00658919,1143.69,0.0428163,3.22883e-05,True,22.0|162,84
8|84|sample|3|162,1748.81,2.20919,0.00658989,1138.01,0.0428288,3.08031e-05,1749.06,2.20919,0.00658919,1142.68,0.0428163,3.22883e-05,True,55.0|162,84
8|84|sample|4|162,1748.81,2.20919,0.00658989,1158.07,0.0428288,3.08031e-05,1749.06,2.20919,0.00658919,1142.53,0.0428163,3.22883e-05,True,55.0|162,84
8|84|sample|5|162,1748.81,2.20919,0.00658989,1116.62,0.0428288,3.08031e-05,1749.06,2.20919,0.00658919,1116.48,0.0428163,3.22883e-05,True,55.0|162,84
