********************************************************************************
*                        m480_fitted.mlxtran                                   *
*                        September 13, 2026 at 16:47:15                        *
*                        Monolix version : 2024R1                              *
********************************************************************************


ESTIMATION OF THE POPULATION PARAMETERS ________________________________________

Fixed Effects ----------------------------
f_pop                         :      0.467
beta_f_mab_virus_22_0_162     :  -8.56e-06
beta_f_mab_virus_22_0_174     :  -1.02e-06
beta_f_mab_virus_22_0_218     :     -0.834
beta_f_mab_virus_22_0_274     :      -1.78
beta_f_mab_virus_22_0_276     :      -1.78
beta_f_mab_virus_22_0_292     :  -7.29e-06
beta_f_mab_virus_22_0_319     :       -2.1
beta_f_mab_virus_22_0_322     :   3.07e-06
beta_f_mab_virus_22_0_65      :   4.89e-06
beta_f_mab_virus_22_0_69      :   1.04e-06
beta_f_mab_virus_28_0_103     :   2.58e-06
beta_f_mab_virus_28_0_162     :   1.55e-05
beta_f_mab_virus_28_0_174     :   7.04e-07
beta_f_mab_virus_28_0_218     :  -5.72e-06
beta_f_mab_virus_28_0_274     :      -1.56
beta_f_mab_virus_28_0_276     :      -2.54
beta_f_mab_virus_28_0_292     :  -5.07e-06
beta_f_mab_virus_28_0_319     :   1.39e-06
beta_f_mab_virus_28_0_322     :   3.66e-07
beta_f_mab_virus_28_0_65      :   5.45e-07
beta_f_mab_virus_28_0_69      :  -1.12e-07
beta_f_mab_virus_32_0_103     :    1.4e-06
beta_f_mab_virus_32_0_162     :  -1.24e-05
beta_f_mab_virus_32_0_174     :   -2.4e-06
beta_f_mab_virus_32_0_218     :   7.63e-06
beta_f_mab_virus_32_0_274     :   2.69e-07
beta_f_mab_virus_32_0_276     :   1.75e-06
beta_f_mab_virus_32_0_292     :  -3.41e-06
beta_f_mab_virus_32_0_319     :   8.96e-07
beta_f_mab_virus_32_0_322     :     -0.928
beta_f_mab_virus_32_0_65      :  -2.97e-07
beta_f_mab_virus_32_0_69      :   2.13e-07
beta_f_mab_virus_44_0_99      :  -2.92e-06
beta_f_mab_virus_55_0_103     :     -2e-06
beta_f_mab_virus_55_0_162     :  -5.24e-07
beta_f_mab_virus_55_0_174     :   1.48e-06
beta_f_mab_virus_55_0_218     :   5.39e-07
beta_f_mab_virus_55_0_274     :  -8.75e-07
beta_f_mab_virus_55_0_276     :      0.156
beta_f_mab_virus_55_0_292     :  -2.79e-07
beta_f_mab_virus_55_0_319     :   7.69e-06
beta_f_mab_virus_55_0_322     :  -6.49e-07
beta_f_mab_virus_55_0_65      :  -1.38e-06
beta_f_mab_virus_55_0_69      :  -6.59e-07
beta_f_mab_virus_6_0_233      :       1.74
beta_f_mab_virus_6_0_42       :       3.65
beta_f_mab_virus_6_0_71       :      0.883
beta_f_mab_virus_6_0_73       :       4.69
beta_f_mab_virus_6_0_99       :     -0.454
beta_f_mab_virus_63_0_42      :  -4.31e-06
beta_f_mab_virus_63_0_99      :  -4.45e-06
beta_f_mab_virus_65_0_103     :      -3.03
