rep,id,f,h,s,L_gap,eta_alpha,mab_virus,run_id
1,411|4,1.54634,0.971857,2.4238,-175.85,0.158458,70.0|274,411
1,411|3,1.08389,0.971857,2.66052,-175.85,-0.0404673,70.0|274,411
1,411|5,1.95921,0.971857,2.54003,-175.85,0.083201,70.0|274,411
1,411|6,1.03525,0.971857,1.66119,-175.85,0.118468,70.0|274,411
1,411|8,1.38959,0.971857,2.62678,-175.85,0.134741,70.0|274,411
1,411|7,1.02808,0.971857,2.31411,-175.85,0.181587,70.0|274,411
1,411|9,1.12246,0.971857,1.9342,-175.85,-0.0198053,70.0|274,411
1,411|10,1.57188,0.971857,2.20093,-175.85,0.108859,70.0|274,411
1,411|12,1.28401,0.971857,2.62419,-175.85,-0.00906833,70.0|274,411
1,411|11,1.16793,0.971857,2.28718,-175.85,-0.0795469,70.0|274,411
1,411|1,0.300449,0.971853,0.200237,-174.692,-0.0116501,69.0|274,411
1,411|2,1.16647,0.971853,0.990991,-174.692,0.0462648,69.0|274,411
1,152|8,1.11371,0.76818,2.79976,-178.809,0.0387661,65.0|322,152
1,152|7,0.531191,0.76818,2.0217,-178.809,-0.0561885,65.0|322,152
1,152|6,0.382504,0.76818,1.75459,-178.809,-0.1089,65.0|322,152
1,152|5,0.537349,0.76818,1.94606,-178.809,-0.257446,65.0|322,152
1,152|12,0.385429,0.603046,3.02359,-173.225,0.0352993,28.0|322,152
1,152|11,0.820741,0.603046,3.84023,-173.225,0.00104474,28.0|322,152
1,152|10,1.01233,0.603046,4.31956,-173.225,0.00977757,28.0|322,152
1,152|9,1.0495,0.603046,4.09358,-173.225,-0.0834369,28.0|322,152
1,152|3,0.394025,0.769298,1.94156,-174.274,0.052033,22.0|322,152
1,152|4,0.406248,0.769298,1.91001,-174.274,-0.0652586,22.0|322,152
1,152|1,0.592119,0.767862,0.12439,-174.44,0.0249996,69.0|322,152
1,152|2,0.650012,0.767862,3.02049,-174.44,-0.0963371,69.0|322,152
1,1056|8,1.50823,0.939823,6.69575,-174.463,0.115118,65.0|276,1056
1,1056|7,0.877189,0.939823,4.75499,-174.463,0.0634824,65.0|276,1056
1,1056|6,1.56616,0.939823,6.50585,-174.463,0.0572407,65.0|276,1056
1,1056|5,0.914379,0.939823,5.04353,-174.463,-0.0154892,65.0|276,1056
1,1056|12,0.502499,0.768044,7.40899,-177.618,0.115418,28.0|276,1056
1,1056|11,2.52267,0.768044,20.8432,-177.618,-0.0505395,28.0|276,1056
1,1056|10,1.82666,0.768044,11.4963,-177.618,0.12987,28.0|276,1056
1,1056|9,1.31788,0.768044,8.92961,-177.618,-0.00739866,28.0|276,1056
1,1056|4,1.32488,0.994041,7.5869,-176.554,0.00558398,22.0|276,1056
1,1056|3,1.25755,0.994041,7.75082,-176.554,-0.0859251,22.0|276,1056
1,1056|1,0.951995,0.768311,0.692468,-177.963,0.0563047,69.0|276,1056
1,1056|2,0.319581,0.768311,0.885757,-177.963,-0.0138091,69.0|276,1056
1,462|6,0.738982,0.36974,1.21009,-178.171,0.163496,55.0|292,462
1,462|5,0.575325,0.36974,1.16979,-178.171,-0.0109725,55.0|292,462
1,462|4,0.986684,0.36974,1.34071,-178.171,0.0834804,55.0|292,462
1,462|3,0.410112,0.36974,1.07003,-178.171,0.0250878,55.0|292,462
1,462|9,0.739009,0.746218,14.1101,-174.512,-0.116736,32.0|292,462
1,462|10,0.884475,0.746218,16.046,-174.512,0.17867,32.0|292,462
1,462|7,1.87657,0.746218,23.7577,-174.512,0.257407,32.0|292,462
1,462|8,0.986124,0.746218,15.4799,-174.512,0.11915,32.0|292,462
1,462|11,1.95533,0.693861,4.89717,-176.406,0.0127814,22.0|292,462
1,462|12,1.77442,0.693861,4.233,-176.406,-0.0593779,22.0|292,462
1,462|1,1.45429,0.368785,0.208813,-176.413,-0.0820264,69.0|292,462
1,462|2,0.942145,0.368785,2.61916,-176.413,-0.0242664,69.0|292,462
1,1159|8,2.95156,0.767946,6.63368,-175.665,0.264133,65.0|292,1159
1,1159|7,7.62238,0.767946,11.6531,-175.665,0.309162,65.0|292,1159
1,1159|5,2.40464,0.767946,5.50646,-175.665,0.179387,65.0|292,1159
1,1159|6,4.35973,0.767946,8.0331,-175.665,0.289804,65.0|292,1159
1,1159|11,1.05296,0.768313,8.93032,-175.001,0.115139,28.0|292,1159
1,1159|12,0.618397,0.768313,7.57845,-175.001,-0.0396027,28.0|292,1159
1,1159|9,1.41347,0.768313,8.31034,-175.001,0.215753,28.0|292,1159
1,1159|10,0.514091,0.768313,4.42088,-175.001,0.335791,28.0|292,1159
1,1159|4,0.691141,1.09344,2.13126,-171.828,0.12131,22.0|292,1159
1,1159|3,0.760162,1.09344,2.51417,-171.828,0.113993,22.0|292,1159
1,1159|1,2.02955,0.768361,0.259029,-171.835,0.222245,69.0|292,1159
1,1159|2,0.455737,0.768361,1.51344,-171.835,-0.00105107,69.0|292,1159
1,1197|7,0.447637,0.768297,7.64429,-179.96,0.00420375,65.0|103,1197
1,1197|8,1.02151,0.768297,12.7182,-179.96,0.092904,65.0|103,1197
1,1197|6,0.319192,0.768297,6.33172,-179.96,0.109114,65.0|103,1197
1,1197|5,0.623944,0.768297,9.06078,-179.96,0.099696,65.0|103,1197
1,1197|12,1.11064,0.694002,15.2643,-178.158,-0.017509,28.0|103,1197
1,1197|10,1.10791,0.694002,14.3496,-178.158,0.0346358,28.0|103,1197
1,1197|9,1.59959,0.694002,18.0796,-178.158,0.140503,28.0|103,1197
1,1197|3,1.50114,0.768314,17.3875,-170.549,0.0875004,22.0|103,1197
1,1197|4,1.49092,0.768314,19.9122,-170.549,0.11039,22.0|103,1197
1,1197|11,1.0061,0.694002,14.9182,-178.158,0.171225,28.0|103,1197
1,1197|1,0.806573,0.773729,10.2339,-175.976,-0.00253146,69.0|103,1197
1,1197|2,0.656233,0.773729,3.5442,-175.976,0.00148871,69.0|103,1197
