id,importanceSampling
411|4,136.145679
411|3,143.829311
411|5,161.427482
411|6,167.212269
411|8,137.508238
411|7,138.307013
411|9,159.658565
411|10,163.311133
411|12,137.932957
411|11,136.365969
411|1,82.896108
411|2,147.243186
152|8,150.568987
152|7,151.305216
152|6,136.912474
152|5,165.412156
152|12,151.194438
152|11,147.494812
152|10,156.552210
152|9,126.373937
152|3,162.316109
152|4,156.294630
152|1,77.940591
152|2,150.473752
1056|8,142.158147
1056|7,143.606944
1056|6,149.345764
1056|5,150.149147
1056|12,116.612435
1056|11,142.893136
1056|10,147.626648
1056|9,151.300135
1056|4,145.040704
1056|3,143.121159
1056|1,77.003751
1056|2,163.632517
462|6,171.087407
462|5,200.077391
462|4,202.118551
462|3,200.571724
462|9,140.446686
462|10,142.542030
462|7,152.846788
462|8,152.678655
462|11,159.870610
462|12,166.932056
462|1,90.874846
462|2,161.640464
1159|8,151.751959
1159|7,153.343500
1159|5,158.899756
1159|6,158.414827
1159|11,146.931606
1159|12,123.783060
1159|9,154.350842
1159|10,154.304959
1159|4,151.555646
1159|3,150.734508
1159|1,81.568395
1159|2,158.537975
1197|7,132.665213
1197|8,132.131929
1197|6,139.433671
1197|5,139.635461
1197|12,101.613245
1197|10,141.519251
1197|9,141.807032
1197|3,132.211715
1197|4,133.844912
1197|11,132.100514
1197|1,81.444349
1197|2,159.213129
