U_pop,1,-0.664462,-0.663905,-0.78308,-0.72589,-0.900594,-6.95985e-13,-1.92343e-12,8.86546e-13,3.2746e-12,-1.01696e-10,-1.49071e-11,0.862456,-0.685268,-0.584595,-0.0960594,-0.158279,-0.188404,-8.70733e-12,8.79188e-12,-0.154172,0.245711
beta_U_mean_cc_643_5,-0.664462,1,0.441296,0.520424,0.485245,0.598457,-5.80321e-12,4.57347e-10,7.37637e-12,-1.14415e-12,7.10203e-11,1.56527e-11,-0.573088,0.831758,0.388458,0.0638198,0.10887,0.125278,-7.41052e-11,7.49757e-11,0.106387,-0.169962
beta_U_mean_cc_654_75,-0.663905,0.441296,1,0.520058,0.486391,0.597939,4.91674e-13,1.34727e-12,-6.26317e-13,-2.25279e-12,7.19788e-11,1.15417e-11,-0.572363,0.454769,0.849706,0.0637413,0.110851,0.125374,6.14901e-12,-6.20849e-12,0.116696,-0.179447
beta_U_mean_cc_695_25,-0.78308,0.520424,0.520058,1,0.571068,0.705264,3.40478e-11,-5.94459e-11,-4.33776e-11,5.05799e-09,7.89628e-11,-1.61478e-11,-0.675293,0.536554,0.457746,0.61795,0.127328,0.147675,4.25256e-10,-4.29314e-10,0.127414,-0.200743
beta_U_mean_cc_713_75,-0.72589,0.485245,0.486391,0.571068,1,0.654706,4.08778e-12,-2.83089e-12,-5.20525e-12,-5.11205e-12,5.46207e-10,2.3962e-11,-0.625074,0.496551,0.423954,0.069399,0.725047,0.140004,5.13097e-11,-5.18249e-11,0.262571,-0.388345
beta_U_mean_cc_910_0,-0.900594,0.598457,0.597939,0.705264,0.654706,1,-1.9932e-12,6.91543e-12,2.49969e-12,-2.67468e-12,9.26137e-11,1.64967e-09,-0.776811,0.617216,0.526536,0.0865145,0.143745,0.537736,-2.86789e-11,2.93332e-11,0.137463,-0.221546
L_pop,-6.95985e-13,-5.80321e-12,4.91674e-13,3.40478e-11,4.08778e-12,-1.9932e-12,1,-0.711855,-0.715234,-0.709025,-0.708514,-0.711595,-5.96216e-13,-3.76432e-12,4.05641e-13,6.09943e-11,4.73073e-12,-6.85819e-12,0.0964514,-0.0779001,1.04449e-12,-1.53288e-12
beta_L_mean_cc_643_5,-1.92343e-12,4.57347e-10,1.34727e-12,-5.94459e-11,-2.83089e-12,6.91543e-12,-0.711855,1,0.512961,0.501088,0.500076,0.507545,-1.67994e-12,3.08742e-10,1.13936e-12,-1.10808e-10,-5.19916e-12,1.41647e-11,-0.155544,0.14348,1.7486e-12,-3.3352e-12
beta_L_mean_cc_654_75,8.86546e-13,7.37637e-12,-6.26317e-13,-4.33776e-11,-5.20525e-12,2.49969e-12,-0.715234,0.512961,1,0.505289,0.504616,0.509388,7.59395e-13,4.78442e-12,-5.16669e-13,-7.77081e-11,-6.02375e-12,8.63117e-12,-0.125028,0.0990785,-1.33277e-12,1.95441e-12
beta_L_mean_cc_695_25,3.2746e-12,-1.14415e-12,-2.25279e-12,5.05799e-09,-5.11205e-12,-2.67468e-12,-0.709025,0.501088,0.505289,1,0.504351,0.504075,2.97452e-12,-1.59752e-12,-2.00482e-12,9.20797e-09,-3.94261e-12,2.80369e-13,-0.0277979,0.0141936,1.06395e-12,2.47834e-12
