id,importanceSampling
411|4,132.200715
411|3,146.633256
411|5,158.298741
411|6,162.118430
411|8,135.267455
411|7,137.048277
411|9,153.249312
411|10,129.389079
411|12,136.107903
411|11,132.729765
411|1,83.026529
411|2,147.584912
152|8,142.837721
152|7,142.743677
152|6,148.961996
152|5,148.442453
152|12,139.344662
152|11,136.251118
152|10,142.133600
152|9,146.096802
152|3,144.475979
152|4,143.919726
152|1,77.912108
152|2,152.052247
1056|8,140.053682
1056|7,141.656367
1056|6,145.051631
1056|5,145.766525
1056|12,154.878924
1056|11,146.242669
1056|10,145.750890
1056|9,119.353982
1056|4,142.682842
1056|3,139.782618
1056|1,77.035044
1056|2,163.668611
462|6,164.207478
462|5,165.264013
462|4,170.428420
462|3,169.659945
462|9,138.913673
462|10,142.454182
462|7,119.076776
462|8,149.813523
462|11,161.978620
462|12,167.789731
462|1,90.908531
462|2,161.701063
1159|8,121.065067
1159|7,154.559488
1159|5,158.602791
1159|6,157.842357
1159|11,152.680727
1159|12,132.035408
1159|9,155.118930
1159|10,156.980029
1159|4,149.617049
1159|3,147.506209
1159|1,81.532675
1159|2,127.178623
1197|7,99.833682
1197|8,130.793187
1197|6,138.100871
1197|5,137.268678
1197|12,134.338249
1197|10,142.274586
1197|9,107.163310
1197|3,98.602574
1197|4,131.074214
1197|11,136.650036
1197|1,81.407701
1197|2,159.893489
