id,importanceSampling
291|4,171.710997
291|3,170.881801
291|9,151.036721
291|10,147.924357
291|8,157.759112
291|7,155.936329
291|11,146.345087
291|12,145.616315
291|1,79.792861
291|2,149.693328
1197|7,140.274095
1197|8,139.333496
1197|6,148.850492
1197|5,149.154420
1197|12,137.590544
1197|10,149.573216
1197|9,151.645737
1197|3,141.534668
1197|4,142.437974
1197|11,136.048689
1197|1,80.978174
1197|2,158.532420
77|6,137.242601
77|5,148.055598
77|3,145.778935
77|4,138.294695
77|9,149.720018
77|10,152.878532
77|8,155.143278
77|7,151.843146
77|12,136.919300
77|11,136.836852
77|1,79.596374
77|2,135.212908
745|7,124.070186
745|8,120.970497
745|6,141.987367
745|5,138.985323
745|3,133.328901
745|11,126.048957
745|12,127.886937
745|10,137.565833
745|9,137.333759
745|4,135.185039
745|1,78.686525
745|2,136.440549
322|6,155.752236
322|5,163.023443
322|3,157.285308
322|4,159.345974
322|10,134.565792
322|9,136.129043
322|7,145.651685
322|8,145.173108
322|12,136.180308
322|11,137.570131
322|1,91.474297
322|2,150.908094
1043|6,137.021071
1043|7,122.002877
1043|8,125.389175
1043|5,139.780140
1043|11,128.574195
1043|12,126.643726
1043|10,137.641145
1043|9,136.823136
1043|4,130.966047
1043|3,131.529009
1043|1,72.703350
1043|2,147.285999
963|6,117.994805
963|5,121.851683
963|4,133.316942
963|3,134.108777
963|10,133.045579
963|9,131.716144
963|7,139.282512
963|8,142.603974
963|11,141.402366
963|12,139.209017
963|1,87.302430
963|2,141.916742
1260|8,115.268723
1260|7,116.066892
1260|6,131.222654
1260|5,129.656472
1260|11,128.047216
1260|12,126.766119
1260|10,138.735161
1260|9,138.420885
1260|4,136.396249
1260|3,135.889830
1260|1,90.333536
1260|2,139.284117
