rep,id,eta_U,eta_L,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|488|sample|3|322,0,-2.60519,-2.07809e-08,-0.844157,0,0,True,55.0|322,488
1,8|488|sample|4|322,0,-7.37406,-1.16458e-07,-1.20537,0,0,True,55.0|322,488
1,8|488|sample|5|322,0,-22.1809,8.17435e-08,-1.35408,0,0,True,55.0|322,488
1,8|488|sample|6|322,0,-6.54166,3.71947e-08,-1.22321,0,0,True,55.0|322,488
1,8|488|sample|7|322,0,-18.8278,3.32313e-08,2.64205,0,0,True,32.0|322,488
1,8|488|sample|8|322,0,-8.21095,-2.73518e-08,2.59576,0,0,True,32.0|322,488
1,8|488|sample|9|322,0,-28.0615,8.33826e-08,3.05366,0,0,True,32.0|322,488
1,8|488|vc|1|2|322,0,-0.551012,5.79033e-08,-0.790169,0,0,False,69.0|322,488
1,8|488|vc|2|2|322,0,3.8904,-4.55352e-08,5.00883,0,0,False,69.0|322,488
1,8|488|vc|3|2|322,0,-14.07,-2.06146e-08,-0.44908,0,0,False,69.0|322,488
1,8|488|vc|4|2|322,0,-20.5232,1.06318e-08,0.874082,0,0,False,69.0|322,488
1,8|488|vc|5|2|322,0,-4.25793,1.47993e-08,1.44436,0,0,False,69.0|322,488
1,8|488|vc|6|2|322,0,8.36942,-4.18812e-08,2.22267,0,0,False,69.0|322,488
1,8|488|vc|7|2|322,0,-4.93559,2.57203e-08,0.780418,0,0,False,69.0|322,488
1,8|488|vc|8|2|322,0,-3.26113,3.25902e-08,-3.98394,0,0,False,69.0|322,488
1,8|847|cc|1|1|69,0,2.6172,5.47445e-08,-3.89861,0,0,False,69.0|69,847
1,8|847|cc|2|1|69,0,-12.4696,2.8915e-09,2.51318,0,0,False,69.0|69,847
1,8|847|cc|3|1|69,0,-25.3299,-1.25159e-08,-4.12315,0,0,False,69.0|69,847
1,8|847|cc|4|1|69,0,3.5879,-2.37176e-08,3.20456,0,0,False,69.0|69,847
1,8|847|cc|5|1|69,0,7.84696,2.13875e-08,-1.09715,0,0,False,69.0|69,847
1,8|847|cc|6|1|69,0,-20.6604,-5.16232e-08,-2.37316,0,0,False,69.0|69,847
1,8|847|cc|7|1|69,0,-25.3675,-2.42157e-08,0.135032,0,0,False,69.0|69,847
1,8|847|cc|8|1|69,0,-10.6971,-1.15941e-07,-0.406253,0,0,False,69.0|69,847
1,8|847|sample|10|69,0,-36.2487,1.00451e-07,2.90043,0,0,True,32.0|69,847
1,8|847|sample|11|69,0,-16.3659,2.51896e-08,0.919211,0,0,True,22.0|69,847
1,8|847|sample|12|69,0,-11.5274,-7.49646e-08,0.981343,0,0,True,22.0|69,847
1,8|847|sample|3|69,0,-18.3463,1.70025e-08,1.33143,0,0,True,55.0|69,847
1,8|847|sample|4|69,0,-6.80837,5.03387e-08,1.1969,0,0,True,55.0|69,847
1,8|847|sample|5|69,0,-14.9245,8.09927e-08,0.86947,0,0,True,55.0|69,847
1,8|847|sample|6|69,0,-3.10021,4.39099e-08,1.65537,0,0,True,55.0|69,847
1,8|847|sample|7|69,0,-20.9298,-4.5882e-08,2.60296,0,0,True,32.0|69,847
1,8|847|sample|8|69,0,-6.92323,-2.86982e-08,2.72366,0,0,True,32.0|69,847
1,8|847|sample|9|69,0,-18.854,-9.61088e-08,2.82377,0,0,True,32.0|69,847
1,8|847|vc|1|2|69,0,1.01917,-6.38103e-08,6.41091,0,0,False,69.0|69,847
1,8|847|vc|2|2|69,0,1.59552,1.7917e-07,-1.985,0,0,False,69.0|69,847
1,8|847|vc|3|2|69,0,-28.616,-3.2467e-08,2.44631,0,0,False,69.0|69,847
1,8|847|vc|4|2|69,0,-5.31969,6.54989e-08,2.00161,0,0,False,69.0|69,847
1,8|847|vc|5|2|69,0,-7.52207,1.69591e-08,4.22231,0,0,False,69.0|69,847
1,8|847|vc|6|2|69,0,-0.0439477,1.35177e-08,1.57731,0,0,False,69.0|69,847
