id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|783|cc|7|1|71,-1.94798e-07,-0.00491964,0.215476,0,0,0.0,-9.85279e-08,1.99095e-07,0,0,False,69.0|71,783
14|783|cc|8|1|71,-2.98041e-07,-0.072386,0.130469,0,0,-1.02318e-12,1.16e-07,1.96299e-07,0,0,False,69.0|71,783
14|783|vc|1|2|71,4.92574e-08,-0.0159566,-0.180167,0,0,9.09495e-13,1.10916e-07,3.93417e-07,0,0,False,69.0|71,783
14|783|vc|2|2|71,8.01188e-08,0.011056,0.091235,0,0,2.27374e-13,5.40462e-08,-2.10671e-07,0,0,False,69.0|71,783
14|783|vc|3|2|71,1.14124e-07,-0.0335907,4.59589e-05,0,0,-9.09495e-13,1.23007e-07,-6.78326e-08,0,0,False,69.0|71,783
14|783|vc|4|2|71,-1.85898e-07,-0.00739813,-0.00651158,0,0,-6.82121e-13,-3.43893e-08,9.3324e-08,0,0,False,69.0|71,783
14|783|vc|5|2|71,1.67654e-07,0.0435386,0.101255,0,0,0.0,-1.16917e-07,3.7878e-07,0,0,False,69.0|71,783
14|783|vc|6|2|71,-8.3972e-08,-0.0218447,0.0247507,0,0,-1.13687e-13,-2.87331e-08,-3.13984e-07,0,0,False,69.0|71,783
14|783|vc|7|2|71,1.5647e-07,0.0299155,-0.015759,0,0,-4.54747e-13,-3.62524e-08,-1.11927e-07,0,0,False,69.0|71,783
14|783|vc|8|2|71,1.89858e-07,0.0334512,0.203081,0,0,-5.68434e-13,-1.32363e-07,1.30448e-06,0,0,False,69.0|71,783
14|491|sample|10|99,-6.08701e-07,0.220486,2.92906,0,0,-8.86757e-12,0.256431,2.91083,0,0,True,6.0|99,491
14|491|sample|9|99,2.66772e-07,0.260807,2.85958,0,0,0.0,0.252176,2.87626,0,0,True,6.0|99,491
14|491|sample|12|99,-7.21978e-07,-0.217272,1.89821,0,0,-3.52429e-12,-0.212145,1.85335,0,0,True,6.0|99,491
14|491|sample|11|99,-1.62338e-07,-0.138562,1.5722,0,0,-2.6148e-12,-0.207145,1.64039,0,0,True,6.0|99,491
14|491|sample|4|99,-5.03119e-07,0.328274,0.360322,0,0,6.82121e-13,0.302795,0.385126,0,0,True,44.0|99,491
14|491|sample|3|99,-2.93701e-07,0.424537,0.222007,0,0,-1.00044e-11,0.327955,0.266703,0,0,True,44.0|99,491
14|491|sample|6|99,2.25958e-07,-0.272108,0.378725,0,0,4.54747e-13,-0.296644,0.423888,0,0,True,44.0|99,491
14|491|sample|5|99,3.61611e-07,-0.291893,0.605171,0,0,-1.47793e-12,-0.346651,0.629063,0,0,True,44.0|99,491
14|491|sample|7|99,5.36128e-08,0.112766,3.85262,0,0,2.50111e-12,0.10721,3.85261,0,0,True,63.0|99,491
14|491|sample|8|99,-1.14083e-07,0.443419,3.60779,0,0,1.13687e-12,0.309394,3.67746,0,0,True,63.0|99,491
14|491|cc|1|1|99,2.30475e-08,-0.00771125,0.00262576,0,0,-1.13687e-13,-2.46028e-08,-5.17294e-07,0,0,False,69.0|99,491
14|491|cc|2|1|99,1.50497e-08,-0.0188762,0.135875,0,0,-4.54747e-13,-2.14802e-08,-3.19898e-07,0,0,False,69.0|99,491
14|491|cc|3|1|99,2.59733e-08,-0.0150911,-0.201605,0,0,-2.27374e-13,-1.1454e-07,-1.09543e-07,0,0,False,69.0|99,491
14|491|cc|4|1|99,1.23456e-07,-0.0115447,0.174726,0,0,2.27374e-13,4.02866e-08,4.38386e-07,0,0,False,69.0|99,491
14|491|cc|5|1|99,-7.99784e-08,0.0392374,-0.116031,0,0,2.27374e-13,-9.85451e-08,-2.69848e-07,0,0,False,69.0|99,491
14|491|cc|6|1|99,8.6172e-08,0.0155586,0.165129,0,0,-4.54747e-13,6.33358e-08,4.87882e-07,0,0,False,69.0|99,491
14|491|cc|7|1|99,9.66933e-08,0.022078,0.0228031,0,0,0.0,9.22828e-09,5.19051e-07,0,0,False,69.0|99,491
14|491|cc|8|1|99,6.30994e-08,-0.0237182,-0.24829,0,0,-2.27374e-13,6.8076e-08,3.27227e-07,0,0,False,69.0|99,491
14|491|vc|1|2|99,1.07119e-07,-0.0183547,-0.0677655,0,0,0.0,-1.64462e-07,-1.72875e-07,0,0,False,69.0|99,491
14|491|vc|2|2|99,-1.4886e-08,-0.0151353,-0.145901,0,0,-2.27374e-13,1.05954e-07,6.83115e-09,0,0,False,69.0|99,491
