id,U_SAEM,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|719|sample|11|274,1,2.92379e-05,1.75818,7.87025,0.133467,4.59767e-16,1,1.59414e-06,1.73284,7.7678,0.134414,4.62425e-16,True,22.0|274,719
8|719|sample|12|274,1,5.67911e-05,1.97257,7.9505,0.133467,4.59767e-16,1,1.59401e-06,1.95266,7.78483,0.134414,4.62425e-16,True,22.0|274,719
8|719|sample|3|274,1,0.000242932,1.40445,0.90331,0.133467,4.59767e-16,1,1.60134e-06,1.41152,0.891735,0.134414,4.62425e-16,True,55.0|274,719
8|719|sample|4|274,1,5.78289e-05,1.41257,0.889419,0.133467,4.59767e-16,1,1.60131e-06,1.37828,0.886686,0.134414,4.62425e-16,True,55.0|274,719
8|719|sample|5|274,1,5.17663e-05,1.34124,0.96166,0.133467,4.59767e-16,1,1.59464e-06,1.36839,0.929524,0.134414,4.62425e-16,True,55.0|274,719
8|719|sample|6|274,1,2.87488e-05,1.50525,0.977597,0.133467,4.59767e-16,1,1.5966e-06,1.54,0.906215,0.134414,4.62425e-16,True,55.0|274,719
8|719|sample|7|274,1,8.39737e-05,1.59666,6.17346,0.133467,4.59767e-16,1,1.59165e-06,1.51712,6.71439,0.134414,4.62425e-16,True,32.0|274,719
8|719|sample|8|274,1,8.17632e-05,1.49056,6.98426,0.133467,4.59767e-16,1,1.59169e-06,1.5079,6.86884,0.134414,4.62425e-16,True,32.0|274,719
8|719|sample|9|274,1,1.5839e-05,1.67691,6.09775,0.133467,4.59767e-16,1,1.59457e-06,1.5896,6.55502,0.134414,4.62425e-16,True,32.0|274,719
8|719|vc|1|2|274,1,2.50666e-06,0.49633,622.751,0.133467,4.59767e-16,1,7.95395e-09,0.450058,108.894,0.134414,4.62425e-16,False,69.0|274,719
8|719|vc|2|2|274,1,1.30057e-06,0.470235,373.772,0.133467,4.59767e-16,1,7.95395e-09,0.450058,108.894,0.134414,4.62425e-16,False,69.0|274,719
8|719|vc|3|2|274,1,8.89785e-07,0.46246,756.476,0.133467,4.59767e-16,1,7.95395e-09,0.450058,108.894,0.134414,4.62425e-16,False,69.0|274,719
8|719|vc|4|2|274,1,4.90049e-07,0.468547,649.339,0.133467,4.59767e-16,1,7.95395e-09,0.450058,108.894,0.134414,4.62425e-16,False,69.0|274,719
8|719|vc|5|2|274,1,1.36318e-06,0.460377,928.101,0.133467,4.59767e-16,1,7.95394e-09,0.450058,108.894,0.134414,4.62425e-16,False,69.0|274,719
8|719|vc|6|2|274,1,5.43877e-07,0.488405,516.539,0.133467,4.59767e-16,1,7.95395e-09,0.450058,108.894,0.134414,4.62425e-16,False,69.0|274,719
8|719|vc|7|2|274,1,1.34203e-06,0.471102,629.25,0.133467,4.59767e-16,1,7.95394e-09,0.450058,108.894,0.134414,4.62425e-16,False,69.0|274,719
8|719|vc|8|2|274,1,6.99546e-07,0.481245,884.071,0.133467,4.59767e-16,1,7.95395e-09,0.450058,108.894,0.134414,4.62425e-16,False,69.0|274,719
8|488|cc|1|1|322,1,1.06458e-06,0.476482,503.194,0.133484,4.59541e-16,1,7.95395e-09,0.450058,108.894,0.134432,4.62212e-16,False,69.0|322,488
