id,importanceSampling
411|4,136.320904
411|3,143.683920
411|5,161.561321
411|6,167.195454
411|8,137.559692
411|7,138.392602
411|9,159.813985
411|10,163.366167
411|12,137.920976
411|11,136.413063
411|1,82.969660
411|2,147.258220
152|8,150.524325
152|7,151.329000
152|6,167.618577
152|5,165.322221
152|12,150.931969
152|11,147.401001
152|10,156.533783
152|9,157.590196
152|3,162.163728
152|4,156.244844
152|1,77.821567
152|2,150.519359
1056|8,142.323427
1056|7,143.825413
1056|6,149.573825
1056|5,150.331508
1056|12,147.136941
1056|11,142.820913
1056|10,147.725297
1056|9,118.891304
1056|4,145.220645
1056|3,143.387469
1056|1,77.095119
1056|2,163.609166
462|6,201.326614
462|5,199.572884
462|4,201.650944
462|3,200.219480
462|9,144.117544
462|10,145.828795
462|7,121.097154
462|8,153.005351
462|11,160.881522
462|12,165.629227
462|1,58.513275
462|2,161.635347
1159|8,151.740038
1159|7,120.873954
1159|5,126.518823
1159|6,158.563941
1159|11,146.808368
1159|12,154.259381
1159|9,154.361814
1159|10,154.308729
1159|4,152.471242
1159|3,150.833845
1159|1,49.147098
1159|2,158.525191
1197|7,132.585613
1197|8,131.957188
1197|6,139.715786
1197|5,107.247799
1197|12,133.365672
1197|10,141.091743
1197|9,141.140023
1197|3,139.753144
1197|4,135.383274
1197|11,100.587512
1197|1,81.375827
1197|2,159.321314
