id,f_SAEM,h_SAEM,L_SAEM,U_SAEM,alpha_SAEM,m_SAEM,f_mean,h_mean,L_mean,U_mean,alpha_mean,m_mean,f_mode,h_mode,L_mode,U_mode,alpha_mode,m_mode,f_sd,h_sd,L_sd,U_sd,alpha_sd,m_sd,goes_down,mab_virus,run_id
783|10,1.47498,0.169913,405.613,115435,1.02697,-0.07265,8.30178,0.59075,405.613,77535.8,0.0669773,-0.0175115,8.0702,0.677778,405.613,69928.6,-0.117526,-0.00313349,5.47088,0.210075,1.32145e-05,16929.9,0.547416,0.0391423,True,6.0|71,783
783|9,0.743463,0.177218,405.613,116842,1.1652,-0.0597011,10.4563,0.642435,405.613,72759.1,-0.0206823,-0.00734831,9.2278,0.688134,405.613,68991.2,-0.0990952,-0.00119793,8.15725,0.166975,2.80322e-05,11505.4,0.479763,0.0369274,True,6.0|71,783
783|12,0.0294772,1.68883,405.613,42800.1,-0.267059,-0.0337721,0.0288864,1.69898,405.613,43441.8,-0.247697,-0.0320218,0.0277807,1.67509,405.613,44322.6,-0.183366,-0.023432,0.00473873,0.137632,9.34406e-06,7750.78,0.186356,0.0340492,True,6.0|71,783
783|11,0.0349283,1.92357,405.613,39763.6,-0.832903,-0.0341147,0.0276514,1.75627,405.613,49592.6,-0.560898,-0.00717675,0.0263994,1.72035,405.613,49387.2,-0.490245,-0.00480566,0.00482205,0.142347,2.47221e-05,9557.69,0.33766,0.0345362,True,6.0|71,783
783|1,16.0489,0.0168566,486.83,1.63521e+13,0.094362,-0.00898881,23.4203,0.0138566,486.83,9.68107e+15,-0.0122792,-0.0115993,1,-8.02667e-08,486.83,1,1.86557e-08,-0.0106423,169.008,1.55296,2.01855e-05,3.36477e+17,0.599479,0.0420606,False,69.0|71,783
783|2,0.799492,0.664964,486.83,65674.9,0.0104682,-0.0206666,0.967984,1.12502,486.83,66158.5,0.0309635,-0.0223918,0.999999,5.52504e-07,486.83,67130.4,0.129325,-0.0213151,2.79694,0.835593,2.47221e-05,4701,0.242361,0.0143291,False,69.0|71,783
491|10,0.00768129,1.66712,391.065,49291.1,0.114532,-0.0274379,0.0082512,1.76126,391.065,50490.5,0.145114,-0.0188509,0.00760603,1.6973,391.065,51419.6,0.249285,-0.0153695,0.00136158,0.153878,1.70598e-05,5523.52,0.271323,0.0250323,True,6.0|99,491
491|9,0.00864319,1.71931,391.065,48114,0.312064,-0.00832143,0.0083203,1.69843,391.065,49382.9,0.280422,-0.00457782,0.00806427,1.67056,391.065,48873.6,0.352849,-0.00520421,0.00134228,0.139701,1.32145e-05,5425.11,0.275421,0.0251042,True,6.0|99,491
491|12,0.0111899,0.906355,391.065,69428.1,0.467684,0.00751714,0.016325,0.977503,391.065,57278.2,0.259981,-0.00748487,0.0143077,0.958778,391.065,60663.8,0.385778,0.000341745,0.00526089,0.0834161,2.58725e-05,11169.9,0.243052,0.0317679,True,6.0|99,491
491|11,0.0151296,0.971754,391.065,66714.4,0.414209,0.0277349,0.0227023,1.0022,391.065,54216.8,0.208705,-0.00749591,0.0196841,0.975847,391.065,57199.3,0.377941,-0.000515134,0.00615267,0.0753,2.53038e-05,6632.53,0.275719,0.0284356,True,6.0|99,491
491|4,0.0897207,1.669,585.328,50467,0.467765,-0.00227461,0.0928472,1.72423,585.328,50480.7,0.456372,0.00210833,0.0900658,1.70493,585.328,50499.1,0.528713,0.00447956,0.0136778,0.146844,3.23688e-05,3695.59,0.239621,0.0233803,True,44.0|99,491
491|3,0.105555,1.6699,585.328,51398.3,0.565415,-0.0178208,0.10536,1.68762,585.328,51753.4,0.523759,-0.0121687,0.102013,1.6659,585.328,51756.1,0.580901,-0.0103715,0.0154974,0.142648,2.85466e-05,3574.51,0.216188,0.020833,True,44.0|99,491
491|6,0.0884519,1.01195,585.328,51081.3,0.466674,0.0177555,0.0774852,0.964072,585.328,52294.9,0.496794,0.0188383,0.0695471,0.937668,585.328,52833.7,0.616414,0.0196506,0.0211111,0.0889303,2.01855e-05,4175.07,0.303167,0.0293965,True,44.0|99,491
491|5,0.0643696,0.976058,585.328,51832.6,0.198656,0.0222802,0.0701416,0.952697,585.328,50535,0.263987,0.0049632,0.0656146,0.928103,585.328,50575.2,0.410276,0.00245581,0.0212757,0.0943337,2.01855e-05,4442.22,0.339665,0.0294822,True,44.0|99,491
