id,importanceSampling
411|4,136.222962
411|3,143.614100
411|5,161.459982
411|6,167.154229
411|8,137.587104
411|7,105.920087
411|9,159.675731
411|10,163.362645
411|12,137.664385
411|11,136.358989
411|1,82.860379
411|2,147.454766
152|8,85.266707
152|7,151.233857
152|6,167.749300
152|5,165.433664
152|12,151.090457
152|11,147.420489
152|10,156.537679
152|9,157.605288
152|3,129.979810
152|4,156.190587
152|1,77.790329
152|2,150.606478
1056|8,142.170157
1056|7,143.658387
1056|6,149.300508
1056|5,150.163421
1056|12,147.453398
1056|11,143.003184
1056|10,147.677485
1056|9,151.321656
1056|4,145.061515
1056|3,143.208310
1056|1,76.947345
1056|2,163.583164
462|6,169.439808
462|5,200.139000
462|4,202.076284
462|3,200.605343
462|9,140.411226
462|10,142.628472
462|7,152.700219
462|8,119.800571
462|11,160.714994
462|12,166.781606
462|1,90.830169
462|2,161.673680
1159|8,151.651712
1159|7,153.271168
1159|5,158.930522
1159|6,158.351185
1159|11,146.916104
1159|12,121.911250
1159|9,154.471653
1159|10,154.262489
1159|4,152.364853
1159|3,150.662720
1159|1,81.513462
1159|2,158.521815
1197|7,132.344246
1197|8,131.837819
1197|6,139.526002
1197|5,139.510117
1197|12,132.774924
1197|10,141.410879
1197|9,141.716442
1197|3,99.648792
1197|4,133.071817
1197|11,132.170720
1197|1,81.286336
1197|2,159.294756
