id,importanceSampling
411|4,152.328943
411|3,155.718801
411|5,170.226777
411|6,169.925289
411|8,153.982040
411|7,154.359071
411|9,170.284262
411|10,169.840886
411|12,153.857120
411|11,153.438153
411|1,84.003812
411|2,143.788484
783|3,177.521888
783|4,178.125023
783|5,177.368054
783|6,177.474503
783|7,194.554026
783|8,194.241795
783|10,177.626670
783|9,177.997470
783|12,196.729587
783|11,197.196476
783|1,81.766664
783|2,147.318297
491|10,166.457355
491|9,166.679849
491|12,157.905295
491|11,160.172535
491|4,162.394360
491|3,161.797766
491|6,172.500367
491|5,170.827318
491|7,145.406275
491|8,145.009674
491|1,64.219722
491|2,155.887889
433|4,180.215931
433|3,177.000963
433|6,182.195321
433|5,182.580927
433|8,178.467748
433|7,178.426257
433|10,170.938383
433|9,170.975064
433|11,165.471271
433|12,167.425363
433|1,64.683283
433|2,148.366139
297|3,142.813676
297|4,174.883314
297|5,185.509739
297|6,185.499948
297|8,182.640638
297|7,182.736124
297|9,184.439059
297|10,184.053196
297|12,181.043228
297|11,179.190271
297|1,67.951937
297|2,146.295133
183|4,141.122143
183|3,141.251862
183|6,142.828107
183|5,142.861727
183|7,141.141557
183|8,141.212137
183|10,143.820988
183|9,111.712550
183|12,142.885748
183|11,154.941841
183|1,88.146474
183|2,121.044751
705|3,153.454118
705|4,154.307513
705|5,154.428400
705|6,154.410334
705|7,153.942972
705|8,154.405964
705|10,165.433143
705|9,165.474097
705|12,158.180398
705|11,162.451877
705|1,67.309586
705|2,125.816133
555|4,158.705864
555|3,159.452779
555|5,161.132840
555|6,161.542394
555|7,165.605900
555|8,165.746925
555|9,159.727331
555|10,159.549023
555|12,166.038494
555|11,167.379638
555|1,80.123967
555|2,132.326700
394|5,174.401157
394|6,174.847310
394|7,173.753222
394|8,173.069156
394|10,182.893793
394|9,181.591780
394|12,172.922654
394|11,172.855596
394|3,166.516679
394|4,166.509336
394|1,63.427215
394|2,137.548192
1099|3,149.506096
1099|4,149.706577
1099|5,151.371804
1099|6,151.155890
1099|8,147.271344
1099|7,148.939994
1099|9,149.638170
1099|10,149.609651
1099|11,147.395721
1099|12,149.770142
1099|1,67.600109
1099|2,120.373462
611|4,150.772944
611|3,149.804454
611|5,150.834020
611|6,150.336458
611|7,150.294389
611|8,151.537388
611|9,156.371786
611|10,154.996654
611|12,117.380467
611|11,149.580602
611|1,67.805945
611|2,125.065717
84|5,217.231708
84|6,238.758430
84|4,189.582007
84|3,192.958072
84|9,165.169636
84|10,165.144647
84|7,174.302333
