id,U_SAEM,L_SAEM,h_SAEM,f_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,h_mode,f_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
14|783|14|783|sample|5|71|5|71|6.0,1.00041,793.388,-17.7948,3.90258,2.10817e-11,1.00847,1.00042,793.388,-2.89006,1.18036,2.11306e-11,1.0233,True,6.0|71,783
14|783|14|783|sample|6|71|6|71|6.0,1.00041,793.388,-14.1463,4.3511,2.10817e-11,1.00847,1.00042,793.388,-3.23738,1.1633,2.11306e-11,1.0233,True,6.0|71,783
14|783|14|783|sample|7|71|7|71|6.0,1.00041,793.388,-14.0473,5.70722,2.10817e-11,1.00847,1.00042,793.388,-6.08865,0.565908,2.11306e-11,1.0233,True,6.0|71,783
14|783|14|783|sample|8|71|8|71|6.0,1.00041,793.388,-16.1253,2.42138,2.10817e-11,1.00847,1.00042,793.388,-6.08387,0.566161,2.11306e-11,1.0233,True,6.0|71,783
14|783|14|783|sample|10|71|10|71|6.0,1.00041,793.388,-15.0481,17.668,2.10817e-11,1.00847,1.00042,793.388,-4.77395,1.36246,2.11306e-11,1.0233,True,6.0|71,783
14|783|14|783|sample|9|71|9|71|6.0,1.00041,793.388,-19.212,3.65779,2.10817e-11,1.00847,1.00042,793.388,-2.26466,1.62946,2.11306e-11,1.0233,True,6.0|71,783
14|783|14|783|sample|12|71|12|71|6.0,1.00041,793.388,-5.0912,3.40111,2.10817e-11,1.00847,1.00042,793.388,-6.09469,0.565419,2.11306e-11,1.0233,True,6.0|71,783
14|783|14|783|sample|11|71|11|71|6.0,1.00041,793.388,-9.55592,3.1428,2.10817e-11,1.00847,1.00042,793.388,-6.09463,0.56542,2.11306e-11,1.0233,True,6.0|71,783
14|783|14|783|cc|1|1|71|1|71|69.0,1.00041,789.661,-1.06967,4.04247,2.10817e-11,1.00847,1.00042,789.661,-2.77502e-05,1,2.11306e-11,1.0233,False,69.0|71,783
14|783|14|783|cc|2|1|71|1|71|69.0,1.00041,789.661,-0.348128,3.36554,2.10817e-11,1.00847,1.00042,789.661,4.47001e-05,1,2.11306e-11,1.0233,False,69.0|71,783
14|783|14|783|cc|3|1|71|1|71|69.0,1.00041,789.661,-1.7052,3.63925,2.10817e-11,1.00847,1.00042,789.661,1.06043e-05,1,2.11306e-11,1.0233,False,69.0|71,783
14|783|14|783|cc|4|1|71|1|71|69.0,1.00041,789.661,0.640246,3.28723,2.10817e-11,1.00847,1.00042,789.661,4.82515e-05,1,2.11306e-11,1.0233,False,69.0|71,783
14|783|14|783|cc|5|1|71|1|71|69.0,1.00041,789.661,-2.81147,2.76882,2.10817e-11,1.00847,1.00042,789.661,1.41772e-05,1,2.11306e-11,1.0233,False,69.0|71,783
14|783|14|783|cc|6|1|71|1|71|69.0,1.00041,789.661,-2.84661,8.28224,2.10817e-11,1.00847,1.00042,789.661,8.19124e-07,1,2.11306e-11,1.0233,False,69.0|71,783
14|783|14|783|cc|7|1|71|1|71|69.0,1.00041,789.661,4.31497,4.11922,2.10817e-11,1.00847,1.00042,789.661,1.23165e-06,1,2.11306e-11,1.0233,False,69.0|71,783
14|783|14|783|cc|8|1|71|1|71|69.0,1.00041,789.661,0.060551,6.08789,2.10817e-11,1.00847,1.00042,789.661,-7.35322e-05,1,2.11306e-11,1.0233,False,69.0|71,783
14|783|14|783|vc|1|2|71|2|71|69.0,1.00041,789.661,-1.3044,6.02969,2.10817e-11,1.00847,1.00042,789.661,-2.45895e-05,1,2.11306e-11,1.0233,False,69.0|71,783
14|783|14|783|vc|2|2|71|2|71|69.0,1.00041,789.661,1.71008,2.90094,2.10817e-11,1.00847,1.00042,789.661,1.60584e-06,1,2.11306e-11,1.0233,False,69.0|71,783
14|783|14|783|vc|3|2|71|2|71|69.0,1.00041,789.661,-1.53841,4.48809,2.10817e-11,1.00847,1.00042,789.661,-9.07161e-05,0.999994,2.11306e-11,1.0233,False,69.0|71,783
14|783|14|783|vc|4|2|71|2|71|69.0,1.00041,789.661,1.14169,7.32718,2.10817e-11,1.00847,1.00042,789.661,1.57736e-06,1,2.11306e-11,1.0233,False,69.0|71,783
14|783|14|783|vc|5|2|71|2|71|69.0,1.00041,789.661,2.32568,5.33644,2.10817e-11,1.00847,1.00042,789.661,-1.85609e-05,0.999999,2.11306e-11,1.0233,False,69.0|71,783
14|783|14|783|vc|6|2|71|2|71|69.0,1.00041,789.661,-2.07067,2.95311,2.10817e-11,1.00847,1.00042,789.661,-1.30936e-06,1,2.11306e-11,1.0233,False,69.0|71,783
14|783|14|783|vc|7|2|71|2|71|69.0,1.00041,789.661,1.92113,3.68438,2.10817e-11,1.00847,1.00042,789.661,9.30569e-05,1,2.11306e-11,1.0233,False,69.0|71,783
14|783|14|783|vc|8|2|71|2|71|69.0,1.00041,789.661,-2.86437,1.4456,2.10817e-11,1.00847,1.00042,789.661,-2.58222e-05,1,2.11306e-11,1.0233,False,69.0|71,783
14|491|14|491|sample|10|99|10|99|6.0,1,796.376,-3.97944,3.30615,2.10875e-11,1.00843,1,796.376,-0.313048,0.802782,2.11363e-11,1.02326,True,6.0|99,491
14|491|14|491|sample|9|99|9|99|6.0,1,796.376,-1.90078,4.42334,2.10875e-11,1.00843,1,796.376,-0.22063,0.853302,2.11363e-11,1.02326,True,6.0|99,491
14|491|14|491|sample|12|99|12|99|6.0,1,796.376,-6.3261,6.88632,2.10875e-11,1.00843,1,796.376,-0.324699,0.806975,2.11363e-11,1.02326,True,6.0|99,491
14|491|14|491|sample|11|99|11|99|6.0,1,796.376,-9.67906,3.65435,2.10875e-11,1.00843,1,796.376,-0.509037,0.736395,2.11363e-11,1.02326,True,6.0|99,491
14|491|14|491|sample|4|99|4|99|44.0,1,802.866,-12.9245,3.47237,2.10875e-11,1.00843,1,802.866,-6.29808,0.494656,2.11363e-11,1.02326,True,44.0|99,491
14|491|14|491|sample|3|99|3|99|44.0,1,802.866,-7.49941,2.7097,2.10875e-11,1.00843,1,802.866,-6.29319,0.494855,2.11363e-11,1.02326,True,44.0|99,491
14|491|14|491|sample|6|99|6|99|44.0,1,802.866,-15.6397,2.79949,2.10875e-11,1.00843,1,802.866,-6.19765,0.497898,2.11363e-11,1.02326,True,44.0|99,491
14|491|14|491|sample|5|99|5|99|44.0,1,802.866,-8.23697,2.28931,2.10875e-11,1.00843,1,802.866,-6.21085,0.497432,2.11363e-11,1.02326,True,44.0|99,491
14|491|14|491|sample|7|99|7|99|63.0,1,795.357,4.4319,7.8494,2.10875e-11,1.00843,1,795.357,4.03898,1.33291,2.11363e-11,1.02326,True,63.0|99,491
14|491|14|491|sample|8|99|8|99|63.0,1,795.357,3.03862,5.1072,2.10875e-11,1.00843,1,795.357,4.03869,1.33293,2.11363e-11,1.02326,True,63.0|99,491
14|491|14|491|cc|1|1|99|1|99|69.0,1,786.957,0.286465,4.45859,2.10875e-11,1.00843,1,786.957,-5.3047e-07,1,2.11363e-11,1.02326,False,69.0|99,491
14|491|14|491|cc|2|1|99|1|99|69.0,1,786.957,2.54902,3.56393,2.10875e-11,1.00843,1,786.957,2.23935e-05,1,2.11363e-11,1.02326,False,69.0|99,491
14|491|14|491|cc|3|1|99|1|99|69.0,1,786.957,-4.12125,4.37669,2.10875e-11,1.00843,1,786.957,2.64144e-05,1,2.11363e-11,1.02326,False,69.0|99,491
14|491|14|491|cc|4|1|99|1|99|69.0,1,786.957,0.649559,4.82115,2.10875e-11,1.00843,1,786.957,1.13869e-05,1,2.11363e-11,1.02326,False,69.0|99,491
14|491|14|491|cc|5|1|99|1|99|69.0,1,786.957,0.802938,11.3014,2.10875e-11,1.00843,1,786.957,-1.31563e-05,1,2.11363e-11,1.02326,False,69.0|99,491
14|491|14|491|cc|6|1|99|1|99|69.0,1,786.957,-2.60492,4.32428,2.10875e-11,1.00843,1,786.957,1.73221e-05,0.999994,2.11363e-11,1.02326,False,69.0|99,491
14|491|14|491|cc|7|1|99|1|99|69.0,1,786.957,-0.354199,3.72479,2.10875e-11,1.00843,1,786.957,2.51298e-06,1,2.11363e-11,1.02326,False,69.0|99,491
14|491|14|491|cc|8|1|99|1|99|69.0,1,786.957,-4.42352,1.94494,2.10875e-11,1.00843,1,786.957,3.36284e-05,1,2.11363e-11,1.02326,False,69.0|99,491
14|491|14|491|vc|1|2|99|2|99|69.0,1,786.957,-1.81407,6.81657,2.10875e-11,1.00843,1,786.957,-1.39699e-05,0.999999,2.11363e-11,1.02326,False,69.0|99,491
14|491|14|491|vc|2|2|99|2|99|69.0,1,786.957,0.251569,2.36133,2.10875e-11,1.00843,1,786.957,-5.76792e-06,0.999998,2.11363e-11,1.02326,False,69.0|99,491
14|491|14|491|vc|3|2|99|2|99|69.0,1,786.957,5.76239,4.95011,2.10875e-11,1.00843,1,786.957,-2.24874e-05,1.00001,2.11363e-11,1.02326,False,69.0|99,491
14|491|14|491|vc|4|2|99|2|99|69.0,1,786.957,-3.70993,4.09055,2.10875e-11,1.00843,1,786.957,-0.000237336,0.999994,2.11363e-11,1.02326,False,69.0|99,491
14|491|14|491|vc|5|2|99|2|99|69.0,1,786.957,0.236123,2.51156,2.10875e-11,1.00843,1,786.957,-2.48701e-05,0.999996,2.11363e-11,1.02326,False,69.0|99,491
14|491|14|491|vc|6|2|99|2|99|69.0,1,786.957,-1.53733,2.70263,2.10875e-11,1.00843,1,786.957,-5.95654e-05,1,2.11363e-11,1.02326,False,69.0|99,491
14|491|14|491|vc|7|2|99|2|99|69.0,1,786.957,-1.91534,3.34334,2.10875e-11,1.00843,1,786.957,-8.90102e-06,0.999998,2.11363e-11,1.02326,False,69.0|99,491
14|491|14|491|vc|8|2|99|2|99|69.0,1,786.957,4.90187,3.77839,2.10875e-11,1.00843,1,786.957,7.43954e-06,0.999999,2.11363e-11,1.02326,False,69.0|99,491
14|433|14|433|sample|4|99|4|99|6.0,1.00001,796.376,3.96652,10.387,2.10828e-11,1.00785,1.00001,796.376,6.17267,1.85047,2.11317e-11,1.02267,True,6.0|99,433
14|433|14|433|sample|3|99|3|99|6.0,1.00001,796.376,-2.49657,6.37677,2.10828e-11,1.00785,1.00001,796.376,-4.9258,0.753271,2.11317e-11,1.02267,True,6.0|99,433
14|433|14|433|sample|6|99|6|99|6.0,1.00001,796.376,-17.8781,1.47947,2.10828e-11,1.00785,1.00001,796.376,-4.53873,0.80638,2.11317e-11,1.02267,True,6.0|99,433
14|433|14|433|sample|5|99|5|99|6.0,1.00001,796.376,-13.7611,1.71978,2.10828e-11,1.00785,1.00001,796.376,-4.61356,0.793635,2.11317e-11,1.02267,True,6.0|99,433
14|433|14|433|sample|8|99|8|99|6.0,1.00001,796.376,-9.75554,2.24783,2.10828e-11,1.00785,1.00001,796.376,-4.92453,0.752982,2.11317e-11,1.02267,True,6.0|99,433
14|433|14|433|sample|7|99|7|99|6.0,1.00001,796.376,-9.00349,2.98171,2.10828e-11,1.00785,1.00001,796.376,-4.92471,0.752959,2.11317e-11,1.02267,True,6.0|99,433
14|433|14|433|sample|10|99|10|99|6.0,1.00001,796.376,-11.6717,3.21156,2.10828e-11,1.00785,1.00001,796.376,-4.96457,0.756315,2.11317e-11,1.02267,True,6.0|99,433
14|433|14|433|sample|9|99|9|99|6.0,1.00001,796.376,-13.8505,2.19141,2.10828e-11,1.00785,1.00001,796.376,-4.95529,0.755774,2.11317e-11,1.02267,True,6.0|99,433
14|433|14|433|sample|11|99|11|99|6.0,1.00001,796.376,-16.6134,2.44481,2.10828e-11,1.00785,1.00001,796.376,-4.96508,0.771948,2.11317e-11,1.02267,True,6.0|99,433
14|433|14|433|sample|12|99|12|99|6.0,1.00001,796.376,-17.7728,1.29556,2.10828e-11,1.00785,1.00001,796.376,-4.92468,0.765703,2.11317e-11,1.02267,True,6.0|99,433
14|433|14|433|cc|1|1|99|1|99|69.0,1.00001,786.957,-0.656649,2.64806,2.10828e-11,1.00785,1.00001,786.957,-8.22499e-06,1,2.11317e-11,1.02267,False,69.0|99,433
14|433|14|433|cc|2|1|99|1|99|69.0,1.00001,786.957,1.49452,4.09505,2.10828e-11,1.00785,1.00001,786.957,-0.000100179,0.999986,2.11317e-11,1.02267,False,69.0|99,433
14|433|14|433|cc|3|1|99|1|99|69.0,1.00001,786.957,-1.46266,6.4482,2.10828e-11,1.00785,1.00001,786.957,2.43139e-05,1,2.11317e-11,1.02267,False,69.0|99,433
14|433|14|433|cc|4|1|99|1|99|69.0,1.00001,786.957,4.11667,3.88326,2.10828e-11,1.00785,1.00001,786.957,0.000102973,0.999991,2.11317e-11,1.02267,False,69.0|99,433
