id,U_SAEM,L_SAEM,h_SAEM,f_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,h_mode,f_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,1,797.459,-0.286752,1.96515e+07,1.66731e-10,8.91989,1,797.459,-0.286752,0.00470489,1.70457e-10,8.64507,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,1,797.459,-0.286752,3.85899e+09,1.66731e-10,8.91989,1,797.459,-0.286752,0.00265543,1.70457e-10,8.64507,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,1,797.459,-0.286752,2.38628e+20,1.66731e-10,8.91989,1,797.459,-0.286752,0.0616626,1.70457e-10,8.64507,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,1,797.459,-0.286752,6.72542e+12,1.66731e-10,8.91989,1,797.459,-0.286752,0.183786,1.70457e-10,8.64507,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,1,797.459,-0.286752,2.97651e+12,1.66731e-10,8.91989,1,797.459,-0.286752,0.00231571,1.70457e-10,8.64507,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,1,797.459,-0.286752,2072.59,1.66731e-10,8.91989,1,797.459,-0.286752,0.00279786,1.70457e-10,8.64507,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,1,797.459,-0.286752,6.21544e+14,1.66731e-10,8.91989,1,797.459,-0.286752,0.0932218,1.70457e-10,8.64507,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,1,797.459,-0.286752,1.41254e+13,1.66731e-10,8.91989,1,797.459,-0.286752,0.102082,1.70457e-10,8.64507,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,1,797.459,-0.286752,3.40244e+10,1.66731e-10,8.91989,1,797.459,-0.286752,0.000817979,1.70457e-10,8.64507,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,1,797.459,-0.286752,1.0603e+06,1.66731e-10,8.91989,1,797.459,-0.286752,0.00286539,1.70457e-10,8.64507,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,1,789.775,1.13743,5.53039e+16,1.66731e-10,8.91989,1,789.775,1.13743,1,1.70457e-10,8.64507,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,1,789.775,1.13743,7.14613e+12,1.66731e-10,8.91989,1,789.775,1.13743,1,1.70457e-10,8.64507,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,1,789.775,1.13743,1.83834e+11,1.66731e-10,8.91989,1,789.775,1.13743,1,1.70457e-10,8.64507,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,1,789.775,1.13743,1.39582e+10,1.66731e-10,8.91989,1,789.775,1.13743,1,1.70457e-10,8.64507,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,1,789.775,1.13743,7.97921e+13,1.66731e-10,8.91989,1,789.775,1.13743,0.999999,1.70457e-10,8.64507,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,1,789.775,1.13743,1.75586e+14,1.66731e-10,8.91989,1,789.775,1.13743,1,1.70457e-10,8.64507,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,1,789.775,1.13743,1.46172e+12,1.66731e-10,8.91989,1,789.775,1.13743,1,1.70457e-10,8.64507,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,1,789.775,1.13743,9.93779e+19,1.66731e-10,8.91989,1,789.775,1.13743,0.999999,1.70457e-10,8.64507,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,1,789.775,1.13743,6.53757e+14,1.66731e-10,8.91989,1,789.775,1.13743,0.999999,1.70457e-10,8.64507,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,1,789.775,1.13743,2.98074e+13,1.66731e-10,8.91989,1,789.775,1.13743,1,1.70457e-10,8.64507,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,1,789.775,1.13743,7.80491e+15,1.66731e-10,8.91989,1,789.775,1.13743,1,1.70457e-10,8.64507,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,1,789.775,1.13743,1.2767e+16,1.66731e-10,8.91989,1,789.775,1.13743,1,1.70457e-10,8.64507,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,1,789.775,1.13743,1.06713e+14,1.66731e-10,8.91989,1,789.775,1.13743,1,1.70457e-10,8.64507,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,1,789.775,1.13743,1.13498e+14,1.66731e-10,8.91989,1,789.775,1.13743,1,1.70457e-10,8.64507,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,1,789.775,1.13743,5.12921e+11,1.66731e-10,8.91989,1,789.775,1.13743,1,1.70457e-10,8.64507,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,1,789.775,1.13743,3.06596e+14,1.66731e-10,8.91989,1,789.775,1.13743,1,1.70457e-10,8.64507,False,69.0|274,411
14|783|14|783|sample|3|71|3|71|6.0,1.00002,794.832,-0.600623,1.96779e+13,1.66735e-10,8.92122,1.00002,794.832,-0.600623,3.16415,1.70461e-10,8.6463,True,6.0|71,783
14|783|14|783|sample|4|71|4|71|6.0,1.00002,794.832,-0.600623,6.02779e+13,1.66735e-10,8.92122,1.00002,794.832,-0.600623,2.6854,1.70461e-10,8.6463,True,6.0|71,783
14|783|14|783|sample|5|71|5|71|6.0,1.00002,794.832,-0.600623,2.27194e+16,1.66735e-10,8.92122,1.00002,794.832,-0.600623,0.773631,1.70461e-10,8.6463,True,6.0|71,783
14|783|14|783|sample|6|71|6|71|6.0,1.00002,794.832,-0.600623,1.9053e+10,1.66735e-10,8.92122,1.00002,794.832,-0.600623,0.738641,1.70461e-10,8.6463,True,6.0|71,783
14|783|14|783|sample|7|71|7|71|6.0,1.00002,794.832,-0.600623,2.36185e+12,1.66735e-10,8.92122,1.00002,794.832,-0.600623,0.0105629,1.70461e-10,8.6463,True,6.0|71,783
14|783|14|783|sample|8|71|8|71|6.0,1.00002,794.832,-0.600623,1.69301e+07,1.66735e-10,8.92122,1.00002,794.832,-0.600623,0.0118688,1.70461e-10,8.6463,True,6.0|71,783
14|783|14|783|sample|10|71|10|71|6.0,1.00002,794.832,-0.600623,2.13423e+14,1.66735e-10,8.92122,1.00002,794.832,-0.600623,3.12661,1.70461e-10,8.6463,True,6.0|71,783
14|783|14|783|sample|9|71|9|71|6.0,1.00002,794.832,-0.600623,4.01279e+10,1.66735e-10,8.92122,1.00002,794.832,-0.600623,3.26722,1.70461e-10,8.6463,True,6.0|71,783
14|783|14|783|sample|12|71|12|71|6.0,1.00002,794.832,-0.600623,75888.2,1.66735e-10,8.92122,1.00002,794.832,-0.600623,0.00274001,1.70461e-10,8.6463,True,6.0|71,783
14|783|14|783|sample|11|71|11|71|6.0,1.00002,794.832,-0.600623,1.20482e+06,1.66735e-10,8.92122,1.00002,794.832,-0.600623,0.00443901,1.70461e-10,8.6463,True,6.0|71,783
14|783|14|783|cc|1|1|71|1|71|69.0,1.00002,789.462,2.04113,3.83751e+11,1.66735e-10,8.92122,1.00002,789.462,2.04113,1,1.70461e-10,8.6463,False,69.0|71,783
14|783|14|783|cc|2|1|71|1|71|69.0,1.00002,789.462,2.04113,4.21344e+16,1.66735e-10,8.92122,1.00002,789.462,2.04113,0.999999,1.70461e-10,8.6463,False,69.0|71,783
14|783|14|783|cc|3|1|71|1|71|69.0,1.00002,789.462,2.04113,2.40376e+16,1.66735e-10,8.92122,1.00002,789.462,2.04113,0.99999,1.70461e-10,8.6463,False,69.0|71,783
14|783|14|783|cc|4|1|71|1|71|69.0,1.00002,789.462,2.04113,6.54134e+15,1.66735e-10,8.92122,1.00002,789.462,2.04113,0.999998,1.70461e-10,8.6463,False,69.0|71,783
14|783|14|783|cc|5|1|71|1|71|69.0,1.00002,789.462,2.04113,3.49153e+12,1.66735e-10,8.92122,1.00002,789.462,2.04113,0.999998,1.70461e-10,8.6463,False,69.0|71,783
14|783|14|783|cc|6|1|71|1|71|69.0,1.00002,789.462,2.04113,3.94342e+13,1.66735e-10,8.92122,1.00002,789.462,2.04113,1,1.70461e-10,8.6463,False,69.0|71,783
14|783|14|783|cc|7|1|71|1|71|69.0,1.00002,789.462,2.04113,7.00919e+13,1.66735e-10,8.92122,1.00002,789.462,2.04113,1,1.70461e-10,8.6463,False,69.0|71,783
14|783|14|783|cc|8|1|71|1|71|69.0,1.00002,789.462,2.04113,9.25378e+12,1.66735e-10,8.92122,1.00002,789.462,2.04113,1.00007,1.70461e-10,8.6463,False,69.0|71,783
14|783|14|783|vc|1|2|71|2|71|69.0,1.00002,789.462,2.04113,2.72963e+18,1.66735e-10,8.92122,1.00002,789.462,2.04113,1,1.70461e-10,8.6463,False,69.0|71,783
14|783|14|783|vc|2|2|71|2|71|69.0,1.00002,789.462,2.04113,2.90369e+15,1.66735e-10,8.92122,1.00002,789.462,2.04113,1.00001,1.70461e-10,8.6463,False,69.0|71,783
14|783|14|783|vc|3|2|71|2|71|69.0,1.00002,789.462,2.04113,1.00216e+21,1.66735e-10,8.92122,1.00002,789.462,2.04113,1,1.70461e-10,8.6463,False,69.0|71,783
14|783|14|783|vc|4|2|71|2|71|69.0,1.00002,789.462,2.04113,1.36444e+13,1.66735e-10,8.92122,1.00002,789.462,2.04113,1,1.70461e-10,8.6463,False,69.0|71,783
14|783|14|783|vc|5|2|71|2|71|69.0,1.00002,789.462,2.04113,1.3126e+13,1.66735e-10,8.92122,1.00002,789.462,2.04113,0.999995,1.70461e-10,8.6463,False,69.0|71,783
14|783|14|783|vc|6|2|71|2|71|69.0,1.00002,789.462,2.04113,2.88631e+19,1.66735e-10,8.92122,1.00002,789.462,2.04113,0.999998,1.70461e-10,8.6463,False,69.0|71,783
14|783|14|783|vc|7|2|71|2|71|69.0,1.00002,789.462,2.04113,5.6771e+13,1.66735e-10,8.92122,1.00002,789.462,2.04113,0.99998,1.70461e-10,8.6463,False,69.0|71,783
14|783|14|783|vc|8|2|71|2|71|69.0,1.00002,789.462,2.04113,2.26391e+16,1.66735e-10,8.92122,1.00002,789.462,2.04113,0.999987,1.70461e-10,8.6463,False,69.0|71,783
14|491|14|491|sample|10|99|10|99|6.0,1.00001,793.596,-0.942874,9.81186e+11,1.66757e-10,8.92076,1.00001,793.596,-0.942874,0.00130693,1.70483e-10,8.64586,True,6.0|99,491
14|491|14|491|sample|9|99|9|99|6.0,1.00001,793.596,-0.942874,9.12825e+09,1.66757e-10,8.92076,1.00001,793.596,-0.942874,0.00108008,1.70483e-10,8.64586,True,6.0|99,491
14|491|14|491|sample|12|99|12|99|6.0,1.00001,793.596,-0.942874,8.52308e+14,1.66757e-10,8.92076,1.00001,793.596,-0.942874,0.00185332,1.70483e-10,8.64586,True,6.0|99,491
14|491|14|491|sample|11|99|11|99|6.0,1.00001,793.596,-0.942874,1.37052e+10,1.66757e-10,8.92076,1.00001,793.596,-0.942874,0.00329767,1.70483e-10,8.64586,True,6.0|99,491
14|491|14|491|sample|4|99|4|99|44.0,1.00001,801.263,-0.354898,4.86195e+18,1.66757e-10,8.92076,1.00001,801.263,-0.354898,0.00221858,1.70483e-10,8.64586,True,44.0|99,491
14|491|14|491|sample|3|99|3|99|44.0,1.00001,801.263,-0.354898,3.82503e+14,1.66757e-10,8.92076,1.00001,801.263,-0.354898,0.00301642,1.70483e-10,8.64586,True,44.0|99,491
14|491|14|491|sample|6|99|6|99|44.0,1.00001,801.263,-0.354898,7.0674e+16,1.66757e-10,8.92076,1.00001,801.263,-0.354898,0.00179098,1.70483e-10,8.64586,True,44.0|99,491
14|491|14|491|sample|5|99|5|99|44.0,1.00001,801.263,-0.354898,1.15928e+10,1.66757e-10,8.92076,1.00001,801.263,-0.354898,0.00135412,1.70483e-10,8.64586,True,44.0|99,491
14|491|14|491|sample|7|99|7|99|63.0,1.00001,799.163,-0.582297,5.66354e+12,1.66757e-10,8.92076,1.00001,799.163,-0.582297,7.30913e-05,1.70483e-10,8.64586,True,63.0|99,491
14|491|14|491|sample|8|99|8|99|63.0,1.00001,799.163,-0.582297,0.228541,1.66757e-10,8.92076,1.00001,799.163,-0.582297,0.000194663,1.70483e-10,8.64586,True,63.0|99,491
14|491|14|491|cc|1|1|99|1|99|69.0,1.00001,787.435,1.17929,4.10954e+12,1.66757e-10,8.92076,1.00001,787.435,1.17929,0.999997,1.70483e-10,8.64586,False,69.0|99,491
14|491|14|491|cc|2|1|99|1|99|69.0,1.00001,787.435,1.17929,7.53358e+14,1.66757e-10,8.92076,1.00001,787.435,1.17929,1,1.70483e-10,8.64586,False,69.0|99,491
14|491|14|491|cc|3|1|99|1|99|69.0,1.00001,787.435,1.17929,1.24601e+18,1.66757e-10,8.92076,1.00001,787.435,1.17929,0.999995,1.70483e-10,8.64586,False,69.0|99,491
14|491|14|491|cc|4|1|99|1|99|69.0,1.00001,787.435,1.17929,1.74335e+12,1.66757e-10,8.92076,1.00001,787.435,1.17929,0.999993,1.70483e-10,8.64586,False,69.0|99,491
14|491|14|491|cc|5|1|99|1|99|69.0,1.00001,787.435,1.17929,3.70347e+15,1.66757e-10,8.92076,1.00001,787.435,1.17929,1,1.70483e-10,8.64586,False,69.0|99,491
14|491|14|491|cc|6|1|99|1|99|69.0,1.00001,787.435,1.17929,4.3423e+12,1.66757e-10,8.92076,1.00001,787.435,1.17929,0.999999,1.70483e-10,8.64586,False,69.0|99,491
14|491|14|491|cc|7|1|99|1|99|69.0,1.00001,787.435,1.17929,6.7865e+14,1.66757e-10,8.92076,1.00001,787.435,1.17929,1.00001,1.70483e-10,8.64586,False,69.0|99,491
14|491|14|491|cc|8|1|99|1|99|69.0,1.00001,787.435,1.17929,2.31605e+18,1.66757e-10,8.92076,1.00001,787.435,1.17929,0.999997,1.70483e-10,8.64586,False,69.0|99,491
14|491|14|491|vc|1|2|99|2|99|69.0,1.00001,787.435,1.17929,3.99876e+19,1.66757e-10,8.92076,1.00001,787.435,1.17929,0.99999,1.70483e-10,8.64586,False,69.0|99,491
14|491|14|491|vc|2|2|99|2|99|69.0,1.00001,787.435,1.17929,4.46119e+13,1.66757e-10,8.92076,1.00001,787.435,1.17929,0.999992,1.70483e-10,8.64586,False,69.0|99,491
14|491|14|491|vc|3|2|99|2|99|69.0,1.00001,787.435,1.17929,2.57558e+12,1.66757e-10,8.92076,1.00001,787.435,1.17929,1.00002,1.70483e-10,8.64586,False,69.0|99,491
14|491|14|491|vc|4|2|99|2|99|69.0,1.00001,787.435,1.17929,6.29965e+13,1.66757e-10,8.92076,1.00001,787.435,1.17929,1.00004,1.70483e-10,8.64586,False,69.0|99,491
14|491|14|491|vc|5|2|99|2|99|69.0,1.00001,787.435,1.17929,1.12864e+14,1.66757e-10,8.92076,1.00001,787.435,1.17929,1.00001,1.70483e-10,8.64586,False,69.0|99,491
14|491|14|491|vc|6|2|99|2|99|69.0,1.00001,787.435,1.17929,2.59149e+09,1.66757e-10,8.92076,1.00001,787.435,1.17929,0.999969,1.70483e-10,8.64586,False,69.0|99,491
14|491|14|491|vc|7|2|99|2|99|69.0,1.00001,787.435,1.17929,2.38902e+10,1.66757e-10,8.92076,1.00001,787.435,1.17929,0.999978,1.70483e-10,8.64586,False,69.0|99,491
14|491|14|491|vc|8|2|99|2|99|69.0,1.00001,787.435,1.17929,6.38267e+15,1.66757e-10,8.92076,1.00001,787.435,1.17929,1,1.70483e-10,8.64586,False,69.0|99,491
14|433|14|433|sample|4|99|4|99|6.0,1,793.596,-0.942874,66.5676,1.66741e-10,8.92104,1,793.596,-0.942874,3.44226e-05,1.70467e-10,8.64612,True,6.0|99,433
14|433|14|433|sample|3|99|3|99|6.0,1,793.596,-0.942874,2048.82,1.66741e-10,8.92104,1,793.596,-0.942874,0.00168932,1.70467e-10,8.64612,True,6.0|99,433
14|433|14|433|sample|6|99|6|99|6.0,1,793.596,-0.942874,4.96082e+10,1.66741e-10,8.92104,1,793.596,-0.942874,0.186618,1.70467e-10,8.64612,True,6.0|99,433
14|433|14|433|sample|5|99|5|99|6.0,1,793.596,-0.942874,3.73538e+10,1.66741e-10,8.92104,1,793.596,-0.942874,0.102167,1.70467e-10,8.64612,True,6.0|99,433
14|433|14|433|sample|8|99|8|99|6.0,1,793.596,-0.942874,6.33314e+07,1.66741e-10,8.92104,1,793.596,-0.942874,0.00356473,1.70467e-10,8.64612,True,6.0|99,433
14|433|14|433|sample|7|99|7|99|6.0,1,793.596,-0.942874,1.9174e+15,1.66741e-10,8.92104,1,793.596,-0.942874,0.00371715,1.70467e-10,8.64612,True,6.0|99,433
14|433|14|433|sample|10|99|10|99|6.0,1,793.596,-0.942874,5.02786e+07,1.66741e-10,8.92104,1,793.596,-0.942874,0.0241434,1.70467e-10,8.64612,True,6.0|99,433
14|433|14|433|sample|9|99|9|99|6.0,1,793.596,-0.942874,2.23692e+07,1.66741e-10,8.92104,1,793.596,-0.942874,0.0254749,1.70467e-10,8.64612,True,6.0|99,433
14|433|14|433|sample|11|99|11|99|6.0,1,793.596,-0.942874,6.33041e+15,1.66741e-10,8.92104,1,793.596,-0.942874,0.0936933,1.70467e-10,8.64612,True,6.0|99,433
