id,eta_U_SAEM,eta_L_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0,8.94534e-09,-8.28797e-09,-6.89007,0,0,0,1.13687e-13,-7.66054e-15,-5.35915,0,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0,4.6806e-09,-9.5229e-10,-8.82434,0,0,0,1.13687e-13,1.62093e-14,-5.93115,0,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0,-7.50592e-09,1.79317e-09,2.376,0,0,0,0,7.04992e-15,-2.78608,0,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0,8.26797e-09,8.89031e-09,3.88448,0,0,0,0,-2.87548e-14,-1.69398,0,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0,8.69639e-10,-4.15934e-09,-9.41794,0,0,0,0,4.44089e-16,-6.06804,0,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0,-4.19458e-09,5.16665e-10,-9.2607,0,0,0,0,-8.21565e-14,-5.8789,0,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0,1.21937e-08,1.30859e-08,2.6149,0,0,0,0,4.996e-14,-2.37277,0,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0,-4.21935e-10,-3.74733e-09,4.22398,0,0,0,0,-7.37188e-14,-2.28198,0,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0,2.88243e-09,8.33876e-09,-10.7092,0,0,0,1.13687e-13,3.16414e-14,-7.10867,0,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0,5.94841e-09,-6.92758e-09,-9.14299,0,0,0,1.13687e-13,-1.30451e-14,-5.85505,0,0,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0,-1.71425e-09,2.14622e-09,1.54107,0,0,0,0,2.66454e-15,-4.32056e-07,0,0,False,69.0|274,411
